CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,7,,          ,Begin Period,BP,,,,0
RED       ,,22,09:46,1,8,"ROCHESTIE, TAYLOR",P002972   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Crvena Zvezda mts Belgrade,0
OLY       ,,7,09:24,1,9,"SPANOULIS, VASSILIS",PJUO      ,Three Pointer (1/1 -  3 pt),3FGM,2.0,3.0,Olympiacos Piraeus,0
OLY       ,,16,09:24,1,10,"PAPANIKOLAOU, KOSTAS",P001255   ,Assist (1),AS,,,Olympiacos Piraeus,0
RED       ,,22,09:00,1,11,"ROCHESTIE, TAYLOR",P002972   ,Two Pointer (2/2 -  4 pt),2FGM,4.0,3.0,Crvena Zvezda mts Belgrade,0
RED       ,,6,09:00,1,12,"DANGUBIC, NEMANJA",P005942   ,Assist (1),AS,,,Crvena Zvezda mts Belgrade,0
OLY       ,,11,08:40,2,14,"MILUTINOV, NIKOLA",P003941   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,5.0,Olympiacos Piraeus,0
OLY       ,,22,08:40,2,15,"ROBERTS, BRIAN",P002091   ,Assist (1),AS,,,Olympiacos Piraeus,0
RED       ,,51,08:18,2,16,"BJELICA, MILKO",PCHX      ,Two Pointer (1/1 -  2 pt),2FGM,6.0,5.0,Crvena Zvezda mts Belgrade,0
RED       ,,10,08:18,2,17,"LAZIC, BRANKO",PLUO      ,Assist (1),AS,,,Crvena Zvezda mts Belgrade,0
OLY       ,,22,07:53,3,19,"ROBERTS, BRIAN",P002091   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Olympiacos Piraeus,0
OLY       ,,16,07:52,3,20,"PAPANIKOLAOU, KOSTAS",P001255   ,Off Rebound (1),O,,,Olympiacos Piraeus,0
OLY       ,,15,07:39,3,21,"PRINTEZIS, GEORGIOS",PAMM      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Olympiacos Piraeus,0
OLY       ,,11,07:38,3,22,"MILUTINOV, NIKOLA",P003941   ,Off Rebound (1),O,,,Olympiacos Piraeus,0
OLY       ,,15,07:35,3,23,"PRINTEZIS, GEORGIOS",PAMM      ,Two Pointer (1/2 -  2 pt),2FGM,6.0,7.0,Olympiacos Piraeus,0
OLY       ,,11,07:35,3,24,"MILUTINOV, NIKOLA",P003941   ,Assist (1),AS,,,Olympiacos Piraeus,0
RED       ,,22,07:15,3,25,"ROCHESTIE, TAYLOR",P002972   ,Missed Two Pointer (2/3 -  4 pt),2FGA,,,Crvena Zvezda mts Belgrade,0
OLY       ,,15,07:15,3,26,"PRINTEZIS, GEORGIOS",PAMM      ,Def Rebound (1),D,,,Olympiacos Piraeus,0
RED       ,,10,07:09,3,27,"LAZIC, BRANKO",PLUO      ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0
OLY       ,,7,07:09,3,28,"SPANOULIS, VASSILIS",PJUO      ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0
OLY       ,,15,06:55,4,30,"PRINTEZIS, GEORGIOS",PAMM      ,Three Pointer (1/1 -  5 pt),3FGM,6.0,10.0,Olympiacos Piraeus,0
OLY       ,,16,06:55,4,31,"PAPANIKOLAOU, KOSTAS",P001255   ,Assist (2),AS,,,Olympiacos Piraeus,0
RED       ,,,06:53,4,32,,          ,Time Out (1),TOUT,,,Crvena Zvezda mts Belgrade,0
RED       ,,6,06:37,4,33,"DANGUBIC, NEMANJA",P005942   ,Three Pointer (1/1 -  3 pt),3FGM,9.0,10.0,Crvena Zvezda mts Belgrade,0
RED       ,,22,06:37,4,34,"ROCHESTIE, TAYLOR",P002972   ,Assist (1),AS,,,Crvena Zvezda mts Belgrade,0
RED       ,,10,06:11,4,35,"LAZIC, BRANKO",PLUO      ,Foul (2),CM,,,Crvena Zvezda mts Belgrade,0
OLY       ,,11,06:11,4,36,"MILUTINOV, NIKOLA",P003941   ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0
RED       ,,10,06:11,4,37,"LAZIC, BRANKO",PLUO      ,Out,OUT,,,Crvena Zvezda mts Belgrade,0
RED       ,,13,06:11,4,38,"DOBRIC, OGNJEN",P004007   ,In,IN,,,Crvena Zvezda mts Belgrade,0
RED       ,,6,06:06,4,39,"DANGUBIC, NEMANJA",P005942   ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0
OLY       ,,7,06:06,4,40,"SPANOULIS, VASSILIS",PJUO      ,Foul Drawn (2),RV,,,Olympiacos Piraeus,0
OLY       ,,7,06:02,4,41,"SPANOULIS, VASSILIS",PJUO      ,Turnover (1),TO,,,Olympiacos Piraeus,0
RED       ,,22,06:02,4,42,"ROCHESTIE, TAYLOR",P002972   ,Steal (1),ST,,,Crvena Zvezda mts Belgrade,0
RED       ,,6,05:48,5,44,"DANGUBIC, NEMANJA",P005942   ,Three Pointer (2/2 -  6 pt),3FGM,12.0,10.0,Crvena Zvezda mts Belgrade,0
