CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN
BAM       ,,2,09:43,1,3,"HICKMAN, RICKY",P004159   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN
PAN       ,,14,09:40,1,4,"GIST, JAMES",P002980   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN
PAN       ,,0,09:25,1,5,"SINGLETON, CHRIS",P006614   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN
BAM       ,,2,09:23,1,6,"HICKMAN, RICKY",P004159   ,Def Rebound (1),D,,,Brose Bamberg,0,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN
BAM       ,,2,09:11,1,7,"HICKMAN, RICKY",P004159   ,Turnover (1),TO,,,Brose Bamberg,0,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN
PAN       ,,43,09:09,1,8,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Steal (1),ST,,,Panathinaikos Superfoods Athens,0,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN
BAM       ,,2,09:04,1,9,"HICKMAN, RICKY",P004159   ,Foul (1),CM,,,Brose Bamberg,0,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN
PAN       ,,11,09:04,1,10,"PAPPAS, NIKOS",P000464   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN
PAN       ,,11,09:04,1,11,"PAPPAS, NIKOS",P000464   ,Missed Free Throw (0/1 -  0 pt),FTA,,,Panathinaikos Superfoods Athens,0,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN
PAN       ,,11,09:04,1,12,"PAPPAS, NIKOS",P000464   ,Missed Free Throw (0/2 -  0 pt),FTA,,,Panathinaikos Superfoods Athens,0,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN
BAM       ,,3,09:04,1,13,"WRIGHT, DORELL",P008049   ,Def Rebound (1),D,,,Brose Bamberg,0,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN
BAM       ,,2,08:40,2,15,"HICKMAN, RICKY",P004159   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Brose Bamberg,0,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN
PAN       ,,43,08:39,2,16,"ANTETOKOUNMPO, ATHANASIOS",P007865   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,Brose Bamberg,BAM,Panathinaikos Superfoods Athens,PAN
