CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,10,,          ,Begin Period,BP,,,,0
MIL       ,,25,09:33,1,11,"THEODORE, JORDAN",P007946   ,Turnover (1),TO,,,AX Armani Exchange Olimpia Milan,0
BAR       ,,9,09:31,1,12,"HANGA, ADAM",P005099   ,Steal (1),ST,,,FC Barcelona Lassa,0
BAR       ,,9,09:27,1,13,"HANGA, ADAM",P005099   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,FC Barcelona Lassa,0
MIL       ,,5,09:24,1,14,"MICOV, VLADIMIR",P000529   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,3.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,09:24,1,15,"GOUDELOCK, ANDREW",P004903   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0
BAR       ,,11,08:56,2,17,"NAVARRO, JUAN CARLOS",PADI      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,FC Barcelona Lassa,0
MIL       ,,24,08:54,2,18,"M'BAYE, AMATH",P007993   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,25,08:38,2,19,"THEODORE, JORDAN",P007946   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,6.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,08:36,2,20,"GOUDELOCK, ANDREW",P004903   ,Assist (2),AS,,,AX Armani Exchange Olimpia Milan,0
BAR       ,,44,08:18,2,21,"TOMIC, ANTE",P002507   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,6.0,FC Barcelona Lassa,0
BAR       ,,11,08:06,2,22,"NAVARRO, JUAN CARLOS",PADI      ,Assist (1),AS,,,FC Barcelona Lassa,0
MIL       ,,25,07:59,3,24,"THEODORE, JORDAN",P007946   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0
BAR       ,,44,07:57,3,25,"TOMIC, ANTE",P002507   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,11,07:48,3,26,"NAVARRO, JUAN CARLOS",PADI      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,FC Barcelona Lassa,0
MIL       ,,,07:46,3,27,,          ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,5,07:32,3,28,"MICOV, VLADIMIR",P000529   ,Turnover (1),TO,,,AX Armani Exchange Olimpia Milan,0
BAR       ,,44,07:30,3,29,"TOMIC, ANTE",P002507   ,Steal (1),ST,,,FC Barcelona Lassa,0
MIL       ,,25,07:23,3,30,"THEODORE, JORDAN",P007946   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
BAR       ,,44,07:23,3,31,"TOMIC, ANTE",P002507   ,Foul Drawn (1),RV,,,FC Barcelona Lassa,0
BAR       ,,45,07:11,3,32,"MOERMAN, ADRIEN",P001833   ,Three Pointer (1/1 -  3 pt),3FGM,7.0,6.0,FC Barcelona Lassa,0
BAR       ,,44,07:09,3,33,"TOMIC, ANTE",P002507   ,Assist (1),AS,,,FC Barcelona Lassa,0
BAR       ,,9,06:58,4,35,"HANGA, ADAM",P005099   ,Foul (1),CM,,,FC Barcelona Lassa,0
MIL       ,,5,06:58,4,36,"MICOV, VLADIMIR",P000529   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,5,06:47,4,37,"MICOV, VLADIMIR",P000529   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,,06:48,4,38,,          ,Off Rebound (1),O,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,24,06:41,4,39,"M'BAYE, AMATH",P007993   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
BAR       ,,,06:41,4,40,,          ,Def Rebound (2),D,,,FC Barcelona Lassa,0
BAR       ,,5,06:29,4,41,"RIBAS, PAU",PJUG      ,Three Pointer (1/1 -  3 pt),3FGM,10.0,6.0,FC Barcelona Lassa,0
BAR       ,,9,06:27,4,42,"HANGA, ADAM",P005099   ,Assist (1),AS,,,FC Barcelona Lassa,0
BAR       ,,9,06:14,4,43,"HANGA, ADAM",P005099   ,Foul (2),CM,,,FC Barcelona Lassa,0
MIL       ,,15,06:14,4,44,"TARCZEWSKI, KALEB",P008004   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,15,06:13,4,45,"TARCZEWSKI, KALEB",P008004   ,Missed Free Throw (0/1 -  0 pt),FTA,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,15,06:13,4,46,"TARCZEWSKI, KALEB",P008004   ,Missed Free Throw (0/2 -  0 pt),FTA,,,AX Armani Exchange Olimpia Milan,0
BAR       ,,45,06:13,4,47,"MOERMAN, ADRIEN",P001833   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,44,06:13,4,48,"TOMIC, ANTE",P002507   ,Two Pointer (2/2 -  4 pt),2FGM,12.0,6.0,FC Barcelona Lassa,0
BAR       ,,11,06:13,4,49,"NAVARRO, JUAN CARLOS",PADI      ,Assist (2),AS,,,FC Barcelona Lassa,0
MIL       ,,,06:02,4,50,,          ,Time Out (1),TOUT,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,15,06:02,4,51,"TARCZEWSKI, KALEB",P008004   ,Out,OUT,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,77,06:02,4,52,"GUDAITIS, ARTURAS",P003120   ,In,IN,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,05:43,5,54,"GOUDELOCK, ANDREW",P004903   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
BAR       ,,9,05:41,5,55,"HANGA, ADAM",P005099   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,45,05:31,5,56,"MOERMAN, ADRIEN",P001833   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,FC Barcelona Lassa,0
MIL       ,,77,05:29,5,57,"GUDAITIS, ARTURAS",P003120   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,24,05:08,5,58,"M'BAYE, AMATH",P007993   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,77,05:09,5,59,"GUDAITIS, ARTURAS",P003120   ,Off Rebound (1),O,,,AX Armani Exchange Olimpia Milan,0
BAR       ,,9,05:09,5,60,"HANGA, ADAM",P005099   ,Foul (3),CM,,,FC Barcelona Lassa,0
MIL       ,,77,05:09,5,61,"GUDAITIS, ARTURAS",P003120   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0
BAR       ,,9,05:09,5,62,"HANGA, ADAM",P005099   ,Out,OUT,,,FC Barcelona Lassa,0
BAR       ,,21,05:09,5,63,"SANDERS, RAKIM",P005001   ,In,IN,,,FC Barcelona Lassa,0
MIL       ,,77,05:09,5,64,"GUDAITIS, ARTURAS",P003120   ,Missed Free Throw (0/1 -  0 pt),FTA,,,AX Armani Exchange Olimpia Milan,0
