CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
MAD       ,,11,09:54,1,3,"CAMPAZZO, FACUNDO",P005928   ,Three Pointer (1/1 -  3 pt),3FGM,,3.0,Real Madrid,0
CSK       ,,41,09:54,1,4,"KURBANOV, NIKITA",PJLX      ,Three Pointer (1/1 -  3 pt),3FGM,3.0,3.0,CSKA Moscow,0
CSK       ,,21,09:54,1,5,"CLYBURN, WILL",P004888   ,Assist (1),AS,,,CSKA Moscow,0
MAD       ,,11,08:58,2,7,"CAMPAZZO, FACUNDO",P005928   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Real Madrid,0
CSK       ,,,08:58,2,8,,          ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,21,08:47,2,9,"CLYBURN, WILL",P004888   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,3.0,CSKA Moscow,0
MAD       ,,5,08:41,2,10,"FERNANDEZ, RUDY",PBMT      ,Foul Drawn (1),RV,,,Real Madrid,0
CSK       ,,41,08:41,2,11,"KURBANOV, NIKITA",PJLX      ,Foul (1),CM,,,CSKA Moscow,0
MAD       ,,11,08:24,2,12,"CAMPAZZO, FACUNDO",P005928   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Real Madrid,0
CSK       ,,,08:24,2,13,,          ,Def Rebound (2),D,,,CSKA Moscow,0
CSK       ,,13,08:08,2,14,"RODRIGUEZ, SERGIO",PCVM      ,Three Pointer (1/1 -  3 pt),3FGM,8.0,3.0,CSKA Moscow,0
MAD       ,,16,08:04,2,15,"YUSTA, SANTI",P005368   ,Turnover (1),TO,,,Real Madrid,0
CSK       ,,13,08:04,2,16,"RODRIGUEZ, SERGIO",PCVM      ,Steal (1),ST,,,CSKA Moscow,0
CSK       ,,41,08:04,2,17,"KURBANOV, NIKITA",PJLX      ,Foul Drawn (1),RV,,,CSKA Moscow,0
MAD       ,,16,08:04,2,18,"YUSTA, SANTI",P005368   ,Foul (1),CM,,,Real Madrid,0
MAD       ,,,08:04,2,19,,          ,Time Out (1),TOUT,,,Real Madrid,0
CSK       ,,41,08:04,2,20,"KURBANOV, NIKITA",PJLX      ,Free Throw In (1/1 -  4 pt),FTM,9.0,3.0,CSKA Moscow,0
CSK       ,,13,08:04,2,21,"RODRIGUEZ, SERGIO",PCVM      ,Assist (1),AS,,,CSKA Moscow,0
CSK       ,,41,08:04,2,22,"KURBANOV, NIKITA",PJLX      ,Free Throw In (2/2 -  5 pt),FTM,10.0,3.0,CSKA Moscow,0
MAD       ,,11,07:59,3,24,"CAMPAZZO, FACUNDO",P005928   ,Turnover (1),TO,,,Real Madrid,0
CSK       ,,21,07:51,3,25,"CLYBURN, WILL",P004888   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,CSKA Moscow,0
MAD       ,,22,07:49,3,26,"TAVARES, WALTER",P005791   ,Def Rebound (1),D,,,Real Madrid,0
MAD       ,,33,07:34,3,27,"THOMPKINS, TREY",P005836   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0
CSK       ,,21,07:32,3,28,"CLYBURN, WILL",P004888   ,Def Rebound (1),D,,,CSKA Moscow,0
