CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,47,,          ,Begin Period,BP,,,,0
MAD       ,,11,09:43,1,48,"CAMPAZZO, FACUNDO",P005928   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0
MAD       ,,,09:43,1,49,,          ,Off Rebound (1),O,,,Real Madrid,0
MAD       ,,7,09:43,1,50,"DONCIC, LUKA",P005929   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0
MAD       ,,44,09:43,1,51,"TAYLOR, JEFFERY",P006546   ,Off Rebound (1),O,,,Real Madrid,0
MAD       ,,33,09:43,1,52,"THOMPKINS, TREY",P005836   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,,Real Madrid,0
MAD       ,,44,09:43,1,53,"TAYLOR, JEFFERY",P006546   ,Assist (1),AS,,,Real Madrid,0
OLY       ,,16,09:06,1,54,"PAPANIKOLAOU, KOSTAS",P001255   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Olympiacos Piraeus,0
MAD       ,,44,09:04,1,55,"TAYLOR, JEFFERY",P006546   ,Def Rebound (1),D,,,Real Madrid,0
MAD       ,,7,08:48,2,57,"DONCIC, LUKA",P005929   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,,Real Madrid,0
OLY       ,,15,08:29,2,58,"PRINTEZIS, GEORGIOS",PAMM      ,Three Pointer (1/1 -  3 pt),3FGM,5.0,3.0,Olympiacos Piraeus,0
OLY       ,,17,08:25,2,59,"MANTZARIS, VANGELIS",P003537   ,Assist (1),AS,,,Olympiacos Piraeus,0
MAD       ,,22,08:22,2,60,"TAVARES, WALTER",P005791   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0
MAD       ,,22,08:22,2,61,"TAVARES, WALTER",P005791   ,Shot Rejected (1),AG,,,Real Madrid,0
OLY       ,,15,08:22,2,62,"PRINTEZIS, GEORGIOS",PAMM      ,Block (1),FV,,,Olympiacos Piraeus,0
MAD       ,,,08:22,2,63,,          ,Off Rebound (2),O,,,Real Madrid,0
MAD       ,,44,08:13,2,64,"TAYLOR, JEFFERY",P006546   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0
OLY       ,,15,08:13,2,65,"PRINTEZIS, GEORGIOS",PAMM      ,Def Rebound (1),D,,,Olympiacos Piraeus,0
