CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,23,,          ,Begin Period,BP,,,,0
BAR       ,,44,09:36,1,24,"TOMIC, ANTE",P002507   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,FC Barcelona Lassa,0
TEL       ,,55,09:33,1,25,"JACKSON, PIERRE",P005112   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0
TEL       ,,5,09:27,1,26,"ROLL, MICHAEL",P004974   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Maccabi FOX Tel Aviv,0
TEL       ,,43,09:25,1,27,"BOLDEN, JONAH",P007988   ,Off Rebound (1),O,,,Maccabi FOX Tel Aviv,0
TEL       ,,55,09:20,1,28,"JACKSON, PIERRE",P005112   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Maccabi FOX Tel Aviv,0
BAR       ,,17,09:18,1,29,"KURUCS, RODIONS",P005713   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,21,09:00,1,30,"SANDERS, RAKIM",P005001   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,FC Barcelona Lassa,0
BAR       ,,21,09:00,1,31,"SANDERS, RAKIM",P005001   ,Shot Rejected (1),AG,,,FC Barcelona Lassa,0
TEL       ,,7,08:59,2,33,"KANE, DEANDRE",P005781   ,Block (1),FV,,,Maccabi FOX Tel Aviv,0
BAR       ,,21,08:59,2,34,"SANDERS, RAKIM",P005001   ,Off Rebound (1),O,,,FC Barcelona Lassa,0
BAR       ,,21,08:59,2,35,"SANDERS, RAKIM",P005001   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,FC Barcelona Lassa,0
BAR       ,,21,08:59,2,36,"SANDERS, RAKIM",P005001   ,Shot Rejected (2),AG,,,FC Barcelona Lassa,0
TEL       ,,7,08:59,2,37,"KANE, DEANDRE",P005781   ,Block (2),FV,,,Maccabi FOX Tel Aviv,0
BAR       ,,,08:59,2,38,,          ,Off Rebound (1),O,,,FC Barcelona Lassa,0
BAR       ,,21,08:59,2,39,"SANDERS, RAKIM",P005001   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,FC Barcelona Lassa,0
BAR       ,,44,08:59,2,40,"TOMIC, ANTE",P002507   ,Off Rebound (1),O,,,FC Barcelona Lassa,0
BAR       ,,21,08:59,2,41,"SANDERS, RAKIM",P005001   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,FC Barcelona Lassa,0
TEL       ,,55,08:59,2,42,"JACKSON, PIERRE",P005112   ,Def Rebound (2),D,,,Maccabi FOX Tel Aviv,0
TEL       ,,45,08:25,2,43,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Maccabi FOX Tel Aviv,0
TEL       ,,5,08:23,2,44,"ROLL, MICHAEL",P004974   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0
BAR       ,,9,08:08,2,45,"HANGA, ADAM",P005099   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,3.0,FC Barcelona Lassa,0
TEL       ,,7,07:55,3,47,"KANE, DEANDRE",P005781   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0
BAR       ,,21,07:55,3,48,"SANDERS, RAKIM",P005001   ,Foul (1),CM,,,FC Barcelona Lassa,0
TEL       ,,5,07:47,3,49,"ROLL, MICHAEL",P004974   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Maccabi FOX Tel Aviv,0
BAR       ,,9,07:44,3,50,"HANGA, ADAM",P005099   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,13,07:43,3,51,"HEURTEL, THOMAS",PKLT      ,Three Pointer (1/1 -  3 pt),3FGM,2.0,6.0,FC Barcelona Lassa,0
TEL       ,,7,07:43,3,52,"KANE, DEANDRE",P005781   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,6.0,Maccabi FOX Tel Aviv,0
BAR       ,,13,07:43,3,53,"HEURTEL, THOMAS",PKLT      ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,FC Barcelona Lassa,0
TEL       ,,43,07:43,3,54,"BOLDEN, JONAH",P007988   ,Def Rebound (1),D,,,Maccabi FOX Tel Aviv,0
BAR       ,,17,07:43,3,55,"KURUCS, RODIONS",P005713   ,Steal (1),ST,,,FC Barcelona Lassa,0
TEL       ,,55,07:43,3,56,"JACKSON, PIERRE",P005112   ,Turnover (1),TO,,,Maccabi FOX Tel Aviv,0
BAR       ,,21,07:43,3,57,"SANDERS, RAKIM",P005001   ,Three Pointer (1/3 -  3 pt),3FGM,4.0,9.0,FC Barcelona Lassa,0
BAR       ,,13,07:43,3,58,"HEURTEL, THOMAS",PKLT      ,Assist (1),AS,,,FC Barcelona Lassa,0
TEL       ,,43,06:13,4,60,"BOLDEN, JONAH",P007988   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0
BAR       ,,9,06:13,4,61,"HANGA, ADAM",P005099   ,Foul (1),CM,,,FC Barcelona Lassa,0
TEL       ,,43,06:13,4,62,"BOLDEN, JONAH",P007988   ,Free Throw In (1/1 -  1 pt),FTM,5.0,9.0,Maccabi FOX Tel Aviv,0
TEL       ,,5,06:13,4,63,"ROLL, MICHAEL",P004974   ,Assist (2),AS,,,Maccabi FOX Tel Aviv,0
TEL       ,,43,06:13,4,64,"BOLDEN, JONAH",P007988   ,Missed Free Throw (1/2 -  1 pt),FTA,,,Maccabi FOX Tel Aviv,0
BAR       ,,44,06:11,4,65,"TOMIC, ANTE",P002507   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,44,06:01,4,66,"TOMIC, ANTE",P002507   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,FC Barcelona Lassa,0
TEL       ,,43,05:58,5,68,"BOLDEN, JONAH",P007988   ,Def Rebound (2),D,,,Maccabi FOX Tel Aviv,0
TEL       ,,5,05:58,5,69,"ROLL, MICHAEL",P004974   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Maccabi FOX Tel Aviv,0
