CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
RED       ,,26,09:40,1,3,"LESSORT, MATHIAS",P003842   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Crvena Zvezda mts Belgrade,0
BAM       ,,43,09:25,1,4,"RADOSEVIC, LEON",PLEM      ,Turnover (1),TO,,,Brose Bamberg,0
RED       ,,10,09:23,1,5,"LAZIC, BRANKO",PLUO      ,Steal (1),ST,,,Crvena Zvezda mts Belgrade,0
RED       ,,51,09:15,1,6,"BJELICA, MILKO",PCHX      ,Three Pointer (1/1 -  3 pt),3FGM,,5.0,Crvena Zvezda mts Belgrade,0
RED       ,,22,09:12,1,7,"ROCHESTIE, TAYLOR",P002972   ,Assist (1),AS,,,Crvena Zvezda mts Belgrade,0
RED       ,,26,09:01,1,8,"LESSORT, MATHIAS",P003842   ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0
BAM       ,,6,09:01,1,9,"ZISIS, NIKOS",PABN      ,Foul Drawn (1),RV,,,Brose Bamberg,0
BAM       ,,2,08:52,2,11,"HICKMAN, RICKY",P004159   ,Turnover (1),TO,,,Brose Bamberg,0
RED       ,,51,08:27,2,12,"BJELICA, MILKO",PCHX      ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Crvena Zvezda mts Belgrade,0
BAM       ,,6,08:24,2,13,"ZISIS, NIKOS",PABN      ,Def Rebound (1),D,,,Brose Bamberg,0
BAM       ,,6,08:19,2,14,"ZISIS, NIKOS",PABN      ,Turnover (1),TO,,,Brose Bamberg,0
RED       ,,26,08:17,2,15,"LESSORT, MATHIAS",P003842   ,Steal (1),ST,,,Crvena Zvezda mts Belgrade,0
RED       ,,10,08:07,2,16,"LAZIC, BRANKO",PLUO      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Crvena Zvezda mts Belgrade,0
RED       ,,26,08:06,2,17,"LESSORT, MATHIAS",P003842   ,Off Rebound (1),O,,,Crvena Zvezda mts Belgrade,0
RED       ,,26,08:06,2,18,"LESSORT, MATHIAS",P003842   ,Two Pointer (2/2 -  4 pt),2FGM,,7.0,Crvena Zvezda mts Belgrade,0
BAM       ,,2,08:06,2,19,"HICKMAN, RICKY",P004159   ,Foul (1),CM,,,Brose Bamberg,0
RED       ,,26,08:06,2,20,"LESSORT, MATHIAS",P003842   ,Foul Drawn (1),RV,,,Crvena Zvezda mts Belgrade,0
RED       ,,26,08:06,2,21,"LESSORT, MATHIAS",P003842   ,Missed Free Throw (0/1 -  4 pt),FTA,,,Crvena Zvezda mts Belgrade,0
BAM       ,,3,08:06,2,22,"WRIGHT, DORELL",P008049   ,Def Rebound (1),D,,,Brose Bamberg,0
BAM       ,,3,07:40,3,24,"WRIGHT, DORELL",P008049   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,7.0,Brose Bamberg,0
BAM       ,,2,07:37,3,25,"HICKMAN, RICKY",P004159   ,Assist (1),AS,,,Brose Bamberg,0
RED       ,,51,07:21,3,26,"BJELICA, MILKO",PCHX      ,Turnover (1),TO,,,Crvena Zvezda mts Belgrade,0
BAM       ,,43,07:05,3,27,"RADOSEVIC, LEON",PLEM      ,Two Pointer (1/1 -  2 pt),2FGM,5.0,7.0,Brose Bamberg,0
BAM       ,,6,07:03,3,28,"ZISIS, NIKOS",PABN      ,Assist (1),AS,,,Brose Bamberg,0
BAM       ,,21,06:50,4,30,"RUBIT, AUGUSTINE",P006477   ,Foul (1),CM,,,Brose Bamberg,0
RED       ,,10,06:50,4,31,"LAZIC, BRANKO",PLUO      ,Foul Drawn (1),RV,,,Crvena Zvezda mts Belgrade,0
RED       ,,10,06:50,4,32,"LAZIC, BRANKO",PLUO      ,Free Throw In (1/1 -  1 pt),FTM,5.0,8.0,Crvena Zvezda mts Belgrade,0
RED       ,,51,06:50,4,33,"BJELICA, MILKO",PCHX      ,Assist (1),AS,,,Crvena Zvezda mts Belgrade,0
RED       ,,10,06:50,4,34,"LAZIC, BRANKO",PLUO      ,Free Throw In (2/2 -  2 pt),FTM,5.0,9.0,Crvena Zvezda mts Belgrade,0
BAM       ,,6,06:37,4,35,"ZISIS, NIKOS",PABN      ,Turnover (2),TO,,,Brose Bamberg,0
RED       ,,22,06:36,4,36,"ROCHESTIE, TAYLOR",P002972   ,Steal (1),ST,,,Crvena Zvezda mts Belgrade,0
RED       ,,26,06:26,4,37,"LESSORT, MATHIAS",P003842   ,Missed Two Pointer (2/3 -  4 pt),2FGA,,,Crvena Zvezda mts Belgrade,0
BAM       ,,21,06:23,4,38,"RUBIT, AUGUSTINE",P006477   ,Def Rebound (1),D,,,Brose Bamberg,0
BAM       ,,2,06:18,4,39,"HICKMAN, RICKY",P004159   ,Three Pointer (1/1 -  3 pt),3FGM,8.0,9.0,Brose Bamberg,0
BAM       ,,6,05:57,5,45,"ZISIS, NIKOS",PABN      ,Assist (2),AS,,,Brose Bamberg,0
RED       ,,22,05:55,5,41,"ROCHESTIE, TAYLOR",P002972   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Crvena Zvezda mts Belgrade,0
BAM       ,,6,05:51,5,42,"ZISIS, NIKOS",PABN      ,Def Rebound (2),D,,,Brose Bamberg,0
RED       ,,10,05:51,5,43,"LAZIC, BRANKO",PLUO      ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0
BAM       ,,6,05:51,5,44,"ZISIS, NIKOS",PABN      ,Foul Drawn (2),RV,,,Brose Bamberg,0
BAM       ,,3,05:51,5,46,"WRIGHT, DORELL",P008049   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Brose Bamberg,0
RED       ,,10,05:51,5,47,"LAZIC, BRANKO",PLUO      ,Def Rebound (1),D,,,Crvena Zvezda mts Belgrade,0
RED       ,,10,05:51,5,48,"LAZIC, BRANKO",PLUO      ,Two Pointer (1/1 -  4 pt),2FGM,8.0,11.0,Crvena Zvezda mts Belgrade,0
RED       ,,26,05:51,5,49,"LESSORT, MATHIAS",P003842   ,Assist (1),AS,,,Crvena Zvezda mts Belgrade,0
BAM       ,,2,05:51,5,50,"HICKMAN, RICKY",P004159   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Brose Bamberg,0
RED       ,,,05:51,5,51,,          ,Def Rebound (1),D,,,Crvena Zvezda mts Belgrade,0
BAM       ,,3,04:47,6,53,"WRIGHT, DORELL",P008049   ,Foul (1),CM,,,Brose Bamberg,0
RED       ,,51,04:47,6,54,"BJELICA, MILKO",PCHX      ,Foul Drawn (1),RV,,,Crvena Zvezda mts Belgrade,0
          ,,,04:47,6,55,,          ,TV Time Out (1),TOUT_TV,,,,0
RED       ,,51,04:35,6,56,"BJELICA, MILKO",PCHX      ,Turnover (2),TO,,,Crvena Zvezda mts Belgrade,0
RED       ,,51,04:19,6,57,"BJELICA, MILKO",PCHX      ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0
BAM       ,,21,04:19,6,58,"RUBIT, AUGUSTINE",P006477   ,Foul Drawn (1),RV,,,Brose Bamberg,0
BAM       ,,6,04:08,6,59,"ZISIS, NIKOS",PABN      ,Three Pointer (1/1 -  3 pt),3FGM,11.0,11.0,Brose Bamberg,0
BAM       ,,21,04:05,6,60,"RUBIT, AUGUSTINE",P006477   ,Assist (1),AS,,,Brose Bamberg,0
RED       ,,10,03:53,7,62,"LAZIC, BRANKO",PLUO      ,Two Pointer (2/2 -  6 pt),2FGM,11.0,13.0,Crvena Zvezda mts Belgrade,0
RED       ,,22,03:50,7,63,"ROCHESTIE, TAYLOR",P002972   ,Assist (2),AS,,,Crvena Zvezda mts Belgrade,0
BAM       ,,3,03:46,7,64,"WRIGHT, DORELL",P008049   ,Turnover (1),TO,,,Brose Bamberg,0
BAM       ,,0,03:46,7,65,"HACKETT, DANIEL",P001844   ,In,IN,,,Brose Bamberg,0
BAM       ,,2,03:46,7,66,"HICKMAN, RICKY",P004159   ,Out,OUT,,,Brose Bamberg,0
RED       ,,22,03:46,7,67,"ROCHESTIE, TAYLOR",P002972   ,Out,OUT,,,Crvena Zvezda mts Belgrade,0
RED       ,,31,03:46,7,68,"ENNIS, DYLAN",P008066   ,In,IN,,,Crvena Zvezda mts Belgrade,0
RED       ,,7,03:33,7,69,"DAVIDOVAC, DEJAN",P007960   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Crvena Zvezda mts Belgrade,0
RED       ,,10,03:32,7,70,"LAZIC, BRANKO",PLUO      ,Off Rebound (1),O,,,Crvena Zvezda mts Belgrade,0
BAM       ,,21,03:32,7,71,"RUBIT, AUGUSTINE",P006477   ,Foul (2),CM,,,Brose Bamberg,0
RED       ,,10,03:32,7,72,"LAZIC, BRANKO",PLUO      ,Foul Drawn (2),RV,,,Crvena Zvezda mts Belgrade,0
BAM       ,,21,03:32,7,73,"RUBIT, AUGUSTINE",P006477   ,Out,OUT,,,Brose Bamberg,0
BAM       ,,42,03:32,7,74,"MUSLI, DEJAN",PLUR      ,In,IN,,,Brose Bamberg,0
RED       ,,26,03:32,7,75,"LESSORT, MATHIAS",P003842   ,Missed Two Pointer (2/4 -  4 pt),2FGA,,,Crvena Zvezda mts Belgrade,0
BAM       ,,42,03:32,7,76,"MUSLI, DEJAN",PLUR      ,Def Rebound (1),D,,,Brose Bamberg,0
BAM       ,,0,03:32,7,77,"HACKETT, DANIEL",P001844   ,Three Pointer (1/1 -  3 pt),3FGM,14.0,13.0,Brose Bamberg,0
RED       ,,31,03:01,7,78,"ENNIS, DYLAN",P008066   ,Three Pointer (1/1 -  3 pt),3FGM,14.0,16.0,Crvena Zvezda mts Belgrade,0
RED       ,,23,02:37,8,80,"OMIC, ALEN",P004222   ,In,IN,,,Crvena Zvezda mts Belgrade,0
RED       ,,26,02:37,8,81,"LESSORT, MATHIAS",P003842   ,Out,OUT,,,Crvena Zvezda mts Belgrade,0
BAM       ,,3,02:37,8,82,"WRIGHT, DORELL",P008049   ,Three Pointer (2/3 -  6 pt),3FGM,17.0,16.0,Brose Bamberg,0
BAM       ,,42,02:37,8,83,"MUSLI, DEJAN",PLUR      ,Assist (1),AS,,,Brose Bamberg,0
RED       ,,23,02:24,8,84,"OMIC, ALEN",P004222   ,Two Pointer (1/1 -  2 pt),2FGM,17.0,18.0,Crvena Zvezda mts Belgrade,0
RED       ,,51,02:24,8,85,"BJELICA, MILKO",PCHX      ,Assist (2),AS,,,Crvena Zvezda mts Belgrade,0
BAM       ,,43,01:48,9,87,"RADOSEVIC, LEON",PLEM      ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Brose Bamberg,0
RED       ,,23,01:45,9,88,"OMIC, ALEN",P004222   ,Def Rebound (1),D,,,Crvena Zvezda mts Belgrade,0
RED       ,,51,01:42,9,89,"BJELICA, MILKO",PCHX      ,Turnover (3),TO,,,Crvena Zvezda mts Belgrade,0
BAM       ,,2,01:42,9,90,"HICKMAN, RICKY",P004159   ,In,IN,,,Brose Bamberg,0
BAM       ,,6,01:42,9,91,"ZISIS, NIKOS",PABN      ,Out,OUT,,,Brose Bamberg,0
RED       ,,7,01:42,9,92,"DAVIDOVAC, DEJAN",P007960   ,Out,OUT,,,Crvena Zvezda mts Belgrade,0
RED       ,,14,01:42,9,93,"FELDEINE, JAMES",P005918   ,In,IN,,,Crvena Zvezda mts Belgrade,0
BAM       ,,42,01:20,9,94,"MUSLI, DEJAN",PLUR      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0
BAM       ,,3,01:17,9,95,"WRIGHT, DORELL",P008049   ,Off Rebound (1),O,,,Brose Bamberg,0
BAM       ,,3,01:15,9,96,"WRIGHT, DORELL",P008049   ,Two Pointer (1/1 -  8 pt),2FGM,19.0,18.0,Brose Bamberg,0
RED       ,,51,01:02,9,97,"BJELICA, MILKO",PCHX      ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Crvena Zvezda mts Belgrade,0
BAM       ,,3,00:59,10,99,"WRIGHT, DORELL",P008049   ,Def Rebound (2),D,,,Brose Bamberg,0
RED       ,,10,00:54,10,100,"LAZIC, BRANKO",PLUO      ,Foul (2),CM,,,Crvena Zvezda mts Belgrade,0
BAM       ,,0,00:54,10,101,"HACKETT, DANIEL",P001844   ,Foul Drawn (1),RV,,,Brose Bamberg,0
BAM       ,,16,00:54,10,102,"OLINDE, LOUIS",P006919   ,In,IN,,,Brose Bamberg,0
BAM       ,,43,00:54,10,103,"RADOSEVIC, LEON",PLEM      ,Out,OUT,,,Brose Bamberg,0
