CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
CSK       ,,41,09:44,1,3,"KURBANOV, NIKITA",PJLX      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,CSKA Moscow,0
BAS       ,,,09:39,1,4,,          ,Turnover (1),TO,,,Baskonia Vitoria Gasteiz,0
CSK       ,,11,09:26,1,5,"ANTONOV, SEMEN",P004941   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,CSKA Moscow,0
BAS       ,,15,09:26,1,6,"GRANGER, JAYSON",P003024   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,15,09:11,1,7,"GRANGER, JAYSON",P003024   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,3.0,Baskonia Vitoria Gasteiz,0
CSK       ,,22,08:57,2,9,"HIGGINS, CORY",P006450   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0
CSK       ,,22,08:57,2,10,"HIGGINS, CORY",P006450   ,Shot Rejected (1),AG,,,CSKA Moscow,0
BAS       ,,12,08:57,2,11,"DIOP, ILIMANE",P003540   ,Block (1),FV,,,Baskonia Vitoria Gasteiz,0
CSK       ,,,08:57,2,12,,          ,Off Rebound (1),O,,,CSKA Moscow,0
CSK       ,,22,08:53,2,13,"HIGGINS, CORY",P006450   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,CSKA Moscow,0
BAS       ,,23,08:53,2,14,"SHENGELIA, TORNIKE",P001133   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,23,08:53,2,15,"SHENGELIA, TORNIKE",P001133   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0
CSK       ,,42,08:53,2,16,"HINES, KYLE",P002812   ,Foul (1),CM,,,CSKA Moscow,0
BAS       ,,23,08:42,2,17,"SHENGELIA, TORNIKE",P001133   ,Foul Drawn (2),RV,,,Baskonia Vitoria Gasteiz,0
CSK       ,,11,08:42,2,18,"ANTONOV, SEMEN",P004941   ,Foul (1),CM,,,CSKA Moscow,0
BAS       ,,15,08:32,2,19,"GRANGER, JAYSON",P003024   ,Two Pointer (1/1 -  5 pt),2FGM,2.0,5.0,Baskonia Vitoria Gasteiz,0
CSK       ,,1,08:20,2,20,"DE COLO, NANDO",P002100   ,Foul Drawn (1),RV,,,CSKA Moscow,0
BAS       ,,12,08:20,2,21,"DIOP, ILIMANE",P003540   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0
CSK       ,,1,08:20,2,22,"DE COLO, NANDO",P002100   ,Free Throw In (1/1 -  1 pt),FTM,3.0,5.0,CSKA Moscow,0
CSK       ,,1,08:20,2,23,"DE COLO, NANDO",P002100   ,Free Throw In (2/2 -  2 pt),FTM,4.0,5.0,CSKA Moscow,0
BAS       ,,15,08:12,2,24,"GRANGER, JAYSON",P003024   ,Offensive Foul (1),OF,,,Baskonia Vitoria Gasteiz,0
BAS       ,,15,08:12,2,25,"GRANGER, JAYSON",P003024   ,Turnover (1),TO,,,Baskonia Vitoria Gasteiz,0
CSK       ,,11,08:12,2,26,"ANTONOV, SEMEN",P004941   ,Foul Drawn (1),RV,,,CSKA Moscow,0
