CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,17,,          ,Begin Period,BP,,,,0
MIL       ,,15,09:51,1,18,"TARCZEWSKI, KALEB",P008004   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
ULK       ,,24,09:51,1,19,"VESELY, JAN",P000925   ,Foul Drawn (1),RV,,,Fenerbahce Dogus Istanbul,0
ULK       ,,21,09:36,1,20,"NUNNALLY, JAMES",P007400   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
MIL       ,,15,09:34,1,21,"TARCZEWSKI, KALEB",P008004   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,5,09:06,1,22,"MICOV, VLADIMIR",P000529   ,Three Pointer (1/1 -  3 pt),3FGM,,3.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,20,09:04,1,23,"CINCIARINI, ANDREA",PKIW      ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,08:57,2,25,"KUZMINSKAS, MINDAUGAS",P002008   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
ULK       ,,24,08:57,2,26,"VESELY, JAN",P000925   ,Foul Drawn (2),RV,,,Fenerbahce Dogus Istanbul,0
MIL       ,,15,08:49,2,27,"TARCZEWSKI, KALEB",P008004   ,Foul (2),CM,,,AX Armani Exchange Olimpia Milan,0
ULK       ,,16,08:49,2,28,"SLOUKAS, KOSTAS",P001926   ,Foul Drawn (1),RV,,,Fenerbahce Dogus Istanbul,0
ULK       ,,33,08:39,2,29,"KALINIC, NIKOLA",P004866   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,3.0,Fenerbahce Dogus Istanbul,0
ULK       ,,24,08:37,2,30,"VESELY, JAN",P000925   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
ULK       ,,44,08:24,2,31,"DUVERIOGLU, AHMET",P006399   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0
MIL       ,,15,08:24,2,32,"TARCZEWSKI, KALEB",P008004   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,15,08:24,2,33,"TARCZEWSKI, KALEB",P008004   ,Missed Free Throw (0/1 -  0 pt),FTA,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,15,08:24,2,34,"TARCZEWSKI, KALEB",P008004   ,Free Throw In (1/2 -  1 pt),FTM,2.0,4.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,5,08:24,2,35,"MICOV, VLADIMIR",P000529   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0
ULK       ,,21,08:12,2,36,"NUNNALLY, JAMES",P007400   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,4.0,Fenerbahce Dogus Istanbul,0
ULK       ,,16,08:10,2,37,"SLOUKAS, KOSTAS",P001926   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
ULK       ,,21,08:04,2,38,"NUNNALLY, JAMES",P007400   ,Unsportsmanlike Foul  (1),CMU,,,Fenerbahce Dogus Istanbul,0
MIL       ,,0,08:04,2,39,"GOUDELOCK, ANDREW",P004903   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,08:04,2,40,"GOUDELOCK, ANDREW",P004903   ,Free Throw In (1/1 -  1 pt),FTM,5.0,5.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,08:04,2,41,"GOUDELOCK, ANDREW",P004903   ,Free Throw In (2/2 -  2 pt),FTM,5.0,6.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,07:54,3,43,"GOUDELOCK, ANDREW",P004903   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0
ULK       ,,44,07:54,3,44,"DUVERIOGLU, AHMET",P006399   ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
MIL       ,,20,07:35,3,45,"CINCIARINI, ANDREA",PKIW      ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
ULK       ,,16,07:35,3,46,"SLOUKAS, KOSTAS",P001926   ,Foul Drawn (2),RV,,,Fenerbahce Dogus Istanbul,0
ULK       ,,16,07:35,3,47,"SLOUKAS, KOSTAS",P001926   ,Free Throw In (1/1 -  1 pt),FTM,6.0,6.0,Fenerbahce Dogus Istanbul,0
ULK       ,,16,07:35,3,48,"SLOUKAS, KOSTAS",P001926   ,Free Throw In (2/2 -  2 pt),FTM,7.0,6.0,Fenerbahce Dogus Istanbul,0
MIL       ,,19,07:02,3,49,"KUZMINSKAS, MINDAUGAS",P002008   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,07:00,3,50,"KUZMINSKAS, MINDAUGAS",P002008   ,Off Rebound (1),O,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,06:59,4,52,"KUZMINSKAS, MINDAUGAS",P002008   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,06:59,4,53,"KUZMINSKAS, MINDAUGAS",P002008   ,Shot Rejected (1),AG,,,AX Armani Exchange Olimpia Milan,0
ULK       ,,44,06:56,4,54,"DUVERIOGLU, AHMET",P006399   ,Block (1),FV,,,Fenerbahce Dogus Istanbul,0
ULK       ,,24,06:55,4,55,"VESELY, JAN",P000925   ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,16,06:51,4,56,"SLOUKAS, KOSTAS",P001926   ,Two Pointer (1/1 -  4 pt),2FGM,9.0,6.0,Fenerbahce Dogus Istanbul,0
MIL       ,,5,06:31,4,57,"MICOV, VLADIMIR",P000529   ,Three Pointer (2/2 -  6 pt),3FGM,9.0,9.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,06:29,4,58,"GOUDELOCK, ANDREW",P004903   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0
ULK       ,,24,06:12,4,59,"VESELY, JAN",P000925   ,Two Pointer (1/1 -  2 pt),2FGM,11.0,9.0,Fenerbahce Dogus Istanbul,0
MIL       ,,0,05:52,5,61,"GOUDELOCK, ANDREW",P004903   ,Two Pointer (1/1 -  4 pt),2FGM,11.0,11.0,AX Armani Exchange Olimpia Milan,0
