CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,8,,          ,Begin Period,BP,,,,0
MAD       ,,11,09:32,1,9,"CAMPAZZO, FACUNDO",P005928   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0
ULK       ,,16,09:31,1,10,"SLOUKAS, KOSTAS",P001926   ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,21,09:18,1,11,"NUNNALLY, JAMES",P007400   ,Three Pointer (1/1 -  3 pt),3FGM,,3.0,Fenerbahce Dogus Istanbul,0
ULK       ,,16,09:16,1,12,"SLOUKAS, KOSTAS",P001926   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
MAD       ,,20,08:57,2,14,"CARROLL, JAYCEE",P001960   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0
ULK       ,,16,08:52,2,15,"SLOUKAS, KOSTAS",P001926   ,Def Rebound (2),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,44,08:34,2,16,"DUVERIOGLU, AHMET",P006399   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
MAD       ,,22,08:32,2,17,"TAVARES, WALTER",P005791   ,Def Rebound (1),D,,,Real Madrid,0
MAD       ,,11,08:31,2,18,"CAMPAZZO, FACUNDO",P005928   ,Foul Drawn (1),RV,,,Real Madrid,0
ULK       ,,44,08:31,2,19,"DUVERIOGLU, AHMET",P006399   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0
MAD       ,,11,08:31,2,20,"CAMPAZZO, FACUNDO",P005928   ,Free Throw In (1/1 -  1 pt),FTM,1.0,3.0,Real Madrid,0
MAD       ,,11,08:31,2,21,"CAMPAZZO, FACUNDO",P005928   ,Free Throw In (2/2 -  2 pt),FTM,2.0,3.0,Real Madrid,0
ULK       ,,24,08:04,2,22,"VESELY, JAN",P000925   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
ULK       ,,44,08:00,2,23,"DUVERIOGLU, AHMET",P006399   ,Off Rebound (1),O,,,Fenerbahce Dogus Istanbul,0
