CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
RED       ,,26,09:59,1,3,"LESSORT, MATHIAS",P003842   ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
BAR       ,,44,09:59,1,4,"TOMIC, ANTE",P002507   ,Foul Drawn (1),RV,,,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
BAR       ,,5,09:50,1,5,"RIBAS, PAU",PJUG      ,Turnover (1),TO,,,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
RED       ,,14,09:50,1,6,"FELDEINE, JAMES",P005918   ,Steal (1),ST,,,Crvena Zvezda mts Belgrade,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
RED       ,,14,09:50,1,7,"FELDEINE, JAMES",P005918   ,Three Pointer (1/1 -  3 pt),3FGM,,3.0,Crvena Zvezda mts Belgrade,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
RED       ,,22,09:50,1,8,"ROCHESTIE, TAYLOR",P002972   ,Assist (1),AS,,,Crvena Zvezda mts Belgrade,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
RED       ,,51,09:18,1,9,"BJELICA, MILKO",PCHX      ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
BAR       ,,10,09:18,1,10,"JACKSON, EDWIN",P000229   ,Foul Drawn (1),RV,,,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
BAR       ,,10,09:09,1,11,"JACKSON, EDWIN",P000229   ,Turnover (1),TO,,,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
RED       ,,10,09:07,1,12,"LAZIC, BRANKO",PLUO      ,Steal (1),ST,,,Crvena Zvezda mts Belgrade,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
RED       ,,22,08:47,2,14,"ROCHESTIE, TAYLOR",P002972   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Crvena Zvezda mts Belgrade,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
BAR       ,,45,08:45,2,15,"MOERMAN, ADRIEN",P001833   ,Def Rebound (1),D,,,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
BAR       ,,5,08:23,2,16,"RIBAS, PAU",PJUG      ,Three Pointer (1/1 -  3 pt),3FGM,3.0,3.0,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
RED       ,,14,07:55,3,18,"FELDEINE, JAMES",P005918   ,Two Pointer (1/1 -  5 pt),2FGM,3.0,5.0,Crvena Zvezda mts Belgrade,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
BAR       ,,45,07:40,3,19,"MOERMAN, ADRIEN",P001833   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
RED       ,,22,07:38,3,20,"ROCHESTIE, TAYLOR",P002972   ,Def Rebound (1),D,,,Crvena Zvezda mts Belgrade,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
RED       ,,26,07:28,3,21,"LESSORT, MATHIAS",P003842   ,Turnover (1),TO,,,Crvena Zvezda mts Belgrade,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
BAR       ,,45,07:26,3,22,"MOERMAN, ADRIEN",P001833   ,Steal (1),ST,,,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
BAR       ,,5,07:27,3,23,"RIBAS, PAU",PJUG      ,Two Pointer (1/1 -  5 pt),2FGM,5.0,5.0,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
BAR       ,,45,07:27,3,24,"MOERMAN, ADRIEN",P001833   ,Assist (1),AS,,,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
RED       ,,10,07:04,3,25,"LAZIC, BRANKO",PLUO      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
BAR       ,,10,07:02,3,26,"JACKSON, EDWIN",P000229   ,Def Rebound (1),D,,,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
BAR       ,,44,06:53,4,28,"TOMIC, ANTE",P002507   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,5.0,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
BAR       ,,10,06:49,4,29,"JACKSON, EDWIN",P000229   ,Assist (1),AS,,,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
RED       ,,22,06:38,4,30,"ROCHESTIE, TAYLOR",P002972   ,Turnover (1),TO,,,Crvena Zvezda mts Belgrade,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
BAR       ,,45,06:37,4,31,"MOERMAN, ADRIEN",P001833   ,Steal (2),ST,,,FC Barcelona Lassa,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
RED       ,,14,06:34,4,32,"FELDEINE, JAMES",P005918   ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0,FC Barcelona Lassa,BAR,Crvena Zvezda mts Belgrade,RED
