CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
CSK       ,,41,09:52,1,3,"KURBANOV, NIKITA",PJLX      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,CSKA Moscow,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
MAL       ,,12,09:30,1,4,"MILOSAVLJEVIC, DRAGAN",P002822   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Unicaja Malaga,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
CSK       ,,22,09:19,1,5,"HIGGINS, CORY",P006450   ,Foul Drawn (1),RV,,,CSKA Moscow,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
MAL       ,,2,09:19,1,6,"OKOUO, VINY",P005363   ,Foul (1),CM,,,Unicaja Malaga,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
CSK       ,,20,09:09,1,7,"VORONTSEVICH, ANDREY",PLHI      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,CSKA Moscow,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
MAL       ,,12,09:07,1,8,"MILOSAVLJEVIC, DRAGAN",P002822   ,Def Rebound (1),D,,,Unicaja Malaga,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
MAL       ,,12,08:54,2,10,"MILOSAVLJEVIC, DRAGAN",P002822   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Unicaja Malaga,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
CSK       ,,41,08:51,2,11,"KURBANOV, NIKITA",PJLX      ,Def Rebound (1),D,,,CSKA Moscow,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
CSK       ,,41,08:40,2,12,"KURBANOV, NIKITA",PJLX      ,Three Pointer (1/1 -  5 pt),3FGM,5.0,2.0,CSKA Moscow,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
CSK       ,,13,08:38,2,13,"RODRIGUEZ, SERGIO",PCVM      ,Assist (1),AS,,,CSKA Moscow,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
MAL       ,,16,08:25,2,14,"NEDOVIC, NEMANJA",P000848   ,Foul Drawn (1),RV,,,Unicaja Malaga,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
CSK       ,,42,08:25,2,15,"HINES, KYLE",P002812   ,Foul (1),CM,,,CSKA Moscow,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
MAL       ,,3,08:17,2,16,"MCCALLUM, RAY",P008002   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
MAL       ,,,08:17,2,18,,          ,Turnover (1),TO,,,Unicaja Malaga,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
CSK       ,,41,07:52,3,20,"KURBANOV, NIKITA",PJLX      ,Turnover (1),TO,,,CSKA Moscow,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
MAL       ,,12,07:50,3,21,"MILOSAVLJEVIC, DRAGAN",P002822   ,Steal (1),ST,,,Unicaja Malaga,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
MAL       ,,16,07:37,3,22,"NEDOVIC, NEMANJA",P000848   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
CSK       ,,22,07:34,3,23,"HIGGINS, CORY",P006450   ,Def Rebound (1),D,,,CSKA Moscow,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
CSK       ,,41,07:30,3,24,"KURBANOV, NIKITA",PJLX      ,Two Pointer (2/2 -  7 pt),2FGM,7.0,2.0,CSKA Moscow,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
CSK       ,,22,07:27,3,25,"HIGGINS, CORY",P006450   ,Assist (1),AS,,,CSKA Moscow,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
MAL       ,,2,07:15,3,26,"OKOUO, VINY",P005363   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0,CSKA Moscow,CSK,Unicaja Malaga,MAL
