CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
MAD       ,,20,09:39,1,3,"CARROLL, JAYCEE",P001960   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0
PAN       ,,14,09:37,1,4,"GIST, JAMES",P002980   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,43,09:35,1,5,"ANTETOKOUNMPO, THANASIS",P007865   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
MAD       ,,20,09:35,1,6,"CARROLL, JAYCEE",P001960   ,Foul (1),CM,,,Real Madrid,0
PAN       ,,24,09:26,1,7,"LOJESKI, MATT",P003608   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
MAD       ,,22,09:24,1,8,"TAVARES, WALTER",P005791   ,Def Rebound (1),D,,,Real Madrid,0
MAD       ,,11,09:20,1,9,"CAMPAZZO, FACUNDO",P005928   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0
MAD       ,,22,09:20,1,10,"TAVARES, WALTER",P005791   ,Off Rebound (1),O,,,Real Madrid,0
MAD       ,,22,09:20,1,11,"TAVARES, WALTER",P005791   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Real Madrid,0
PAN       ,,14,08:52,2,13,"GIST, JAMES",P002980   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,43,08:49,2,14,"ANTETOKOUNMPO, THANASIS",P007865   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0
PAN       ,,43,08:49,2,15,"ANTETOKOUNMPO, THANASIS",P007865   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
MAD       ,,3,08:47,2,16,"RANDOLPH, ANTHONY",P005757   ,Def Rebound (1),D,,,Real Madrid,0
