CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Zalgiris Kaunas,ZAL,Fenerbahce Dogus Istanbul,ULK
ZAL       ,,13,09:48,1,3,"JANKUNAS, PAULIUS",PBWI      ,Foul (1),CM,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Fenerbahce Dogus Istanbul,ULK
ULK       ,,4,09:48,1,4,"MELLI, NICOLO",P002849   ,Foul Drawn (1),RV,,,Fenerbahce Dogus Istanbul,0,Zalgiris Kaunas,ZAL,Fenerbahce Dogus Istanbul,ULK
ULK       ,,4,09:48,1,5,"MELLI, NICOLO",P002849   ,Free Throw In (1/1 -  1 pt),FTM,,1.0,Fenerbahce Dogus Istanbul,0,Zalgiris Kaunas,ZAL,Fenerbahce Dogus Istanbul,ULK
ULK       ,,4,09:48,1,6,"MELLI, NICOLO",P002849   ,Free Throw In (2/2 -  2 pt),FTM,,2.0,Fenerbahce Dogus Istanbul,0,Zalgiris Kaunas,ZAL,Fenerbahce Dogus Istanbul,ULK
ULK       ,,44,09:32,1,7,"DUVERIOGLU, AHMET",P006399   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0,Zalgiris Kaunas,ZAL,Fenerbahce Dogus Istanbul,ULK
ZAL       ,,3,09:32,1,8,"PANGOS, KEVIN",P006433   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Fenerbahce Dogus Istanbul,ULK
ZAL       ,,0,09:24,1,9,"DAVIES, BRANDON",P007870   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Fenerbahce Dogus Istanbul,ULK
ULK       ,,33,09:08,1,10,"KALINIC, NIKOLA",P004866   ,Offensive Foul (1),OF,,,Fenerbahce Dogus Istanbul,0,Zalgiris Kaunas,ZAL,Fenerbahce Dogus Istanbul,ULK
ULK       ,,33,09:08,1,11,"KALINIC, NIKOLA",P004866   ,Turnover (1),TO,,,Fenerbahce Dogus Istanbul,0,Zalgiris Kaunas,ZAL,Fenerbahce Dogus Istanbul,ULK
ZAL       ,,92,09:08,1,12,"ULANOVAS, EDGARAS",P002329   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Fenerbahce Dogus Istanbul,ULK
ZAL       ,,0,08:55,2,14,"DAVIES, BRANDON",P007870   ,Two Pointer (2/2 -  4 pt),2FGM,4.0,2.0,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Fenerbahce Dogus Istanbul,ULK
