CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,69,,          ,Begin Period,BP,,,,0
PAN       ,,33,09:59,1,70,"CALATHES, NICK",P001932   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,09:59,1,71,"CALATHES, NICK",P001932   ,Shot Rejected (1),AG,,,Panathinaikos Superfoods Athens,0
MAL       ,,3,09:59,1,72,"MCCALLUM, RAY",P008002   ,Block (1),FV,,,Unicaja Malaga,0
MAL       ,,12,09:59,1,73,"MILOSAVLJEVIC, DRAGAN",P002822   ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,16,09:59,1,74,"NEDOVIC, NEMANJA",P000848   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0
PAN       ,,0,09:59,1,75,"SINGLETON, CHRIS",P006614   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,09:59,1,76,"CALATHES, NICK",P001932   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
MAL       ,,,09:59,1,77,,          ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,40,08:48,2,79,"AUGUSTINE, JAMES",P001438   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Unicaja Malaga,0
MAL       ,,16,08:46,2,80,"NEDOVIC, NEMANJA",P000848   ,Assist (1),AS,,,Unicaja Malaga,0
PAN       ,,0,08:23,2,81,"SINGLETON, CHRIS",P006614   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,3.0,Panathinaikos Superfoods Athens,0
PAN       ,,5,08:20,2,82,"JAMES, MIKE",P005985   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0
MAL       ,,12,07:59,3,84,"MILOSAVLJEVIC, DRAGAN",P002822   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,3.0,Unicaja Malaga,0
MAL       ,,40,07:59,3,85,"AUGUSTINE, JAMES",P001438   ,Assist (1),AS,,,Unicaja Malaga,0
PAN       ,,5,07:49,3,86,"JAMES, MIKE",P005985   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,,07:49,3,87,,          ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0
MAL       ,,23,07:49,3,88,"BROOKS, JEFF",P004117   ,Foul (1),CM,,,Unicaja Malaga,0
PAN       ,,0,07:49,3,89,"SINGLETON, CHRIS",P006614   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
PAN       ,,43,07:44,3,90,"ANTETOKOUNMPO, THANASIS",P007865   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,5.0,Panathinaikos Superfoods Athens,0
PAN       ,,33,07:42,3,91,"CALATHES, NICK",P001932   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0
MAL       ,,40,07:25,3,92,"AUGUSTINE, JAMES",P001438   ,Two Pointer (2/2 -  4 pt),2FGM,7.0,5.0,Unicaja Malaga,0
MAL       ,,16,07:23,3,93,"NEDOVIC, NEMANJA",P000848   ,Assist (2),AS,,,Unicaja Malaga,0
PAN       ,,43,07:18,3,94,"ANTETOKOUNMPO, THANASIS",P007865   ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0
MAL       ,,16,07:17,3,95,"NEDOVIC, NEMANJA",P000848   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0
PAN       ,,43,07:17,3,96,"ANTETOKOUNMPO, THANASIS",P007865   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
MAL       ,,40,07:17,3,97,"AUGUSTINE, JAMES",P001438   ,Foul (1),CM,,,Unicaja Malaga,0
PAN       ,,0,07:17,3,98,"SINGLETON, CHRIS",P006614   ,Foul Drawn (2),RV,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,07:17,3,99,"SINGLETON, CHRIS",P006614   ,Missed Free Throw (0/1 -  3 pt),FTA,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,07:17,3,100,"SINGLETON, CHRIS",P006614   ,Free Throw In (1/2 -  4 pt),FTM,7.0,6.0,Panathinaikos Superfoods Athens,0
PAN       ,,43,07:17,3,101,"ANTETOKOUNMPO, THANASIS",P007865   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0
MAL       ,,12,07:17,3,102,"MILOSAVLJEVIC, DRAGAN",P002822   ,Foul Drawn (1),RV,,,Unicaja Malaga,0
MAL       ,,12,07:17,3,103,"MILOSAVLJEVIC, DRAGAN",P002822   ,Free Throw In (1/1 -  4 pt),FTM,8.0,6.0,Unicaja Malaga,0
MAL       ,,12,07:17,3,104,"MILOSAVLJEVIC, DRAGAN",P002822   ,Free Throw In (2/2 -  5 pt),FTM,9.0,6.0,Unicaja Malaga,0
MAL       ,,23,07:17,3,325,"BROOKS, JEFF",P004117   ,Assist (1),AS,,,Unicaja Malaga,0
PAN       ,,43,06:29,4,106,"ANTETOKOUNMPO, THANASIS",P007865   ,Turnover (2),TO,,,Panathinaikos Superfoods Athens,0
MAL       ,,23,06:27,4,107,"BROOKS, JEFF",P004117   ,Steal (1),ST,,,Unicaja Malaga,0
MAL       ,,16,06:13,4,108,"NEDOVIC, NEMANJA",P000848   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Unicaja Malaga,0
PAN       ,,23,06:11,4,109,"AUGUSTE, ZACH",P007948   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,5,06:05,4,110,"JAMES, MIKE",P005985   ,Two Pointer (1/1 -  2 pt),2FGM,9.0,8.0,Panathinaikos Superfoods Athens,0
PAN       ,,23,06:02,4,111,"AUGUSTE, ZACH",P007948   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0
MAL       ,,3,05:58,5,113,"MCCALLUM, RAY",P008002   ,Two Pointer (1/1 -  2 pt),2FGM,11.0,8.0,Unicaja Malaga,0
PAN       ,,33,05:58,5,114,"CALATHES, NICK",P001932   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,05:58,5,115,"SINGLETON, CHRIS",P006614   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0
PAN       ,,23,05:58,5,116,"AUGUSTE, ZACH",P007948   ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0
PAN       ,,3,05:58,5,117,"RIVERS, KC",P002429   ,In,IN,,,Panathinaikos Superfoods Athens,0
PAN       ,,43,05:58,5,118,"ANTETOKOUNMPO, THANASIS",P007865   ,Out,OUT,,,Panathinaikos Superfoods Athens,0
MAL       ,,3,05:19,5,119,"MCCALLUM, RAY",P008002   ,Turnover (1),TO,,,Unicaja Malaga,0
PAN       ,,3,05:18,5,120,"RIVERS, KC",P002429   ,Steal (1),ST,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,05:15,5,121,"CALATHES, NICK",P001932   ,Two Pointer (1/2 -  2 pt),2FGM,11.0,10.0,Panathinaikos Superfoods Athens,0
PAN       ,,3,05:11,5,122,"RIVERS, KC",P002429   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0
MAL       ,,16,04:57,6,124,"NEDOVIC, NEMANJA",P000848   ,Three Pointer (1/2 -  3 pt),3FGM,14.0,10.0,Unicaja Malaga,0
PAN       ,,3,04:27,6,125,"RIVERS, KC",P002429   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
MAL       ,,16,04:24,6,126,"NEDOVIC, NEMANJA",P000848   ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,3,04:12,6,127,"MCCALLUM, RAY",P008002   ,Turnover (2),TO,,,Unicaja Malaga,0
PAN       ,,3,04:08,6,128,"RIVERS, KC",P002429   ,Steal (2),ST,,,Panathinaikos Superfoods Athens,0
PAN       ,,5,04:04,6,129,"JAMES, MIKE",P005985   ,Two Pointer (2/2 -  4 pt),2FGM,14.0,12.0,Panathinaikos Superfoods Athens,0
PAN       ,,3,04:02,6,130,"RIVERS, KC",P002429   ,Assist (2),AS,,,Panathinaikos Superfoods Athens,0
MAL       ,,12,03:55,7,132,"MILOSAVLJEVIC, DRAGAN",P002822   ,Turnover (1),TO,,,Unicaja Malaga,0
PAN       ,,3,03:55,7,133,"RIVERS, KC",P002429   ,Steal (3),ST,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,03:55,7,134,"CALATHES, NICK",P001932   ,Missed Three Pointer (0/3 -  2 pt),3FGA,,,Panathinaikos Superfoods Athens,0
MAL       ,,23,03:55,7,135,"BROOKS, JEFF",P004117   ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,3,03:25,7,136,"MCCALLUM, RAY",P008002   ,Three Pointer (1/1 -  5 pt),3FGM,17.0,12.0,Unicaja Malaga,0
MAL       ,,3,03:25,7,137,"MCCALLUM, RAY",P008002   ,Foul Drawn (1),RV,,,Unicaja Malaga,0
PAN       ,,3,03:25,7,138,"RIVERS, KC",P002429   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0
          ,,,03:24,7,139,,          ,TV Time Out (1),TOUT_TV,,,,0
