CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
MAD       ,,20,09:49,1,3,"CARROLL, JAYCEE",P001960   ,Turnover (1),TO,,,Real Madrid,0
MIL       ,,5,09:47,1,4,"MICOV, VLADIMIR",P000529   ,Steal (1),ST,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,09:30,1,5,"GOUDELOCK, ANDREW",P004903   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,AX Armani Exchange Olimpia Milan,0
MAD       ,,44,09:16,1,6,"TAYLOR, JEFFERY",P006546   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Real Madrid,0
MAD       ,,11,09:13,1,7,"CAMPAZZO, FACUNDO",P005928   ,Assist (1),AS,,,Real Madrid,0
MIL       ,,0,08:54,2,9,"GOUDELOCK, ANDREW",P004903   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0
MAD       ,,3,08:52,2,10,"RANDOLPH, ANTHONY",P005757   ,Def Rebound (1),D,,,Real Madrid,0
MAD       ,,3,08:44,2,11,"RANDOLPH, ANTHONY",P005757   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,4.0,Real Madrid,0
MIL       ,,0,08:20,2,12,"GOUDELOCK, ANDREW",P004903   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
MAD       ,,22,08:18,2,13,"TAVARES, WALTER",P005791   ,Def Rebound (1),D,,,Real Madrid,0
MAD       ,,20,08:09,2,14,"CARROLL, JAYCEE",P001960   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0
MIL       ,,15,08:07,2,15,"TARCZEWSKI, KALEB",P008004   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,07:53,3,18,"KUZMINSKAS, MINDAUGAS",P002008   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,07:53,3,19,"KUZMINSKAS, MINDAUGAS",P002008   ,Shot Rejected (1),AG,,,AX Armani Exchange Olimpia Milan,0
MAD       ,,3,07:53,3,20,"RANDOLPH, ANTHONY",P005757   ,Block (1),FV,,,Real Madrid,0
MAD       ,,3,07:53,3,21,"RANDOLPH, ANTHONY",P005757   ,Def Rebound (2),D,,,Real Madrid,0
MAD       ,,20,07:53,3,22,"CARROLL, JAYCEE",P001960   ,Three Pointer (1/2 -  3 pt),3FGM,2.0,7.0,Real Madrid,0
MAD       ,,11,07:53,3,23,"CAMPAZZO, FACUNDO",P005928   ,Assist (2),AS,,,Real Madrid,0
MIL       ,,5,07:53,3,24,"MICOV, VLADIMIR",P000529   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0
MAD       ,,11,07:53,3,25,"CAMPAZZO, FACUNDO",P005928   ,Def Rebound (1),D,,,Real Madrid,0
MAD       ,,44,07:53,3,26,"TAYLOR, JEFFERY",P006546   ,Two Pointer (2/2 -  4 pt),2FGM,2.0,9.0,Real Madrid,0
MAD       ,,11,07:53,3,27,"CAMPAZZO, FACUNDO",P005928   ,Assist (3),AS,,,Real Madrid,0
MIL       ,,15,06:54,4,29,"TARCZEWSKI, KALEB",P008004   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,15,06:54,4,30,"TARCZEWSKI, KALEB",P008004   ,Shot Rejected (1),AG,,,AX Armani Exchange Olimpia Milan,0
MAD       ,,22,06:52,4,31,"TAVARES, WALTER",P005791   ,Block (1),FV,,,Real Madrid,0
MAD       ,,3,06:51,4,32,"RANDOLPH, ANTHONY",P005757   ,Def Rebound (3),D,,,Real Madrid,0
MAD       ,,20,06:49,4,33,"CARROLL, JAYCEE",P001960   ,Three Pointer (2/3 -  6 pt),3FGM,2.0,12.0,Real Madrid,0
MAD       ,,11,06:49,4,34,"CAMPAZZO, FACUNDO",P005928   ,Assist (4),AS,,,Real Madrid,0
MIL       ,,,06:48,4,35,,          ,Time Out (1),TOUT,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,06:46,4,36,"GOUDELOCK, ANDREW",P004903   ,Two Pointer (2/3 -  4 pt),2FGM,4.0,12.0,AX Armani Exchange Olimpia Milan,0
MAD       ,,11,06:32,4,37,"CAMPAZZO, FACUNDO",P005928   ,Foul Drawn (1),RV,,,Real Madrid,0
MIL       ,,20,06:32,4,38,"CINCIARINI, ANDREA",PKIW      ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
MAD       ,,22,06:16,4,39,"TAVARES, WALTER",P005791   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,14.0,Real Madrid,0
MIL       ,,20,05:50,5,41,"CINCIARINI, ANDREA",PKIW      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
MAD       ,,11,05:48,5,42,"CAMPAZZO, FACUNDO",P005928   ,Def Rebound (2),D,,,Real Madrid,0
MAD       ,,11,05:42,5,43,"CAMPAZZO, FACUNDO",P005928   ,Turnover (1),TO,,,Real Madrid,0
MIL       ,,19,05:40,5,44,"KUZMINSKAS, MINDAUGAS",P002008   ,Steal (1),ST,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,5,05:36,5,45,"MICOV, VLADIMIR",P000529   ,Two Pointer (1/1 -  2 pt),2FGM,6.0,14.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,05:34,5,46,"KUZMINSKAS, MINDAUGAS",P002008   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0
MAD       ,,20,05:16,5,47,"CARROLL, JAYCEE",P001960   ,Two Pointer (1/1 -  8 pt),2FGM,6.0,16.0,Real Madrid,0
MIL       ,,5,05:01,5,48,"MICOV, VLADIMIR",P000529   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
