CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,13,,          ,Begin Period,BP,,,,0
BAS       ,,15,09:59,1,14,"GRANGER, JAYSON",P003024   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,,Baskonia Vitoria Gasteiz,0
BAS       ,,11,09:59,1,15,"JANNING, MATT",P004165   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
BAM       ,,12,09:41,1,16,"LO, MAODO",P007032   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Brose Bamberg,0
BAS       ,,8,09:41,1,17,"MALMANIS, RINALDS",P004185   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,11,09:21,1,18,"JANNING, MATT",P004165   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Baskonia Vitoria Gasteiz,0
BAS       ,,,09:15,1,19,,          ,Off Rebound (1),O,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,09:06,1,20,"POIRIER, VINCENT",P004887   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
BAM       ,,3,09:06,1,21,"WRIGHT, DORELL",P008049   ,Def Rebound (1),D,,,Brose Bamberg,0
BAM       ,,3,08:52,2,23,"WRIGHT, DORELL",P008049   ,Turnover (1),TO,,,Brose Bamberg,0
BAS       ,,15,08:50,2,24,"GRANGER, JAYSON",P003024   ,Steal (1),ST,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,08:44,2,25,"POIRIER, VINCENT",P004887   ,Two Pointer (1/2 -  2 pt),2FGM,5.0,,Baskonia Vitoria Gasteiz,0
BAS       ,,15,08:42,2,26,"GRANGER, JAYSON",P003024   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
BAM       ,,12,08:19,2,27,"LO, MAODO",P007032   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0
