CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,9,,          ,Begin Period,BP,,,,0
RED       ,,,09:34,1,10,,          ,Turnover (1),TO,,,Crvena Zvezda mts Belgrade,0
PAN       ,,33,09:12,1,11,"CALATHES, NICK",P001932   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Panathinaikos Superfoods Athens,0
RED       ,,22,09:12,1,12,"ROCHESTIE, TAYLOR",P002972   ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0
PAN       ,,33,09:12,1,13,"CALATHES, NICK",P001932   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,09:12,1,14,"CALATHES, NICK",P001932   ,Free Throw In (1/1 -  3 pt),FTM,3.0,,Panathinaikos Superfoods Athens,0
PAN       ,,43,09:04,1,15,"ANTETOKOUNMPO, THANASIS",P007865   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0
RED       ,,22,09:04,1,16,"ROCHESTIE, TAYLOR",P002972   ,Foul Drawn (1),RV,,,Crvena Zvezda mts Belgrade,0
RED       ,,7,08:48,2,18,"DAVIDOVAC, DEJAN",P007960   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0
PAN       ,,43,08:46,2,19,"ANTETOKOUNMPO, THANASIS",P007865   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,43,08:29,2,20,"ANTETOKOUNMPO, THANASIS",P007865   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,,Panathinaikos Superfoods Athens,0
PAN       ,,5,08:27,2,21,"JAMES, MIKE",P005985   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0
RED       ,,26,08:09,2,22,"LESSORT, MATHIAS",P003842   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,2.0,Crvena Zvezda mts Belgrade,0
RED       ,,10,08:07,2,23,"LAZIC, BRANKO",PLUO      ,Assist (1),AS,,,Crvena Zvezda mts Belgrade,0
