CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
BAS       ,,7,09:39,1,3,"VOIGTMANN, JOHANNES",P007201   ,Three Pointer (1/1 -  3 pt),3FGM,,3.0,Baskonia Vitoria Gasteiz,0
BAS       ,,29,09:37,1,4,"GARINO, PATRICIO",P007994   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
BAR       ,,10,09:18,1,5,"JACKSON, EDWIN",P000229   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,FC Barcelona Lassa,0
BAS       ,,7,09:15,1,6,"VOIGTMANN, JOHANNES",P007201   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,10,09:07,1,7,"BEAUBOIS, RODRIGUE",P006590   ,Turnover (1),TO,,,Baskonia Vitoria Gasteiz,0
BAR       ,,30,09:05,1,8,"CLAVER, VICTOR",P000556   ,Steal (1),ST,,,FC Barcelona Lassa,0
BAR       ,,13,08:58,2,10,"HEURTEL, THOMAS",PKLT      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,FC Barcelona Lassa,0
BAR       ,,13,08:58,2,11,"HEURTEL, THOMAS",PKLT      ,Shot Rejected (1),AG,,,FC Barcelona Lassa,0
BAS       ,,7,08:55,2,12,"VOIGTMANN, JOHANNES",P007201   ,Block (1),FV,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,08:55,2,13,"POIRIER, VINCENT",P004887   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,3,08:55,2,14,"VILDOZA, LUCA",P007947   ,Turnover (1),TO,,,Baskonia Vitoria Gasteiz,0
BAR       ,,18,08:38,2,15,"ORIOLA, PIERRE",P005917   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,FC Barcelona Lassa,0
BAR       ,,18,08:38,2,16,"ORIOLA, PIERRE",P005917   ,Shot Rejected (1),AG,,,FC Barcelona Lassa,0
BAS       ,,17,08:35,2,17,"POIRIER, VINCENT",P004887   ,Block (1),FV,,,Baskonia Vitoria Gasteiz,0
BAS       ,,3,08:35,2,18,"VILDOZA, LUCA",P007947   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAR       ,,30,08:35,2,19,"CLAVER, VICTOR",P000556   ,Foul (1),CM,,,FC Barcelona Lassa,0
BAS       ,,29,08:35,2,20,"GARINO, PATRICIO",P007994   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,08:24,2,21,"POIRIER, VINCENT",P004887   ,Two Pointer (1/1 -  2 pt),2FGM,,5.0,Baskonia Vitoria Gasteiz,0
BAS       ,,7,08:22,2,22,"VOIGTMANN, JOHANNES",P007201   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
BAR       ,,25,08:06,2,23,"KOPONEN, PETTERI",P004178   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,5.0,FC Barcelona Lassa,0
BAS       ,,7,07:48,3,25,"VOIGTMANN, JOHANNES",P007201   ,Two Pointer (1/1 -  5 pt),2FGM,2.0,7.0,Baskonia Vitoria Gasteiz,0
BAS       ,,17,07:46,3,26,"POIRIER, VINCENT",P004887   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
BAS       ,,3,07:36,3,27,"VILDOZA, LUCA",P007947   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0
BAR       ,,13,07:36,3,28,"HEURTEL, THOMAS",PKLT      ,Foul Drawn (1),RV,,,FC Barcelona Lassa,0
BAR       ,,25,07:27,3,29,"KOPONEN, PETTERI",P004178   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,FC Barcelona Lassa,0
BAR       ,,25,07:27,3,30,"KOPONEN, PETTERI",P004178   ,Shot Rejected (1),AG,,,FC Barcelona Lassa,0
BAS       ,,10,07:24,3,31,"BEAUBOIS, RODRIGUE",P006590   ,Block (1),FV,,,Baskonia Vitoria Gasteiz,0
BAS       ,,3,07:22,3,32,"VILDOZA, LUCA",P007947   ,Def Rebound (2),D,,,Baskonia Vitoria Gasteiz,0
BAR       ,,13,07:22,3,33,"HEURTEL, THOMAS",PKLT      ,Foul (1),CM,,,FC Barcelona Lassa,0
BAS       ,,3,07:22,3,34,"VILDOZA, LUCA",P007947   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0
BAR       ,,8,07:22,3,35,"PRESSEY, PHIL",P007997   ,In,IN,,,FC Barcelona Lassa,0
BAR       ,,13,07:22,3,36,"HEURTEL, THOMAS",PKLT      ,Out,OUT,,,FC Barcelona Lassa,0
BAS       ,,10,07:11,3,37,"BEAUBOIS, RODRIGUE",P006590   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
BAR       ,,25,07:09,3,38,"KOPONEN, PETTERI",P004178   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,30,06:50,4,40,"CLAVER, VICTOR",P000556   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,FC Barcelona Lassa,0
BAR       ,,10,06:45,4,41,"JACKSON, EDWIN",P000229   ,Off Rebound (1),O,,,FC Barcelona Lassa,0
BAR       ,,25,06:31,4,42,"KOPONEN, PETTERI",P004178   ,Three Pointer (1/1 -  5 pt),3FGM,5.0,7.0,FC Barcelona Lassa,0
BAR       ,,30,06:29,4,43,"CLAVER, VICTOR",P000556   ,Assist (1),AS,,,FC Barcelona Lassa,0
BAS       ,,10,06:09,4,44,"BEAUBOIS, RODRIGUE",P006590   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,10.0,Baskonia Vitoria Gasteiz,0
BAS       ,,7,06:07,4,45,"VOIGTMANN, JOHANNES",P007201   ,Assist (2),AS,,,Baskonia Vitoria Gasteiz,0
BAR       ,,10,05:53,5,47,"JACKSON, EDWIN",P000229   ,Turnover (1),TO,,,FC Barcelona Lassa,0
BAS       ,,7,05:38,5,48,"VOIGTMANN, JOHANNES",P007201   ,Missed Two Pointer (1/2 -  5 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
BAR       ,,10,05:35,5,49,"JACKSON, EDWIN",P000229   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,18,05:23,5,50,"ORIOLA, PIERRE",P005917   ,Turnover (1),TO,,,FC Barcelona Lassa,0
BAS       ,,7,05:22,5,51,"VOIGTMANN, JOHANNES",P007201   ,Steal (1),ST,,,Baskonia Vitoria Gasteiz,0
BAR       ,,8,05:20,5,52,"PRESSEY, PHIL",P007997   ,Foul (1),CM,,,FC Barcelona Lassa,0
BAS       ,,7,05:20,5,53,"VOIGTMANN, JOHANNES",P007201   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0
BAR       ,,18,05:20,5,54,"ORIOLA, PIERRE",P005917   ,Out,OUT,,,FC Barcelona Lassa,0
BAR       ,,32,05:20,5,55,"DIAGNE, ATOUMANE",P005327   ,In,IN,,,FC Barcelona Lassa,0
BAS       ,,10,05:18,5,56,"BEAUBOIS, RODRIGUE",P006590   ,Missed Two Pointer (0/2 -  3 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
BAR       ,,32,05:16,5,57,"DIAGNE, ATOUMANE",P005327   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,8,05:04,5,58,"PRESSEY, PHIL",P007997   ,Turnover (1),TO,,,FC Barcelona Lassa,0
BAS       ,,3,05:03,5,59,"VILDOZA, LUCA",P007947   ,Steal (1),ST,,,Baskonia Vitoria Gasteiz,0
BAS       ,,10,05:00,5,60,"BEAUBOIS, RODRIGUE",P006590   ,Missed Two Pointer (0/3 -  3 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
BAS       ,,10,05:00,5,61,"BEAUBOIS, RODRIGUE",P006590   ,Shot Rejected (1),AG,,,Baskonia Vitoria Gasteiz,0
BAR       ,,32,04:57,6,63,"DIAGNE, ATOUMANE",P005327   ,Block (1),FV,,,FC Barcelona Lassa,0
BAR       ,,8,04:56,6,64,"PRESSEY, PHIL",P007997   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,8,04:53,6,65,"PRESSEY, PHIL",P007997   ,Turnover (2),TO,,,FC Barcelona Lassa,0
          ,,,04:53,6,66,,          ,TV Time Out (1),TOUT_TV,,,,0
BAR       ,,5,04:53,6,67,"RIBAS, PAU",PJUG      ,In,IN,,,FC Barcelona Lassa,0
BAR       ,,25,04:53,6,68,"KOPONEN, PETTERI",P004178   ,Out,OUT,,,FC Barcelona Lassa,0
BAR       ,,30,04:53,6,69,"CLAVER, VICTOR",P000556   ,Out,OUT,,,FC Barcelona Lassa,0
BAR       ,,45,04:53,6,70,"MOERMAN, ADRIEN",P001833   ,In,IN,,,FC Barcelona Lassa,0
BAS       ,,12,04:53,6,71,"DIOP, ILIMANE",P003540   ,In,IN,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,04:53,6,72,"POIRIER, VINCENT",P004887   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0
BAR       ,,32,04:41,6,73,"DIAGNE, ATOUMANE",P005327   ,Foul (1),CM,,,FC Barcelona Lassa,0
BAS       ,,12,04:41,6,74,"DIOP, ILIMANE",P003540   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0
BAS       ,,12,04:41,6,75,"DIOP, ILIMANE",P003540   ,Missed Free Throw (0/1 -  0 pt),FTA,,,Baskonia Vitoria Gasteiz,0
BAS       ,,12,04:41,6,76,"DIOP, ILIMANE",P003540   ,Missed Free Throw (0/2 -  0 pt),FTA,,,Baskonia Vitoria Gasteiz,0
BAR       ,,,04:41,6,77,,          ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,8,04:22,6,78,"PRESSEY, PHIL",P007997   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,FC Barcelona Lassa,0
BAR       ,,45,04:19,6,79,"MOERMAN, ADRIEN",P001833   ,Off Rebound (1),O,,,FC Barcelona Lassa,0
BAR       ,,8,04:16,6,80,"PRESSEY, PHIL",P007997   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,10.0,FC Barcelona Lassa,0
BAS       ,,7,04:05,6,81,"VOIGTMANN, JOHANNES",P007201   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0
BAS       ,,23,04:05,6,82,"SHENGELIA, TORNIKE",P001133   ,In,IN,,,Baskonia Vitoria Gasteiz,0
BAS       ,,12,03:53,7,84,"DIOP, ILIMANE",P003540   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,12.0,Baskonia Vitoria Gasteiz,0
BAS       ,,23,03:50,7,85,"SHENGELIA, TORNIKE",P001133   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
BAR       ,,8,03:34,7,86,"PRESSEY, PHIL",P007997   ,Three Pointer (1/2 -  5 pt),3FGM,10.0,12.0,FC Barcelona Lassa,0
BAS       ,,12,03:14,7,87,"DIOP, ILIMANE",P003540   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,Baskonia Vitoria Gasteiz,0
BAR       ,,45,03:12,7,88,"MOERMAN, ADRIEN",P001833   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAS       ,,29,03:04,7,89,"GARINO, PATRICIO",P007994   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0
BAR       ,,10,03:04,7,90,"JACKSON, EDWIN",P000229   ,Foul Drawn (1),RV,,,FC Barcelona Lassa,0
BAS       ,,3,03:04,7,91,"VILDOZA, LUCA",P007947   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0
BAS       ,,15,03:04,7,92,"GRANGER, JAYSON",P003024   ,In,IN,,,Baskonia Vitoria Gasteiz,0
BAR       ,,5,02:55,8,94,"RIBAS, PAU",PJUG      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,FC Barcelona Lassa,0
BAS       ,,23,02:53,8,95,"SHENGELIA, TORNIKE",P001133   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,23,02:46,8,96,"SHENGELIA, TORNIKE",P001133   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
BAR       ,,45,02:44,8,97,"MOERMAN, ADRIEN",P001833   ,Def Rebound (2),D,,,FC Barcelona Lassa,0
BAR       ,,10,02:37,8,98,"JACKSON, EDWIN",P000229   ,Two Pointer (1/1 -  2 pt),2FGM,12.0,12.0,FC Barcelona Lassa,0
BAR       ,,10,02:31,8,99,"JACKSON, EDWIN",P000229   ,Out,OUT,,,FC Barcelona Lassa,0
BAR       ,,13,02:31,8,100,"HEURTEL, THOMAS",PKLT      ,In,IN,,,FC Barcelona Lassa,0
BAR       ,,18,02:31,8,101,"ORIOLA, PIERRE",P005917   ,In,IN,,,FC Barcelona Lassa,0
BAR       ,,32,02:31,8,102,"DIAGNE, ATOUMANE",P005327   ,Out,OUT,,,FC Barcelona Lassa,0
BAS       ,,10,02:31,8,103,"BEAUBOIS, RODRIGUE",P006590   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0
BAS       ,,11,02:31,8,104,"JANNING, MATT",P004165   ,In,IN,,,Baskonia Vitoria Gasteiz,0
BAS       ,,29,02:23,8,105,"GARINO, PATRICIO",P007994   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
BAR       ,,45,02:24,8,106,"MOERMAN, ADRIEN",P001833   ,Def Rebound (3),D,,,FC Barcelona Lassa,0
BAR       ,,5,02:06,8,107,"RIBAS, PAU",PJUG      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,FC Barcelona Lassa,0
BAS       ,,11,02:04,8,108,"JANNING, MATT",P004165   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAR       ,,45,01:55,9,110,"MOERMAN, ADRIEN",P001833   ,Foul (1),CM,,,FC Barcelona Lassa,0
BAS       ,,23,01:55,9,111,"SHENGELIA, TORNIKE",P001133   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0
BAR       ,,,01:55,9,112,,          ,Time Out (1),TOUT,,,FC Barcelona Lassa,0
BAS       ,,12,01:55,9,113,"DIOP, ILIMANE",P003540   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,01:55,9,114,"POIRIER, VINCENT",P004887   ,In,IN,,,Baskonia Vitoria Gasteiz,0
BAS       ,,23,01:55,9,115,"SHENGELIA, TORNIKE",P001133   ,Free Throw In (1/1 -  1 pt),FTM,12.0,13.0,Baskonia Vitoria Gasteiz,0
BAS       ,,23,01:55,9,116,"SHENGELIA, TORNIKE",P001133   ,Missed Free Throw (1/2 -  1 pt),FTA,,,Baskonia Vitoria Gasteiz,0
BAS       ,,,01:52,9,117,,          ,Off Rebound (1),O,,,Baskonia Vitoria Gasteiz,0
BAS       ,,23,01:39,9,118,"SHENGELIA, TORNIKE",P001133   ,Missed Two Pointer (0/2 -  1 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,01:36,9,119,"POIRIER, VINCENT",P004887   ,Off Rebound (1),O,,,Baskonia Vitoria Gasteiz,0
BAR       ,,5,01:26,9,120,"RIBAS, PAU",PJUG      ,Foul (1),CM,,,FC Barcelona Lassa,0
BAS       ,,11,01:26,9,121,"JANNING, MATT",P004165   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0
BAS       ,,11,01:26,9,122,"JANNING, MATT",P004165   ,Free Throw In (1/1 -  1 pt),FTM,12.0,14.0,Baskonia Vitoria Gasteiz,0
BAS       ,,11,01:26,9,123,"JANNING, MATT",P004165   ,Free Throw In (2/2 -  2 pt),FTM,12.0,15.0,Baskonia Vitoria Gasteiz,0
BAS       ,,15,01:23,9,124,"GRANGER, JAYSON",P003024   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0
BAR       ,,8,01:23,9,125,"PRESSEY, PHIL",P007997   ,Foul Drawn (1),RV,,,FC Barcelona Lassa,0
BAS       ,,17,01:05,9,126,"POIRIER, VINCENT",P004887   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0
BAR       ,,8,01:05,9,127,"PRESSEY, PHIL",P007997   ,Foul Drawn (2),RV,,,FC Barcelona Lassa,0
BAR       ,,8,01:05,9,128,"PRESSEY, PHIL",P007997   ,Free Throw In (1/1 -  6 pt),FTM,13.0,15.0,FC Barcelona Lassa,0
BAR       ,,8,01:05,9,129,"PRESSEY, PHIL",P007997   ,Free Throw In (2/2 -  7 pt),FTM,14.0,15.0,FC Barcelona Lassa,0
BAS       ,,11,00:45,10,131,"JANNING, MATT",P004165   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,Baskonia Vitoria Gasteiz,0
BAS       ,,,00:45,10,145,,          ,Off Rebound (2),O,,,Baskonia Vitoria Gasteiz,0
BAR       ,,45,00:45,10,133,"MOERMAN, ADRIEN",P001833   ,Foul (2),CM,,,FC Barcelona Lassa,0
BAS       ,,23,00:45,10,134,"SHENGELIA, TORNIKE",P001133   ,Foul Drawn (2),RV,,,Baskonia Vitoria Gasteiz,0
BAR       ,,30,00:45,10,135,"CLAVER, VICTOR",P000556   ,In,IN,,,FC Barcelona Lassa,0
BAR       ,,45,00:45,10,136,"MOERMAN, ADRIEN",P001833   ,Out,OUT,,,FC Barcelona Lassa,0
BAS       ,,23,00:45,10,137,"SHENGELIA, TORNIKE",P001133   ,Free Throw In (2/3 -  2 pt),FTM,14.0,16.0,Baskonia Vitoria Gasteiz,0
BAS       ,,23,00:45,10,138,"SHENGELIA, TORNIKE",P001133   ,Missed Free Throw (2/4 -  2 pt),FTA,,,Baskonia Vitoria Gasteiz,0
BAR       ,,30,00:40,10,139,"CLAVER, VICTOR",P000556   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,18,00:26,10,140,"ORIOLA, PIERRE",P005917   ,Two Pointer (1/2 -  2 pt),2FGM,16.0,16.0,FC Barcelona Lassa,0
BAR       ,,13,00:24,10,141,"HEURTEL, THOMAS",PKLT      ,Assist (1),AS,,,FC Barcelona Lassa,0
BAS       ,,15,00:00,10,142,"GRANGER, JAYSON",P003024   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Baskonia Vitoria Gasteiz,0
          ,,,,11,144,,          ,End Period,EP,,,,0
          ,,,,11,148,,          ,Begin Period,BP,,,,0
BAR       ,,8,10:00,11,146,"PRESSEY, PHIL",P007997   ,Out,OUT,,,FC Barcelona Lassa,0
BAR       ,,25,10:00,11,147,"KOPONEN, PETTERI",P004178   ,In,IN,,,FC Barcelona Lassa,0
BAS       ,,15,09:38,11,149,"GRANGER, JAYSON",P003024   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,09:36,11,150,"POIRIER, VINCENT",P004887   ,Off Rebound (2),O,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,09:31,11,151,"POIRIER, VINCENT",P004887   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
BAS       ,,29,09:31,11,152,"GARINO, PATRICIO",P007994   ,Off Rebound (1),O,,,Baskonia Vitoria Gasteiz,0
BAR       ,,30,09:31,11,153,"CLAVER, VICTOR",P000556   ,Foul (2),CM,,,FC Barcelona Lassa,0
BAS       ,,29,09:31,11,154,"GARINO, PATRICIO",P007994   ,Foul Drawn (2),RV,,,Baskonia Vitoria Gasteiz,0
BAS       ,,29,09:31,11,155,"GARINO, PATRICIO",P007994   ,Free Throw In (1/1 -  1 pt),FTM,16.0,17.0,Baskonia Vitoria Gasteiz,0
BAS       ,,29,09:31,11,156,"GARINO, PATRICIO",P007994   ,Free Throw In (2/2 -  2 pt),FTM,16.0,18.0,Baskonia Vitoria Gasteiz,0
BAS       ,,6,09:31,11,157,"TIMMA, JANIS",P005718   ,In,IN,,,Baskonia Vitoria Gasteiz,0
BAS       ,,29,09:31,11,158,"GARINO, PATRICIO",P007994   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0
BAR       ,,25,09:11,11,159,"KOPONEN, PETTERI",P004178   ,Missed Two Pointer (1/3 -  5 pt),2FGA,,,FC Barcelona Lassa,0
BAS       ,,17,09:08,11,160,"POIRIER, VINCENT",P004887   ,Def Rebound (2),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,6,08:51,12,162,"TIMMA, JANIS",P005718   ,Three Pointer (1/1 -  3 pt),3FGM,16.0,21.0,Baskonia Vitoria Gasteiz,0
BAS       ,,23,08:49,12,163,"SHENGELIA, TORNIKE",P001133   ,Assist (2),AS,,,Baskonia Vitoria Gasteiz,0
BAR       ,,18,08:34,12,164,"ORIOLA, PIERRE",P005917   ,Turnover (2),TO,,,FC Barcelona Lassa,0
