CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
MIL       ,,0,09:29,1,3,"GOUDELOCK, ANDREW",P004903   ,Three Pointer (1/1 -  3 pt),3FGM,,3.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,09:59,1,4,"KUZMINSKAS, MINDAUGAS",P002008   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0
BAM       ,,42,09:19,1,5,"MUSLI, DEJAN",PLUR      ,Two Pointer (1/1 -  2 pt),2FGM,2.0,3.0,Brose Bamberg,0
BAM       ,,7,09:17,1,6,"NIKOLIC, ALEKSEJ",P003703   ,Assist (1),AS,,,Brose Bamberg,0
BAM       ,,7,08:58,2,8,"NIKOLIC, ALEKSEJ",P003703   ,Foul (1),CM,,,Brose Bamberg,0
MIL       ,,0,08:58,2,9,"GOUDELOCK, ANDREW",P004903   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,0,08:58,2,10,"GOUDELOCK, ANDREW",P004903   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0
BAM       ,,42,08:58,2,11,"MUSLI, DEJAN",PLUR      ,Def Rebound (1),D,,,Brose Bamberg,0
MIL       ,,20,08:58,2,12,"CINCIARINI, ANDREA",PKIW      ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
BAM       ,,0,08:58,2,13,"HACKETT, DANIEL",P001844   ,Foul Drawn (1),RV,,,Brose Bamberg,0
BAM       ,,7,08:32,2,14,"NIKOLIC, ALEKSEJ",P003703   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0
BAM       ,,7,08:32,2,15,"NIKOLIC, ALEKSEJ",P003703   ,Shot Rejected (1),AG,,,Brose Bamberg,0
MIL       ,,15,08:29,2,16,"TARCZEWSKI, KALEB",P008004   ,Block (1),FV,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,20,08:26,2,17,"CINCIARINI, ANDREA",PKIW      ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,5,08:12,2,18,"MICOV, VLADIMIR",P000529   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,5.0,AX Armani Exchange Olimpia Milan,0
BAM       ,,0,07:50,3,20,"HACKETT, DANIEL",P001844   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0
MIL       ,,0,07:48,3,21,"GOUDELOCK, ANDREW",P004903   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,20,07:43,3,22,"CINCIARINI, ANDREA",PKIW      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0
BAM       ,,9,07:40,3,23,"MITROVIC, LUKA",P002553   ,Def Rebound (1),D,,,Brose Bamberg,0
MIL       ,,15,07:34,3,24,"TARCZEWSKI, KALEB",P008004   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
BAM       ,,42,07:34,3,25,"MUSLI, DEJAN",PLUR      ,Foul Drawn (1),RV,,,Brose Bamberg,0
BAM       ,,9,07:21,3,26,"MITROVIC, LUKA",P002553   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0
MIL       ,,19,07:19,3,27,"KUZMINSKAS, MINDAUGAS",P002008   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,20,07:07,3,28,"CINCIARINI, ANDREA",PKIW      ,Three Pointer (1/2 -  3 pt),3FGM,2.0,8.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,5,07:05,3,29,"MICOV, VLADIMIR",P000529   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0
BAM       ,,0,06:56,4,31,"HACKETT, DANIEL",P001844   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Brose Bamberg,0
MIL       ,,5,06:56,4,32,"MICOV, VLADIMIR",P000529   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,06:56,4,33,"KUZMINSKAS, MINDAUGAS",P002008   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,10.0,AX Armani Exchange Olimpia Milan,0
BAM       ,,,06:56,4,34,,          ,Time Out (1),TOUT,,,Brose Bamberg,0
BAM       ,,9,06:21,4,35,"MITROVIC, LUKA",P002553   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Brose Bamberg,0
MIL       ,,20,06:18,4,36,"CINCIARINI, ANDREA",PKIW      ,Def Rebound (2),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,06:09,4,37,"KUZMINSKAS, MINDAUGAS",P002008   ,Offensive Foul (1),OF,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,19,06:09,4,38,"KUZMINSKAS, MINDAUGAS",P002008   ,Turnover (1),TO,,,AX Armani Exchange Olimpia Milan,0
BAM       ,,0,06:09,4,39,"HACKETT, DANIEL",P001844   ,Foul Drawn (2),RV,,,Brose Bamberg,0
BAM       ,,42,05:51,5,41,"MUSLI, DEJAN",PLUR      ,Two Pointer (2/2 -  4 pt),2FGM,4.0,10.0,Brose Bamberg,0
BAM       ,,9,05:51,5,42,"MITROVIC, LUKA",P002553   ,Assist (1),AS,,,Brose Bamberg,0
MIL       ,,15,05:51,5,43,"TARCZEWSKI, KALEB",P008004   ,Foul (2),CM,,,AX Armani Exchange Olimpia Milan,0
BAM       ,,42,05:51,5,44,"MUSLI, DEJAN",PLUR      ,Foul Drawn (2),RV,,,Brose Bamberg,0
MIL       ,,15,05:51,5,45,"TARCZEWSKI, KALEB",P008004   ,Out,OUT,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,77,05:51,5,46,"GUDAITIS, ARTURAS",P003120   ,In,IN,,,AX Armani Exchange Olimpia Milan,0
