CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,12,,          ,Begin Period,BP,,,,0,Baskonia Vitoria Gasteiz,BAS,Maccabi FOX Tel Aviv,TEL
TEL       ,,1,09:40,1,13,"THOMAS, DESHAUN",P005094   ,Three Pointer (1/1 -  3 pt),3FGM,,3.0,Maccabi FOX Tel Aviv,0,Baskonia Vitoria Gasteiz,BAS,Maccabi FOX Tel Aviv,TEL
BAS       ,,15,09:19,1,14,"GRANGER, JAYSON",P003024   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0,Baskonia Vitoria Gasteiz,BAS,Maccabi FOX Tel Aviv,TEL
TEL       ,,30,09:19,1,15,"COLE, NORRIS",P007989   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0,Baskonia Vitoria Gasteiz,BAS,Maccabi FOX Tel Aviv,TEL
BAS       ,,15,09:19,1,16,"GRANGER, JAYSON",P003024   ,Free Throw In (1/1 -  1 pt),FTM,1.0,3.0,Baskonia Vitoria Gasteiz,0,Baskonia Vitoria Gasteiz,BAS,Maccabi FOX Tel Aviv,TEL
BAS       ,,15,09:19,1,17,"GRANGER, JAYSON",P003024   ,Free Throw In (2/2 -  2 pt),FTM,2.0,3.0,Baskonia Vitoria Gasteiz,0,Baskonia Vitoria Gasteiz,BAS,Maccabi FOX Tel Aviv,TEL
TEL       ,,30,09:01,1,18,"COLE, NORRIS",P007989   ,Foul Drawn (1),RV,,,Maccabi FOX Tel Aviv,0,Baskonia Vitoria Gasteiz,BAS,Maccabi FOX Tel Aviv,TEL
BAS       ,,15,09:01,1,19,"GRANGER, JAYSON",P003024   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0,Baskonia Vitoria Gasteiz,BAS,Maccabi FOX Tel Aviv,TEL
TEL       ,,45,08:49,2,21,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,5.0,Maccabi FOX Tel Aviv,0,Baskonia Vitoria Gasteiz,BAS,Maccabi FOX Tel Aviv,TEL
TEL       ,,1,08:49,2,22,"THOMAS, DESHAUN",P005094   ,Assist (1),AS,,,Maccabi FOX Tel Aviv,0,Baskonia Vitoria Gasteiz,BAS,Maccabi FOX Tel Aviv,TEL
BAS       ,,12,08:29,2,23,"DIOP, ILIMANE",P003540   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,5.0,Baskonia Vitoria Gasteiz,0,Baskonia Vitoria Gasteiz,BAS,Maccabi FOX Tel Aviv,TEL
BAS       ,,6,08:29,2,24,"TIMMA, JANIS",P005718   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0,Baskonia Vitoria Gasteiz,BAS,Maccabi FOX Tel Aviv,TEL
BAS       ,,12,08:29,2,25,"DIOP, ILIMANE",P003540   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0,Baskonia Vitoria Gasteiz,BAS,Maccabi FOX Tel Aviv,TEL
TEL       ,,45,08:29,2,26,"PARAKHOUSKI, ARTSIOM",P003034   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0,Baskonia Vitoria Gasteiz,BAS,Maccabi FOX Tel Aviv,TEL
BAS       ,,12,08:29,2,27,"DIOP, ILIMANE",P003540   ,Free Throw In (1/1 -  3 pt),FTM,5.0,5.0,Baskonia Vitoria Gasteiz,0,Baskonia Vitoria Gasteiz,BAS,Maccabi FOX Tel Aviv,TEL
