CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Khimki Moscow Region,KHI,Fenerbahce Dogus Istanbul,ULK
ULK       ,,21,09:46,1,3,"NUNNALLY, JAMES",P007400   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0,Khimki Moscow Region,KHI,Fenerbahce Dogus Istanbul,ULK
KHI       ,,13,09:44,1,4,"GILL, ANTHONY",P008001   ,Def Rebound (1),D,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,Fenerbahce Dogus Istanbul,ULK
KHI       ,,6,09:31,1,5,"VIALTSEV, EGOR",PBGV      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,Fenerbahce Dogus Istanbul,ULK
ULK       ,,4,09:29,1,6,"MELLI, NICOLO",P002849   ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0,Khimki Moscow Region,KHI,Fenerbahce Dogus Istanbul,ULK
ULK       ,,11,09:14,1,7,"WANAMAKER, BRAD",P005838   ,Three Pointer (1/1 -  3 pt),3FGM,,3.0,Fenerbahce Dogus Istanbul,0,Khimki Moscow Region,KHI,Fenerbahce Dogus Istanbul,ULK
KHI       ,,23,08:58,2,9,"THOMAS, MALCOLM",P004251   ,Turnover (1),TO,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,Fenerbahce Dogus Istanbul,ULK
ULK       ,,4,08:56,2,10,"MELLI, NICOLO",P002849   ,Steal (1),ST,,,Fenerbahce Dogus Istanbul,0,Khimki Moscow Region,KHI,Fenerbahce Dogus Istanbul,ULK
ULK       ,,21,08:49,2,11,"NUNNALLY, JAMES",P007400   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0,Khimki Moscow Region,KHI,Fenerbahce Dogus Istanbul,ULK
ULK       ,,21,08:49,2,12,"NUNNALLY, JAMES",P007400   ,Shot Rejected (1),AG,,,Fenerbahce Dogus Istanbul,0,Khimki Moscow Region,KHI,Fenerbahce Dogus Istanbul,ULK
KHI       ,,13,08:47,2,13,"GILL, ANTHONY",P008001   ,Block (1),FV,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,Fenerbahce Dogus Istanbul,ULK
KHI       ,,9,08:45,2,14,"MARKOVIC, STEFAN",PLME      ,Def Rebound (1),D,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,Fenerbahce Dogus Istanbul,ULK
KHI       ,,23,08:35,2,15,"THOMAS, MALCOLM",P004251   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Khimki Moscow Region,0,Khimki Moscow Region,KHI,Fenerbahce Dogus Istanbul,ULK
