CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,25,,          ,Begin Period,BP,,,,0
OLY       ,,7,09:40,1,26,"SPANOULIS, VASSILIS",PJUO      ,Turnover (1),TO,,,Olympiacos Piraeus,0
MAL       ,,21,09:39,1,27,"WACZYNSKI, ADAM",PLDX      ,Steal (1),ST,,,Unicaja Malaga,0
MAL       ,,23,09:33,1,28,"BROOKS, JEFF",P004117   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Unicaja Malaga,0
OLY       ,,7,09:20,1,29,"SPANOULIS, VASSILIS",PJUO      ,Three Pointer (1/1 -  3 pt),3FGM,2.0,3.0,Olympiacos Piraeus,0
MAL       ,,21,08:48,2,31,"WACZYNSKI, ADAM",PLDX      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0
MAL       ,,23,08:45,2,32,"BROOKS, JEFF",P004117   ,Off Rebound (1),O,,,Unicaja Malaga,0
MAL       ,,23,08:41,2,33,"BROOKS, JEFF",P004117   ,Two Pointer (2/2 -  4 pt),2FGM,4.0,3.0,Unicaja Malaga,0
OLY       ,,11,08:25,2,34,"MILUTINOV, NIKOLA",P003941   ,Two Pointer (1/1 -  2 pt),2FGM,4.0,5.0,Olympiacos Piraeus,0
OLY       ,,7,08:25,2,35,"SPANOULIS, VASSILIS",PJUO      ,Assist (1),AS,,,Olympiacos Piraeus,0
OLY       ,,22,08:25,2,36,"ROBERTS, BRIAN",P002091   ,Foul (1),CM,,,Olympiacos Piraeus,0
MAL       ,,9,08:25,2,37,"DIAZ, ALBERTO",P004213   ,Foul Drawn (1),RV,,,Unicaja Malaga,0
OLY       ,,6,08:07,2,38,"PAPAPETROU, IOANNIS",P005161   ,Foul (1),CM,,,Olympiacos Piraeus,0
MAL       ,,16,08:07,2,39,"NEDOVIC, NEMANJA",P000848   ,Foul Drawn (1),RV,,,Unicaja Malaga,0
MAL       ,,21,07:55,3,41,"WACZYNSKI, ADAM",PLDX      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0
OLY       ,,14,07:53,3,42,"TILLIE, KIM",P002744   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,6,07:53,3,43,"PAPAPETROU, IOANNIS",P005161   ,Turnover (1),TO,,,Olympiacos Piraeus,0
MAL       ,,21,07:40,3,44,"WACZYNSKI, ADAM",PLDX      ,Two Pointer (1/2 -  2 pt),2FGM,6.0,5.0,Unicaja Malaga,0
MAL       ,,9,07:38,3,45,"DIAZ, ALBERTO",P004213   ,Assist (1),AS,,,Unicaja Malaga,0
MAL       ,,9,07:26,3,46,"DIAZ, ALBERTO",P004213   ,Foul (1),CM,,,Unicaja Malaga,0
OLY       ,,11,07:26,3,47,"MILUTINOV, NIKOLA",P003941   ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0
OLY       ,,7,07:18,3,48,"SPANOULIS, VASSILIS",PJUO      ,Two Pointer (1/1 -  5 pt),2FGM,6.0,7.0,Olympiacos Piraeus,0
MAL       ,,9,07:02,3,49,"DIAZ, ALBERTO",P004213   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0
OLY       ,,6,06:58,4,51,"PAPAPETROU, IOANNIS",P005161   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,22,06:47,4,52,"ROBERTS, BRIAN",P002091   ,Two Pointer (1/1 -  2 pt),2FGM,6.0,9.0,Olympiacos Piraeus,0
MAL       ,,16,06:41,4,53,"NEDOVIC, NEMANJA",P000848   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0
OLY       ,,6,06:41,4,54,"PAPAPETROU, IOANNIS",P005161   ,Def Rebound (2),D,,,Olympiacos Piraeus,0
OLY       ,,6,06:08,4,55,"PAPAPETROU, IOANNIS",P005161   ,Two Pointer (1/1 -  2 pt),2FGM,6.0,11.0,Olympiacos Piraeus,0
OLY       ,,7,06:06,4,56,"SPANOULIS, VASSILIS",PJUO      ,Assist (2),AS,,,Olympiacos Piraeus,0
MAL       ,,16,05:44,5,58,"NEDOVIC, NEMANJA",P000848   ,Three Pointer (1/1 -  3 pt),3FGM,9.0,11.0,Unicaja Malaga,0
OLY       ,,6,05:28,5,59,"PAPAPETROU, IOANNIS",P005161   ,Turnover (2),TO,,,Olympiacos Piraeus,0
MAL       ,,9,05:27,5,60,"DIAZ, ALBERTO",P004213   ,Steal (1),ST,,,Unicaja Malaga,0
MAL       ,,16,05:27,5,61,"NEDOVIC, NEMANJA",P000848   ,Two Pointer (1/2 -  5 pt),2FGM,11.0,11.0,Unicaja Malaga,0
OLY       ,,11,04:56,6,63,"MILUTINOV, NIKOLA",P003941   ,Two Pointer (2/2 -  4 pt),2FGM,11.0,13.0,Olympiacos Piraeus,0
OLY       ,,7,04:55,6,64,"SPANOULIS, VASSILIS",PJUO      ,Assist (3),AS,,,Olympiacos Piraeus,0
MAL       ,,16,04:30,6,65,"NEDOVIC, NEMANJA",P000848   ,Three Pointer (2/2 -  8 pt),3FGM,14.0,13.0,Unicaja Malaga,0
