CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,7,09:47,1,3,"DONCIC, LUKA",P005929   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,51,09:27,1,4,"BJELICA, MILKO",PCHX      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,22,09:27,1,5,"TAVARES, WALTER",P005791   ,Def Rebound (1),D,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,1,09:22,1,6,"CAUSEUR, FABIEN",P001392   ,Two Pointer (1/1 -  2 pt),2FGM,,4.0,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,7,09:16,1,7,"DONCIC, LUKA",P005929   ,Assist (1),AS,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,7,08:56,2,9,"DAVIDOVAC, DEJAN",P007960   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,26,08:52,2,10,"LESSORT, MATHIAS",P003842   ,Off Rebound (1),O,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,22,08:45,2,11,"ROCHESTIE, TAYLOR",P002972   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,22,08:44,2,12,"TAVARES, WALTER",P005791   ,Def Rebound (2),D,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,10,08:42,2,13,"LAZIC, BRANKO",PLUO      ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,7,08:42,2,14,"DONCIC, LUKA",P005929   ,Foul Drawn (1),RV,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,7,08:32,2,15,"DAVIDOVAC, DEJAN",P007960   ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,22,08:32,2,16,"TAVARES, WALTER",P005791   ,Foul Drawn (1),RV,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,22,08:32,2,17,"TAVARES, WALTER",P005791   ,Free Throw In (1/1 -  1 pt),FTM,,5.0,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,7,08:32,2,18,"DONCIC, LUKA",P005929   ,Assist (2),AS,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,22,08:32,2,19,"TAVARES, WALTER",P005791   ,Missed Free Throw (1/2 -  1 pt),FTA,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,7,08:31,2,20,"DAVIDOVAC, DEJAN",P007960   ,Def Rebound (1),D,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,51,08:17,2,21,"BJELICA, MILKO",PCHX      ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,3,08:09,2,22,"RANDOLPH, ANTHONY",P005757   ,Def Rebound (1),D,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,7,08:02,2,23,"DAVIDOVAC, DEJAN",P007960   ,Block (1),FV,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,44,08:02,2,24,"TAYLOR, JEFFERY",P006546   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,44,08:02,2,25,"TAYLOR, JEFFERY",P006546   ,Shot Rejected (1),AG,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,7,08:02,2,154,"DAVIDOVAC, DEJAN",P007960   ,Def Rebound (2),D,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,22,07:58,3,27,"TAVARES, WALTER",P005791   ,Foul (1),CM,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,7,07:58,3,28,"DAVIDOVAC, DEJAN",P007960   ,Foul Drawn (1),RV,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,22,07:52,3,29,"ROCHESTIE, TAYLOR",P002972   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,7,07:48,3,30,"DONCIC, LUKA",P005929   ,Def Rebound (1),D,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,7,07:41,3,31,"DONCIC, LUKA",P005929   ,Three Pointer (1/1 -  5 pt),3FGM,,8.0,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,22,07:27,3,32,"TAVARES, WALTER",P005791   ,Block (1),FV,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,26,07:27,3,33,"LESSORT, MATHIAS",P003842   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,26,07:27,3,34,"LESSORT, MATHIAS",P003842   ,Shot Rejected (1),AG,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,,07:27,3,35,,          ,Off Rebound (1),O,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,7,07:21,3,36,"DAVIDOVAC, DEJAN",P007960   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,,07:16,3,37,,          ,Off Rebound (2),O,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,51,07:08,3,38,"BJELICA, MILKO",PCHX      ,Turnover (1),TO,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,3,07:08,3,39,"RANDOLPH, ANTHONY",P005757   ,Steal (1),ST,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,22,06:59,4,41,"ROCHESTIE, TAYLOR",P002972   ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,44,06:59,4,42,"TAYLOR, JEFFERY",P006546   ,Foul Drawn (1),RV,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,3,06:56,4,43,"RANDOLPH, ANTHONY",P005757   ,Two Pointer (1/1 -  2 pt),2FGM,,10.0,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
MAD       ,,44,06:55,4,44,"TAYLOR, JEFFERY",P006546   ,Assist (1),AS,,,Real Madrid,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
RED       ,,22,06:37,4,45,"ROCHESTIE, TAYLOR",P002972   ,Two Pointer (1/2 -  2 pt),2FGM,2.0,10.0,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,Real Madrid,MAD
