CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
ZAL       ,,0,09:59,1,3,"DAVIES, BRANDON",P007870   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Zalgiris Kaunas,0
ZAL       ,,0,09:59,1,4,"DAVIES, BRANDON",P007870   ,Shot Rejected (1),AG,,,Zalgiris Kaunas,0
BAR       ,,9,09:59,1,5,"HANGA, ADAM",P005099   ,Block (1),FV,,,FC Barcelona Lassa,0
BAR       ,,1,09:59,1,6,"SERAPHIN, KEVIN",P001948   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,9,09:59,1,7,"HANGA, ADAM",P005099   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,FC Barcelona Lassa,0
ZAL       ,,21,09:59,1,8,"MILAKNIS, ARTURAS",PKPD      ,Def Rebound (1),D,,,Zalgiris Kaunas,0
ZAL       ,,0,09:13,1,9,"DAVIES, BRANDON",P007870   ,Two Pointer (1/2 -  2 pt),2FGM,,2.0,Zalgiris Kaunas,0
BAR       ,,25,08:56,2,11,"KOPONEN, PETTERI",P004178   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,FC Barcelona Lassa,0
BAR       ,,25,08:56,2,12,"KOPONEN, PETTERI",P004178   ,Foul Drawn (1),RV,,,FC Barcelona Lassa,0
ZAL       ,,0,08:56,2,13,"DAVIES, BRANDON",P007870   ,Foul (1),CM,,,Zalgiris Kaunas,0
BAR       ,,25,08:56,2,14,"KOPONEN, PETTERI",P004178   ,Free Throw In (1/1 -  3 pt),FTM,3.0,2.0,FC Barcelona Lassa,0
ZAL       ,,21,08:42,2,15,"MILAKNIS, ARTURAS",PKPD      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Zalgiris Kaunas,0
BAR       ,,9,08:39,2,16,"HANGA, ADAM",P005099   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,1,08:33,2,17,"SERAPHIN, KEVIN",P001948   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,2.0,FC Barcelona Lassa,0
BAR       ,,13,08:30,2,18,"HEURTEL, THOMAS",PKLT      ,Assist (1),AS,,,FC Barcelona Lassa,0
BAR       ,,13,08:24,2,19,"HEURTEL, THOMAS",PKLT      ,Foul (1),CM,,,FC Barcelona Lassa,0
ZAL       ,,3,08:24,2,20,"PANGOS, KEVIN",P006433   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0
ZAL       ,,0,08:14,2,21,"DAVIES, BRANDON",P007870   ,Missed Two Pointer (1/3 -  2 pt),2FGA,,,Zalgiris Kaunas,0
BAR       ,,13,08:12,2,22,"HEURTEL, THOMAS",PKLT      ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,1,08:02,2,23,"SERAPHIN, KEVIN",P001948   ,Turnover (1),TO,,,FC Barcelona Lassa,0
ZAL       ,,0,08:00,2,24,"DAVIES, BRANDON",P007870   ,Steal (1),ST,,,Zalgiris Kaunas,0
ZAL       ,,3,07:50,3,26,"PANGOS, KEVIN",P006433   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,5.0,Zalgiris Kaunas,0
ZAL       ,,22,07:47,3,27,"MICIC, VASILIJE",P002580   ,Assist (1),AS,,,Zalgiris Kaunas,0
BAR       ,,9,07:29,3,28,"HANGA, ADAM",P005099   ,Turnover (1),TO,,,FC Barcelona Lassa,0
ZAL       ,,13,07:27,3,29,"JANKUNAS, PAULIUS",PBWI      ,Steal (1),ST,,,Zalgiris Kaunas,0
ZAL       ,,13,07:20,3,30,"JANKUNAS, PAULIUS",PBWI      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Zalgiris Kaunas,0
BAR       ,,45,07:18,3,31,"MOERMAN, ADRIEN",P001833   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,1,07:10,3,32,"SERAPHIN, KEVIN",P001948   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,FC Barcelona Lassa,0
ZAL       ,,13,07:07,3,33,"JANKUNAS, PAULIUS",PBWI      ,Def Rebound (1),D,,,Zalgiris Kaunas,0
ZAL       ,,0,06:58,4,35,"DAVIES, BRANDON",P007870   ,Missed Two Pointer (1/4 -  2 pt),2FGA,,,Zalgiris Kaunas,0
ZAL       ,,,06:58,4,36,,          ,Off Rebound (1),O,,,Zalgiris Kaunas,0
ZAL       ,,3,06:52,4,37,"PANGOS, KEVIN",P006433   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Zalgiris Kaunas,0
BAR       ,,25,06:50,4,38,"KOPONEN, PETTERI",P004178   ,Def Rebound (1),D,,,FC Barcelona Lassa,0
BAR       ,,1,06:46,4,39,"SERAPHIN, KEVIN",P001948   ,Foul Drawn (1),RV,,,FC Barcelona Lassa,0
ZAL       ,,21,06:46,4,40,"MILAKNIS, ARTURAS",PKPD      ,Foul (1),CM,,,Zalgiris Kaunas,0
BAR       ,,1,06:46,4,41,"SERAPHIN, KEVIN",P001948   ,Free Throw In (1/1 -  3 pt),FTM,6.0,5.0,FC Barcelona Lassa,0
BAR       ,,25,06:46,4,257,"KOPONEN, PETTERI",P004178   ,Assist (1),AS,,,FC Barcelona Lassa,0
BAR       ,,1,06:46,4,42,"SERAPHIN, KEVIN",P001948   ,Free Throw In (2/2 -  4 pt),FTM,7.0,5.0,FC Barcelona Lassa,0
ZAL       ,,22,06:28,4,43,"MICIC, VASILIJE",P002580   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,7.0,Zalgiris Kaunas,0
BAR       ,,13,06:13,4,44,"HEURTEL, THOMAS",PKLT      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,FC Barcelona Lassa,0
BAR       ,,13,06:11,4,45,"HEURTEL, THOMAS",PKLT      ,Off Rebound (1),O,,,FC Barcelona Lassa,0
BAR       ,,1,06:09,4,46,"SERAPHIN, KEVIN",P001948   ,Two Pointer (2/3 -  6 pt),2FGM,9.0,7.0,FC Barcelona Lassa,0
BAR       ,,25,06:06,4,47,"KOPONEN, PETTERI",P004178   ,Assist (2),AS,,,FC Barcelona Lassa,0
BAR       ,,45,05:49,5,49,"MOERMAN, ADRIEN",P001833   ,Foul (1),CM,,,FC Barcelona Lassa,0
ZAL       ,,13,05:49,5,50,"JANKUNAS, PAULIUS",PBWI      ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0
BAR       ,,5,05:49,5,51,"RIBAS, PAU",PJUG      ,In,IN,,,FC Barcelona Lassa,0
BAR       ,,9,05:49,5,52,"HANGA, ADAM",P005099   ,Out,OUT,,,FC Barcelona Lassa,0
ZAL       ,,0,05:49,5,53,"DAVIES, BRANDON",P007870   ,Out,OUT,,,Zalgiris Kaunas,0
ZAL       ,,3,05:49,5,54,"PANGOS, KEVIN",P006433   ,Out,OUT,,,Zalgiris Kaunas,0
ZAL       ,,6,05:49,5,55,"TOUPANE, AXEL",P002582   ,In,IN,,,Zalgiris Kaunas,0
ZAL       ,,44,05:49,5,56,"KAVALIAUSKAS, ANTANAS",P000399   ,In,IN,,,Zalgiris Kaunas,0
ZAL       ,,6,05:32,5,57,"TOUPANE, AXEL",P002582   ,Two Pointer (1/1 -  2 pt),2FGM,9.0,9.0,Zalgiris Kaunas,0
ZAL       ,,13,05:29,5,58,"JANKUNAS, PAULIUS",PBWI      ,Assist (1),AS,,,Zalgiris Kaunas,0
BAR       ,,25,05:06,5,59,"KOPONEN, PETTERI",P004178   ,Three Pointer (1/1 -  6 pt),3FGM,12.0,9.0,FC Barcelona Lassa,0
BAR       ,,13,05:04,5,60,"HEURTEL, THOMAS",PKLT      ,Assist (2),AS,,,FC Barcelona Lassa,0
ZAL       ,,6,04:45,6,62,"TOUPANE, AXEL",P002582   ,Two Pointer (2/2 -  4 pt),2FGM,12.0,11.0,Zalgiris Kaunas,0
ZAL       ,,44,04:45,6,63,"KAVALIAUSKAS, ANTANAS",P000399   ,Assist (1),AS,,,Zalgiris Kaunas,0
ZAL       ,,6,04:45,6,64,"TOUPANE, AXEL",P002582   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0
BAR       ,,5,04:45,6,65,"RIBAS, PAU",PJUG      ,Foul (1),CM,,,FC Barcelona Lassa,0
          ,,,04:45,6,66,,          ,TV Time Out (1),TOUT_TV,,,,0
BAR       ,,9,04:45,6,67,"HANGA, ADAM",P005099   ,In,IN,,,FC Barcelona Lassa,0
BAR       ,,25,04:45,6,68,"KOPONEN, PETTERI",P004178   ,Out,OUT,,,FC Barcelona Lassa,0
ZAL       ,,6,04:45,6,69,"TOUPANE, AXEL",P002582   ,Missed Free Throw (0/1 -  4 pt),FTA,,,Zalgiris Kaunas,0
ZAL       ,,6,04:42,6,70,"TOUPANE, AXEL",P002582   ,Off Rebound (1),O,,,Zalgiris Kaunas,0
ZAL       ,,21,04:34,6,71,"MILAKNIS, ARTURAS",PKPD      ,Three Pointer (1/2 -  3 pt),3FGM,12.0,14.0,Zalgiris Kaunas,0
ZAL       ,,44,04:31,6,72,"KAVALIAUSKAS, ANTANAS",P000399   ,Assist (2),AS,,,Zalgiris Kaunas,0
BAR       ,,5,04:09,6,73,"RIBAS, PAU",PJUG      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,FC Barcelona Lassa,0
ZAL       ,,6,04:07,6,74,"TOUPANE, AXEL",P002582   ,Def Rebound (1),D,,,Zalgiris Kaunas,0
ZAL       ,,21,03:46,7,76,"MILAKNIS, ARTURAS",PKPD      ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Zalgiris Kaunas,0
ZAL       ,,44,03:44,7,77,"KAVALIAUSKAS, ANTANAS",P000399   ,Foul (1),CM,,,Zalgiris Kaunas,0
BAR       ,,45,03:44,7,78,"MOERMAN, ADRIEN",P001833   ,Foul Drawn (1),RV,,,FC Barcelona Lassa,0
BAR       ,,1,03:44,7,79,"SERAPHIN, KEVIN",P001948   ,Out,OUT,,,FC Barcelona Lassa,0
BAR       ,,18,03:44,7,80,"ORIOLA, PIERRE",P005917   ,In,IN,,,FC Barcelona Lassa,0
BAR       ,,44,03:44,7,81,"TOMIC, ANTE",P002507   ,In,IN,,,FC Barcelona Lassa,0
BAR       ,,45,03:44,7,82,"MOERMAN, ADRIEN",P001833   ,Out,OUT,,,FC Barcelona Lassa,0
ZAL       ,,13,03:44,7,83,"JANKUNAS, PAULIUS",PBWI      ,Out,OUT,,,Zalgiris Kaunas,0
ZAL       ,,30,03:44,7,84,"WHITE, AARON",P006505   ,In,IN,,,Zalgiris Kaunas,0
BAR       ,,9,03:29,7,85,"HANGA, ADAM",P005099   ,Two Pointer (1/2 -  2 pt),2FGM,14.0,14.0,FC Barcelona Lassa,0
BAR       ,,44,03:26,7,86,"TOMIC, ANTE",P002507   ,Assist (1),AS,,,FC Barcelona Lassa,0
ZAL       ,,22,03:15,7,87,"MICIC, VASILIJE",P002580   ,Two Pointer (2/2 -  4 pt),2FGM,14.0,16.0,Zalgiris Kaunas,0
ZAL       ,,22,03:15,7,88,"MICIC, VASILIJE",P002580   ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0
BAR       ,,13,03:15,7,89,"HEURTEL, THOMAS",PKLT      ,Foul (2),CM,,,FC Barcelona Lassa,0
BAR       ,,8,03:15,7,90,"PRESSEY, PHIL",P007997   ,In,IN,,,FC Barcelona Lassa,0
BAR       ,,13,03:15,7,91,"HEURTEL, THOMAS",PKLT      ,Out,OUT,,,FC Barcelona Lassa,0
ZAL       ,,3,03:15,7,92,"PANGOS, KEVIN",P006433   ,In,IN,,,Zalgiris Kaunas,0
ZAL       ,,21,03:15,7,93,"MILAKNIS, ARTURAS",PKPD      ,Out,OUT,,,Zalgiris Kaunas,0
ZAL       ,,22,03:15,7,94,"MICIC, VASILIJE",P002580   ,Free Throw In (1/1 -  5 pt),FTM,14.0,17.0,Zalgiris Kaunas,0
BAR       ,,5,03:00,7,95,"RIBAS, PAU",PJUG      ,Turnover (1),TO,,,FC Barcelona Lassa,0
ZAL       ,,22,02:57,8,97,"MICIC, VASILIJE",P002580   ,Steal (1),ST,,,Zalgiris Kaunas,0
ZAL       ,,30,02:54,8,98,"WHITE, AARON",P006505   ,Two Pointer (1/1 -  2 pt),2FGM,14.0,19.0,Zalgiris Kaunas,0
ZAL       ,,22,02:51,8,99,"MICIC, VASILIJE",P002580   ,Assist (2),AS,,,Zalgiris Kaunas,0
BAR       ,,9,02:30,8,100,"HANGA, ADAM",P005099   ,Three Pointer (1/1 -  5 pt),3FGM,17.0,19.0,FC Barcelona Lassa,0
BAR       ,,44,02:28,8,101,"TOMIC, ANTE",P002507   ,Assist (2),AS,,,FC Barcelona Lassa,0
ZAL       ,,30,02:17,8,102,"WHITE, AARON",P006505   ,Turnover (1),TO,,,Zalgiris Kaunas,0
