CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
PAN       ,,24,09:41,1,3,"LOJESKI, MATT",P003608   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,,09:41,1,4,,          ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0
PAN       ,,15,09:38,1,5,"VOUGIOUKAS, IAN",PTFX      ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0
CSK       ,,20,09:38,1,6,"VORONTSEVICH, ANDREY",PLHI      ,Steal (1),ST,,,CSKA Moscow,0
CSK       ,,42,09:38,1,7,"HINES, KYLE",P002812   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,CSKA Moscow,0
CSK       ,,13,09:38,1,8,"RODRIGUEZ, SERGIO",PCVM      ,Assist (1),AS,,,CSKA Moscow,0
PAN       ,,33,09:38,1,9,"CALATHES, NICK",P001932   ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0
CSK       ,,13,09:38,1,10,"RODRIGUEZ, SERGIO",PCVM      ,Steal (1),ST,,,CSKA Moscow,0
CSK       ,,13,09:38,1,11,"RODRIGUEZ, SERGIO",PCVM      ,Two Pointer (1/1 -  2 pt),2FGM,4.0,,CSKA Moscow,0
PAN       ,,33,08:59,2,13,"CALATHES, NICK",P001932   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
CSK       ,,,08:59,2,14,,          ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,1,08:34,2,15,"DE COLO, NANDO",P002100   ,Two Pointer (1/1 -  2 pt),2FGM,6.0,,CSKA Moscow,0
PAN       ,,33,08:20,2,16,"CALATHES, NICK",P001932   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
