CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,51,,          ,Begin Period,BP,,,,0
BAR       ,,11,09:50,1,52,"NAVARRO, JUAN CARLOS",PADI      ,Foul (1),CM,,,FC Barcelona Lassa,0
KHI       ,,6,09:50,1,53,"VIALTSEV, EGOR",PBGV      ,Foul Drawn (1),RV,,,Khimki Moscow Region,0
KHI       ,,6,09:40,1,54,"VIALTSEV, EGOR",PBGV      ,Turnover (1),TO,,,Khimki Moscow Region,0
BAR       ,,44,09:14,1,55,"TOMIC, ANTE",P002507   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,FC Barcelona Lassa,0
BAR       ,,44,09:14,1,56,"TOMIC, ANTE",P002507   ,Shot Rejected (1),AG,,,FC Barcelona Lassa,0
KHI       ,,13,09:12,1,57,"GILL, ANTHONY",P008001   ,Block (1),FV,,,Khimki Moscow Region,0
KHI       ,,23,09:09,1,58,"THOMAS, MALCOLM",P004251   ,Def Rebound (1),D,,,Khimki Moscow Region,0
KHI       ,,13,09:04,1,59,"GILL, ANTHONY",P008001   ,Turnover (1),TO,,,Khimki Moscow Region,0
BAR       ,,13,09:02,1,60,"HEURTEL, THOMAS",PKLT      ,Steal (1),ST,,,FC Barcelona Lassa,0
BAR       ,,9,09:59,1,62,"HANGA, ADAM",P005099   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,FC Barcelona Lassa,0
BAR       ,,9,09:59,1,63,"HANGA, ADAM",P005099   ,Shot Rejected (1),AG,,,FC Barcelona Lassa,0
KHI       ,,1,09:59,1,64,"SHVED, ALEXEY",PKVZ      ,Block (1),FV,,,Khimki Moscow Region,0
BAR       ,,,09:59,1,65,,          ,Off Rebound (1),O,,,FC Barcelona Lassa,0
KHI       ,,9,08:52,2,67,"MARKOVIC, STEFAN",PLME      ,Foul (1),CM,,,Khimki Moscow Region,0
BAR       ,,44,08:52,2,68,"TOMIC, ANTE",P002507   ,Foul Drawn (1),RV,,,FC Barcelona Lassa,0
