CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,13,,          ,Begin Period,BP,,,,0
BAM       ,,42,09:43,1,14,"MUSLI, DEJAN",PLUR      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0
MAD       ,,14,09:43,1,15,"AYON, GUSTAVO",P005927   ,Def Rebound (1),D,,,Real Madrid,0
MAD       ,,7,09:43,1,16,"DONCIC, LUKA",P005929   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Real Madrid,0
BAM       ,,42,09:43,1,17,"MUSLI, DEJAN",PLUR      ,Def Rebound (1),D,,,Brose Bamberg,0
BAM       ,,3,09:43,1,18,"WRIGHT, DORELL",P008049   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Brose Bamberg,0
MAD       ,,14,09:43,1,19,"AYON, GUSTAVO",P005927   ,Def Rebound (2),D,,,Real Madrid,0
MAD       ,,3,09:43,1,20,"RANDOLPH, ANTHONY",P005757   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,,Real Madrid,0
BAM       ,,12,08:45,2,22,"LO, MAODO",P007032   ,Turnover (1),TO,,,Brose Bamberg,0
MAD       ,,3,08:42,2,23,"RANDOLPH, ANTHONY",P005757   ,Steal (1),ST,,,Real Madrid,0
MAD       ,,3,08:37,2,24,"RANDOLPH, ANTHONY",P005757   ,Two Pointer (1/1 -  5 pt),2FGM,5.0,,Real Madrid,0
BAM       ,,6,08:20,2,25,"ZISIS, NIKOS",PABN      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0
BAM       ,,42,08:18,2,26,"MUSLI, DEJAN",PLUR      ,Off Rebound (1),O,,,Brose Bamberg,0
BAM       ,,42,08:18,2,27,"MUSLI, DEJAN",PLUR      ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Brose Bamberg,0
BAM       ,,42,08:18,2,28,"MUSLI, DEJAN",PLUR      ,Shot Rejected (1),AG,,,Brose Bamberg,0
MAD       ,,14,08:18,2,29,"AYON, GUSTAVO",P005927   ,Block (1),FV,,,Real Madrid,0
MAD       ,,1,08:18,2,30,"CAUSEUR, FABIEN",P001392   ,Def Rebound (1),D,,,Real Madrid,0
MAD       ,,1,08:18,2,31,"CAUSEUR, FABIEN",P001392   ,Foul Drawn (1),RV,,,Real Madrid,0
BAM       ,,12,08:18,2,32,"LO, MAODO",P007032   ,Foul (1),CM,,,Brose Bamberg,0
MAD       ,,3,08:18,2,34,"RANDOLPH, ANTHONY",P005757   ,Turnover (1),TO,,,Real Madrid,0
BAM       ,,12,07:58,3,36,"LO, MAODO",P007032   ,Turnover (2),TO,,,Brose Bamberg,0
MAD       ,,3,07:56,3,37,"RANDOLPH, ANTHONY",P005757   ,Steal (2),ST,,,Real Madrid,0
MAD       ,,3,07:56,3,38,"RANDOLPH, ANTHONY",P005757   ,Two Pointer (2/2 -  7 pt),2FGM,7.0,,Real Madrid,0
BAM       ,,,07:56,3,39,,          ,Time Out (1),TOUT,,,Brose Bamberg,0
BAM       ,,9,07:33,3,40,"MITROVIC, LUKA",P002553   ,Three Pointer (1/1 -  3 pt),3FGM,7.0,3.0,Brose Bamberg,0
BAM       ,,6,07:33,3,41,"ZISIS, NIKOS",PABN      ,Assist (1),AS,,,Brose Bamberg,0
MAD       ,,44,07:18,3,42,"TAYLOR, JEFFERY",P006546   ,Turnover (1),TO,,,Real Madrid,0
BAM       ,,42,07:16,3,43,"MUSLI, DEJAN",PLUR      ,Steal (1),ST,,,Brose Bamberg,0
BAM       ,,12,07:13,3,44,"LO, MAODO",P007032   ,Turnover (3),TO,,,Brose Bamberg,0
MAD       ,,3,07:11,3,45,"RANDOLPH, ANTHONY",P005757   ,Steal (3),ST,,,Real Madrid,0
MAD       ,,3,07:07,3,46,"RANDOLPH, ANTHONY",P005757   ,Two Pointer (3/3 -  9 pt),2FGM,9.0,3.0,Real Madrid,0
MAD       ,,44,07:06,3,47,"TAYLOR, JEFFERY",P006546   ,Assist (1),AS,,,Real Madrid,0
BAM       ,,12,06:46,4,49,"LO, MAODO",P007032   ,Two Pointer (1/1 -  2 pt),2FGM,9.0,5.0,Brose Bamberg,0
MAD       ,,44,06:31,4,50,"TAYLOR, JEFFERY",P006546   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Real Madrid,0
BAM       ,,9,06:29,4,51,"MITROVIC, LUKA",P002553   ,Def Rebound (1),D,,,Brose Bamberg,0
MAD       ,,14,06:16,4,52,"AYON, GUSTAVO",P005927   ,Foul (1),CM,,,Real Madrid,0
BAM       ,,42,06:16,4,53,"MUSLI, DEJAN",PLUR      ,Foul Drawn (1),RV,,,Brose Bamberg,0
BAM       ,,0,06:16,4,54,"HACKETT, DANIEL",P001844   ,In,IN,,,Brose Bamberg,0
BAM       ,,12,06:16,4,55,"LO, MAODO",P007032   ,Out,OUT,,,Brose Bamberg,0
BAM       ,,42,06:05,4,56,"MUSLI, DEJAN",PLUR      ,Two Pointer (1/3 -  2 pt),2FGM,9.0,7.0,Brose Bamberg,0
BAM       ,,6,06:05,4,57,"ZISIS, NIKOS",PABN      ,Assist (2),AS,,,Brose Bamberg,0
MAD       ,,3,05:43,5,59,"RANDOLPH, ANTHONY",P005757   ,Two Pointer (4/4 -  11 pt),2FGM,11.0,7.0,Real Madrid,0
BAM       ,,3,05:32,5,60,"WRIGHT, DORELL",P008049   ,Two Pointer (1/1 -  2 pt),2FGM,11.0,9.0,Brose Bamberg,0
MAD       ,,1,05:22,5,61,"CAUSEUR, FABIEN",P001392   ,Three Pointer (1/1 -  3 pt),3FGM,14.0,9.0,Real Madrid,0
MAD       ,,7,05:22,5,62,"DONCIC, LUKA",P005929   ,Assist (1),AS,,,Real Madrid,0
BAM       ,,42,05:01,5,63,"MUSLI, DEJAN",PLUR      ,Missed Two Pointer (1/4 -  2 pt),2FGA,,,Brose Bamberg,0
BAM       ,,3,05:01,5,64,"WRIGHT, DORELL",P008049   ,Off Rebound (1),O,,,Brose Bamberg,0
BAM       ,,3,05:01,5,65,"WRIGHT, DORELL",P008049   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Brose Bamberg,0
BAM       ,,3,05:01,5,66,"WRIGHT, DORELL",P008049   ,Off Rebound (2),O,,,Brose Bamberg,0
BAM       ,,3,05:01,5,67,"WRIGHT, DORELL",P008049   ,Foul Drawn (1),RV,,,Brose Bamberg,0
MAD       ,,7,05:01,5,68,"DONCIC, LUKA",P005929   ,Foul (1),CM,,,Real Madrid,0
BAM       ,,3,05:01,5,69,"WRIGHT, DORELL",P008049   ,Free Throw In (1/1 -  3 pt),FTM,14.0,10.0,Brose Bamberg,0
BAM       ,,3,05:01,5,70,"WRIGHT, DORELL",P008049   ,Free Throw In (2/2 -  4 pt),FTM,14.0,11.0,Brose Bamberg,0
MAD       ,,14,04:54,6,72,"AYON, GUSTAVO",P005927   ,Foul Drawn (1),RV,,,Real Madrid,0
BAM       ,,9,04:54,6,73,"MITROVIC, LUKA",P002553   ,Foul (1),CM,,,Brose Bamberg,0
MAD       ,,14,04:54,6,74,"AYON, GUSTAVO",P005927   ,Missed Free Throw (0/1 -  0 pt),FTA,,,Real Madrid,0
MAD       ,,14,04:54,6,75,"AYON, GUSTAVO",P005927   ,Free Throw In (1/2 -  1 pt),FTM,15.0,11.0,Real Madrid,0
BAM       ,,42,04:45,6,76,"MUSLI, DEJAN",PLUR      ,Two Pointer (2/5 -  4 pt),2FGM,15.0,13.0,Brose Bamberg,0
BAM       ,,6,04:45,6,77,"ZISIS, NIKOS",PABN      ,Assist (3),AS,,,Brose Bamberg,0
MAD       ,,1,04:23,6,78,"CAUSEUR, FABIEN",P001392   ,Turnover (1),TO,,,Real Madrid,0
BAM       ,,3,04:23,6,79,"WRIGHT, DORELL",P008049   ,Steal (1),ST,,,Brose Bamberg,0
BAM       ,,0,04:23,6,80,"HACKETT, DANIEL",P001844   ,Foul Drawn (1),RV,,,Brose Bamberg,0
MAD       ,,1,04:23,6,81,"CAUSEUR, FABIEN",P001392   ,Foul (1),CM,,,Real Madrid,0
BAM       ,,42,04:13,6,82,"MUSLI, DEJAN",PLUR      ,Turnover (1),TO,,,Brose Bamberg,0
MAD       ,,3,04:02,6,83,"RANDOLPH, ANTHONY",P005757   ,Foul Drawn (1),RV,,,Real Madrid,0
BAM       ,,9,04:02,6,84,"MITROVIC, LUKA",P002553   ,Foul (2),CM,,,Brose Bamberg,0
BAM       ,,9,04:02,6,85,"MITROVIC, LUKA",P002553   ,Out,OUT,,,Brose Bamberg,0
BAM       ,,21,04:02,6,86,"RUBIT, AUGUSTINE",P006477   ,In,IN,,,Brose Bamberg,0
MAD       ,,7,03:54,7,88,"DONCIC, LUKA",P005929   ,Two Pointer (1/1 -  2 pt),2FGM,17.0,13.0,Real Madrid,0
BAM       ,,6,03:29,7,89,"ZISIS, NIKOS",PABN      ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Brose Bamberg,0
BAM       ,,42,03:26,7,90,"MUSLI, DEJAN",PLUR      ,Off Rebound (2),O,,,Brose Bamberg,0
BAM       ,,42,03:26,7,91,"MUSLI, DEJAN",PLUR      ,Two Pointer (3/6 -  6 pt),2FGM,17.0,15.0,Brose Bamberg,0
MAD       ,,3,03:19,7,92,"RANDOLPH, ANTHONY",P005757   ,Three Pointer (2/2 -  14 pt),3FGM,20.0,15.0,Real Madrid,0
MAD       ,,7,03:19,7,93,"DONCIC, LUKA",P005929   ,Assist (2),AS,,,Real Madrid,0
BAM       ,,21,02:54,8,95,"RUBIT, AUGUSTINE",P006477   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0
BAM       ,,42,02:51,8,96,"MUSLI, DEJAN",PLUR      ,Off Rebound (3),O,,,Brose Bamberg,0
BAM       ,,21,02:48,8,97,"RUBIT, AUGUSTINE",P006477   ,Two Pointer (1/2 -  2 pt),2FGM,20.0,17.0,Brose Bamberg,0
BAM       ,,42,02:45,8,98,"MUSLI, DEJAN",PLUR      ,Assist (1),AS,,,Brose Bamberg,0
MAD       ,,7,02:32,8,99,"DONCIC, LUKA",P005929   ,Missed Three Pointer (0/2 -  2 pt),3FGA,,,Real Madrid,0
BAM       ,,3,02:30,8,100,"WRIGHT, DORELL",P008049   ,Def Rebound (1),D,,,Brose Bamberg,0
BAM       ,,3,02:22,8,101,"WRIGHT, DORELL",P008049   ,Two Pointer (2/3 -  6 pt),2FGM,20.0,19.0,Brose Bamberg,0
MAD       ,,44,02:00,8,102,"TAYLOR, JEFFERY",P006546   ,Three Pointer (1/1 -  3 pt),3FGM,23.0,19.0,Real Madrid,0
MAD       ,,7,01:58,9,104,"DONCIC, LUKA",P005929   ,Assist (3),AS,,,Real Madrid,0
BAM       ,,42,01:40,9,105,"MUSLI, DEJAN",PLUR      ,Two Pointer (4/7 -  8 pt),2FGM,23.0,21.0,Brose Bamberg,0
BAM       ,,6,01:37,9,106,"ZISIS, NIKOS",PABN      ,Assist (4),AS,,,Brose Bamberg,0
MAD       ,,3,01:31,9,107,"RANDOLPH, ANTHONY",P005757   ,Foul Drawn (2),RV,,,Real Madrid,0
BAM       ,,21,01:31,9,108,"RUBIT, AUGUSTINE",P006477   ,Foul (1),CM,,,Brose Bamberg,0
