CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,0,09:50,1,3,"GOUDELOCK, ANDREW",P004903   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,19,09:47,1,4,"KUZMINSKAS, MINDAUGAS",P002008   ,Off Rebound (1),O,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,24,09:38,1,5,"M'BAYE, AMATH",P007993   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,55,09:36,1,6,"JERRELLS, CURTIS",P003067   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
PAN       ,,33,09:23,1,7,"CALATHES, NICK",P001932   ,Two Pointer (1/1 -  2 pt),2FGM,3.0,2.0,Panathinaikos Superfoods Athens,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,24,08:56,2,9,"M'BAYE, AMATH",P007993   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,19,08:54,2,10,"KUZMINSKAS, MINDAUGAS",P002008   ,Off Rebound (2),O,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,19,08:54,2,11,"KUZMINSKAS, MINDAUGAS",P002008   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,2.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
PAN       ,,6,08:32,2,12,"PAYNE, ADREIAN",P008348   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,15,08:30,2,13,"TARCZEWSKI, KALEB",P008004   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,24,08:19,2,14,"M'BAYE, AMATH",P007993   ,Three Pointer (2/2 -  6 pt),3FGM,8.0,2.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,19,08:16,2,15,"KUZMINSKAS, MINDAUGAS",P002008   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
PAN       ,,33,08:05,2,16,"CALATHES, NICK",P001932   ,Two Pointer (2/2 -  4 pt),2FGM,8.0,4.0,Panathinaikos Superfoods Athens,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,15,07:51,3,18,"TARCZEWSKI, KALEB",P008004   ,Turnover (1),TO,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
PAN       ,,33,07:49,3,19,"CALATHES, NICK",P001932   ,Steal (1),ST,,,Panathinaikos Superfoods Athens,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
PAN       ,,5,07:39,3,20,"JAMES, MIKE",P005985   ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,24,07:37,3,21,"M'BAYE, AMATH",P007993   ,Steal (1),ST,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,19,07:31,3,22,"KUZMINSKAS, MINDAUGAS",P002008   ,Two Pointer (2/2 -  4 pt),2FGM,10.0,4.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,0,07:28,3,23,"GOUDELOCK, ANDREW",P004903   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
PAN       ,,33,07:09,3,24,"CALATHES, NICK",P001932   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,15,07:09,3,25,"TARCZEWSKI, KALEB",P008004   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
PAN       ,,6,07:07,3,26,"PAYNE, ADREIAN",P008348   ,Out,OUT,,,Panathinaikos Superfoods Athens,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
PAN       ,,14,07:07,3,27,"GIST, JAMES",P002980   ,In,IN,,,Panathinaikos Superfoods Athens,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
PAN       ,,33,07:01,3,28,"CALATHES, NICK",P001932   ,Missed Two Pointer (2/3 -  4 pt),2FGA,,,Panathinaikos Superfoods Athens,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,0,06:59,4,30,"GOUDELOCK, ANDREW",P004903   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,24,06:41,4,31,"M'BAYE, AMATH",P007993   ,Missed Three Pointer (2/3 -  6 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
PAN       ,,0,06:38,4,32,"SINGLETON, CHRIS",P006614   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
PAN       ,,43,06:34,4,33,"ANTETOKOUNMPO, THANASIS",P007865   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,55,06:34,4,34,"JERRELLS, CURTIS",P003067   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
PAN       ,,5,06:29,4,35,"JAMES, MIKE",P005985   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,15,06:26,4,36,"TARCZEWSKI, KALEB",P008004   ,Def Rebound (2),D,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,55,06:05,4,37,"JERRELLS, CURTIS",P003067   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,15,06:03,4,38,"TARCZEWSKI, KALEB",P008004   ,Off Rebound (1),O,,,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,15,06:03,4,39,"TARCZEWSKI, KALEB",P008004   ,Two Pointer (1/1 -  2 pt),2FGM,12.0,4.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
PAN       ,,0,05:40,5,41,"SINGLETON, CHRIS",P006614   ,Two Pointer (1/1 -  2 pt),2FGM,12.0,6.0,Panathinaikos Superfoods Athens,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
MIL       ,,19,05:21,5,42,"KUZMINSKAS, MINDAUGAS",P002008   ,Two Pointer (3/3 -  6 pt),2FGM,14.0,6.0,AX Armani Exchange Olimpia Milan,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
PAN       ,,5,05:17,5,43,"JAMES, MIKE",P005985   ,Two Pointer (1/1 -  2 pt),2FGM,14.0,8.0,Panathinaikos Superfoods Athens,0,AX Armani Exchange Olimpia Milan,MIL,Panathinaikos Superfoods Athens,PAN
