CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,12,,          ,Begin Period,BP,,,,0
PAM       ,,14,09:43,1,13,"DUBLJEVIC, BOJAN",P002742   ,Foul (1),CM,,,Valencia Basket,0
MAL       ,,44,09:43,1,14,"MUSLI, DEJAN",PLUR      ,Foul Drawn (1),RV,,,Unicaja Malaga,0
MAL       ,,3,09:37,1,15,"MCCALLUM, RAY",P008002   ,Turnover (1),TO,,,Unicaja Malaga,0
PAM       ,,42,09:35,1,16,"DOORNEKAMP, AARON",P002763   ,Steal (1),ST,,,Valencia Basket,0
PAM       ,,14,09:23,1,17,"DUBLJEVIC, BOJAN",P002742   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Valencia Basket,0
PAM       ,,14,09:23,1,18,"DUBLJEVIC, BOJAN",P002742   ,Shot Rejected (1),AG,,,Valencia Basket,0
MAL       ,,44,09:18,1,19,"MUSLI, DEJAN",PLUR      ,Block (1),FV,,,Unicaja Malaga,0
MAL       ,,3,09:14,1,20,"MCCALLUM, RAY",P008002   ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,3,09:12,1,21,"MCCALLUM, RAY",P008002   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Unicaja Malaga,0
PAM       ,,32,09:04,1,22,"GREEN, ERICK",P005159   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Valencia Basket,0
PAM       ,,16,09:02,1,23,"VIVES, GUILLEM",P002361   ,Assist (1),AS,,,Valencia Basket,0
PAM       ,,16,08:50,2,25,"VIVES, GUILLEM",P002361   ,Foul (1),CM,,,Valencia Basket,0
MAL       ,,10,08:50,2,26,"SALIN, SASU",P002820   ,Foul Drawn (1),RV,,,Unicaja Malaga,0
MAL       ,,3,08:36,2,27,"MCCALLUM, RAY",P008002   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Unicaja Malaga,0
PAM       ,,42,08:33,2,28,"DOORNEKAMP, AARON",P002763   ,Def Rebound (1),D,,,Valencia Basket,0
PAM       ,,32,08:28,2,29,"GREEN, ERICK",P005159   ,Two Pointer (2/2 -  4 pt),2FGM,4.0,2.0,Valencia Basket,0
PAM       ,,42,08:26,2,30,"DOORNEKAMP, AARON",P002763   ,Assist (1),AS,,,Valencia Basket,0
MAL       ,,10,08:11,2,31,"SALIN, SASU",P002820   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0
PAM       ,,0,08:09,2,32,"THOMAS, WILL",P005856   ,Def Rebound (1),D,,,Valencia Basket,0
PAM       ,,32,07:57,3,34,"GREEN, ERICK",P005159   ,Missed Two Pointer (2/3 -  4 pt),2FGA,,,Valencia Basket,0
MAL       ,,3,07:54,3,35,"MCCALLUM, RAY",P008002   ,Def Rebound (2),D,,,Unicaja Malaga,0
MAL       ,,3,07:38,3,36,"MCCALLUM, RAY",P008002   ,Two Pointer (2/3 -  4 pt),2FGM,4.0,4.0,Unicaja Malaga,0
PAM       ,,42,07:19,3,37,"DOORNEKAMP, AARON",P002763   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Valencia Basket,0
PAM       ,,16,07:16,3,38,"VIVES, GUILLEM",P002361   ,Off Rebound (1),O,,,Valencia Basket,0
PAM       ,,42,07:07,3,39,"DOORNEKAMP, AARON",P002763   ,Three Pointer (1/1 -  3 pt),3FGM,7.0,4.0,Valencia Basket,0
PAM       ,,32,07:05,3,40,"GREEN, ERICK",P005159   ,Assist (1),AS,,,Valencia Basket,0
MAL       ,,10,06:39,4,42,"SALIN, SASU",P002820   ,Three Pointer (1/1 -  3 pt),3FGM,7.0,7.0,Unicaja Malaga,0
MAL       ,,23,06:37,4,43,"BROOKS, JEFF",P004117   ,Assist (1),AS,,,Unicaja Malaga,0
PAM       ,,14,06:20,4,44,"DUBLJEVIC, BOJAN",P002742   ,Three Pointer (1/1 -  3 pt),3FGM,10.0,7.0,Valencia Basket,0
PAM       ,,32,06:18,4,45,"GREEN, ERICK",P005159   ,Assist (2),AS,,,Valencia Basket,0
PAM       ,,16,06:03,4,46,"VIVES, GUILLEM",P002361   ,Foul (2),CM,,,Valencia Basket,0
MAL       ,,10,06:03,4,47,"SALIN, SASU",P002820   ,Foul Drawn (2),RV,,,Unicaja Malaga,0
PAM       ,,9,06:03,4,48,"VAN ROSSOM, SAM",PLRQ      ,In,IN,,,Valencia Basket,0
PAM       ,,16,06:03,4,49,"VIVES, GUILLEM",P002361   ,Out,OUT,,,Valencia Basket,0
MAL       ,,21,05:49,5,51,"WACZYNSKI, ADAM",PLDX      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0
PAM       ,,9,05:46,5,52,"VAN ROSSOM, SAM",PLRQ      ,Def Rebound (1),D,,,Valencia Basket,0
PAM       ,,32,05:32,5,53,"GREEN, ERICK",P005159   ,Two Pointer (3/4 -  6 pt),2FGM,12.0,7.0,Valencia Basket,0
MAL       ,,23,05:06,5,54,"BROOKS, JEFF",P004117   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0
PAM       ,,14,05:03,5,55,"DUBLJEVIC, BOJAN",P002742   ,Def Rebound (1),D,,,Valencia Basket,0
PAM       ,,32,04:46,6,57,"GREEN, ERICK",P005159   ,Two Pointer (4/5 -  8 pt),2FGM,14.0,7.0,Valencia Basket,0
MAL       ,,44,04:21,6,58,"MUSLI, DEJAN",PLUR      ,Two Pointer (1/1 -  2 pt),2FGM,14.0,9.0,Unicaja Malaga,0
PAM       ,,14,04:01,6,59,"DUBLJEVIC, BOJAN",P002742   ,Three Pointer (2/2 -  6 pt),3FGM,17.0,9.0,Valencia Basket,0
PAM       ,,32,04:00,6,60,"GREEN, ERICK",P005159   ,Assist (3),AS,,,Valencia Basket,0
MAL       ,,,04:00,6,61,,          ,Time Out (1),TOUT,,,Unicaja Malaga,0
PAM       ,,14,04:00,6,62,"DUBLJEVIC, BOJAN",P002742   ,Out,OUT,,,Valencia Basket,0
PAM       ,,17,04:00,6,63,"MARTINEZ, RAFA",P001351   ,In,IN,,,Valencia Basket,0
PAM       ,,21,04:00,6,64,"PLEISS, TIBOR",PLHK      ,In,IN,,,Valencia Basket,0
PAM       ,,32,04:00,6,65,"GREEN, ERICK",P005159   ,Out,OUT,,,Valencia Basket,0
PAM       ,,17,03:49,7,67,"MARTINEZ, RAFA",P001351   ,Foul (1),CM,,,Valencia Basket,0
MAL       ,,10,03:49,7,68,"SALIN, SASU",P002820   ,Foul Drawn (3),RV,,,Unicaja Malaga,0
MAL       ,,44,03:39,7,69,"MUSLI, DEJAN",PLUR      ,Turnover (1),TO,,,Unicaja Malaga,0
MAL       ,,44,03:18,7,70,"MUSLI, DEJAN",PLUR      ,Foul (1),CM,,,Unicaja Malaga,0
PAM       ,,21,03:18,7,71,"PLEISS, TIBOR",PLHK      ,Foul Drawn (1),RV,,,Valencia Basket,0
MAL       ,,3,03:18,7,72,"MCCALLUM, RAY",P008002   ,Out,OUT,,,Unicaja Malaga,0
MAL       ,,9,03:18,7,73,"DIAZ, ALBERTO",P004213   ,In,IN,,,Unicaja Malaga,0
MAL       ,,17,03:18,7,74,"SHERMADINI, GIORGI",P001386   ,In,IN,,,Unicaja Malaga,0
MAL       ,,44,03:18,7,75,"MUSLI, DEJAN",PLUR      ,Out,OUT,,,Unicaja Malaga,0
PAM       ,,0,03:11,7,76,"THOMAS, WILL",P005856   ,Two Pointer (1/1 -  2 pt),2FGM,19.0,9.0,Valencia Basket,0
PAM       ,,42,03:08,7,77,"DOORNEKAMP, AARON",P002763   ,Assist (2),AS,,,Valencia Basket,0
MAL       ,,21,02:55,8,79,"WACZYNSKI, ADAM",PLDX      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0
PAM       ,,21,02:54,8,80,"PLEISS, TIBOR",PLHK      ,Def Rebound (1),D,,,Valencia Basket,0
PAM       ,,9,02:47,8,81,"VAN ROSSOM, SAM",PLRQ      ,Two Pointer (1/1 -  2 pt),2FGM,21.0,9.0,Valencia Basket,0
MAL       ,,23,02:35,8,82,"BROOKS, JEFF",P004117   ,Offensive Foul (1),OF,,,Unicaja Malaga,0
MAL       ,,23,02:35,8,83,"BROOKS, JEFF",P004117   ,Turnover (1),TO,,,Unicaja Malaga,0
PAM       ,,17,02:35,8,84,"MARTINEZ, RAFA",P001351   ,Foul Drawn (1),RV,,,Valencia Basket,0
PAM       ,,6,02:35,8,85,"ABALDE, ALBERTO",P003733   ,In,IN,,,Valencia Basket,0
PAM       ,,42,02:35,8,86,"DOORNEKAMP, AARON",P002763   ,Out,OUT,,,Valencia Basket,0
MAL       ,,12,02:35,8,87,"MILOSAVLJEVIC, DRAGAN",P002822   ,In,IN,,,Unicaja Malaga,0
MAL       ,,21,02:35,8,88,"WACZYNSKI, ADAM",PLDX      ,Out,OUT,,,Unicaja Malaga,0
PAM       ,,17,02:17,8,89,"MARTINEZ, RAFA",P001351   ,Two Pointer (1/1 -  2 pt),2FGM,23.0,9.0,Valencia Basket,0
PAM       ,,21,02:15,8,90,"PLEISS, TIBOR",PLHK      ,Assist (1),AS,,,Valencia Basket,0
MAL       ,,,01:51,9,92,,          ,Turnover (1),TO,,,Unicaja Malaga,0
MAL       ,,6,01:51,9,93,"SOLUADE, MO",P004479   ,In,IN,,,Unicaja Malaga,0
MAL       ,,10,01:51,9,94,"SALIN, SASU",P002820   ,Out,OUT,,,Unicaja Malaga,0
MAL       ,,9,01:43,9,95,"DIAZ, ALBERTO",P004213   ,Foul (1),CM,,,Unicaja Malaga,0
PAM       ,,9,01:43,9,96,"VAN ROSSOM, SAM",PLRQ      ,Foul Drawn (1),RV,,,Valencia Basket,0
PAM       ,,9,01:43,9,97,"VAN ROSSOM, SAM",PLRQ      ,Free Throw In (1/1 -  3 pt),FTM,24.0,9.0,Valencia Basket,0
PAM       ,,9,01:43,9,98,"VAN ROSSOM, SAM",PLRQ      ,Free Throw In (2/2 -  4 pt),FTM,25.0,9.0,Valencia Basket,0
MAL       ,,12,01:20,9,99,"MILOSAVLJEVIC, DRAGAN",P002822   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Unicaja Malaga,0
PAM       ,,0,01:18,9,100,"THOMAS, WILL",P005856   ,Def Rebound (2),D,,,Valencia Basket,0
PAM       ,,21,01:04,9,101,"PLEISS, TIBOR",PLHK      ,Two Pointer (1/1 -  2 pt),2FGM,27.0,9.0,Valencia Basket,0
MAL       ,,17,01:04,9,102,"SHERMADINI, GIORGI",P001386   ,Foul (1),CM,,,Unicaja Malaga,0
PAM       ,,21,01:04,9,103,"PLEISS, TIBOR",PLHK      ,Foul Drawn (2),RV,,,Valencia Basket,0
PAM       ,,21,01:04,9,104,"PLEISS, TIBOR",PLHK      ,Free Throw In (1/1 -  3 pt),FTM,28.0,9.0,Valencia Basket,0
MAL       ,,23,00:39,10,106,"BROOKS, JEFF",P004117   ,Two Pointer (1/2 -  2 pt),2FGM,28.0,11.0,Unicaja Malaga,0
PAM       ,,17,00:16,10,107,"MARTINEZ, RAFA",P001351   ,Three Pointer (1/1 -  5 pt),3FGM,31.0,11.0,Valencia Basket,0
PAM       ,,21,00:13,10,108,"PLEISS, TIBOR",PLHK      ,Assist (2),AS,,,Valencia Basket,0
MAL       ,,12,00:01,10,109,"MILOSAVLJEVIC, DRAGAN",P002822   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Unicaja Malaga,0
MAL       ,,12,00:01,10,110,"MILOSAVLJEVIC, DRAGAN",P002822   ,Shot Rejected (1),AG,,,Unicaja Malaga,0
PAM       ,,21,00:01,10,111,"PLEISS, TIBOR",PLHK      ,Block (1),FV,,,Valencia Basket,0
PAM       ,,0,00:01,10,112,"THOMAS, WILL",P005856   ,Def Rebound (3),D,,,Valencia Basket,0
          ,,,,11,114,,          ,End Period,EP,,,,0
          ,,,,11,117,,          ,Begin Period,BP,,,,0
MAL       ,,23,10:00,11,115,"BROOKS, JEFF",P004117   ,Out,OUT,,,Unicaja Malaga,0
MAL       ,,43,10:00,11,116,"SUAREZ, CARLOS",PJJS      ,In,IN,,,Unicaja Malaga,0
MAL       ,,43,09:51,11,118,"SUAREZ, CARLOS",PJJS      ,Foul (1),CM,,,Unicaja Malaga,0
PAM       ,,0,09:51,11,119,"THOMAS, WILL",P005856   ,Foul Drawn (1),RV,,,Valencia Basket,0
PAM       ,,17,09:38,11,120,"MARTINEZ, RAFA",P001351   ,Three Pointer (2/2 -  8 pt),3FGM,34.0,11.0,Valencia Basket,0
PAM       ,,9,09:36,11,121,"VAN ROSSOM, SAM",PLRQ      ,Assist (1),AS,,,Valencia Basket,0
PAM       ,,17,09:20,11,122,"MARTINEZ, RAFA",P001351   ,Foul (2),CM,,,Valencia Basket,0
MAL       ,,6,09:20,11,123,"SOLUADE, MO",P004479   ,Foul Drawn (1),RV,,,Unicaja Malaga,0
PAM       ,,9,09:20,11,124,"VAN ROSSOM, SAM",PLRQ      ,Out,OUT,,,Valencia Basket,0
PAM       ,,16,09:20,11,125,"VIVES, GUILLEM",P002361   ,In,IN,,,Valencia Basket,0
PAM       ,,17,09:20,11,126,"MARTINEZ, RAFA",P001351   ,Out,OUT,,,Valencia Basket,0
PAM       ,,32,09:20,11,127,"GREEN, ERICK",P005159   ,In,IN,,,Valencia Basket,0
MAL       ,,12,09:13,11,128,"MILOSAVLJEVIC, DRAGAN",P002822   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0
PAM       ,,21,09:11,11,129,"PLEISS, TIBOR",PLHK      ,Def Rebound (2),D,,,Valencia Basket,0
PAM       ,,16,09:01,11,130,"VIVES, GUILLEM",P002361   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Valencia Basket,0
MAL       ,,43,08:58,12,132,"SUAREZ, CARLOS",PJJS      ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,12,08:47,12,133,"MILOSAVLJEVIC, DRAGAN",P002822   ,Turnover (1),TO,,,Unicaja Malaga,0
PAM       ,,0,08:46,12,134,"THOMAS, WILL",P005856   ,Steal (1),ST,,,Valencia Basket,0
PAM       ,,32,08:41,12,135,"GREEN, ERICK",P005159   ,Two Pointer (5/6 -  10 pt),2FGM,36.0,11.0,Valencia Basket,0
PAM       ,,21,08:28,12,136,"PLEISS, TIBOR",PLHK      ,Foul (1),CM,,,Valencia Basket,0
MAL       ,,17,08:28,12,137,"SHERMADINI, GIORGI",P001386   ,Foul Drawn (1),RV,,,Unicaja Malaga,0
PAM       ,,0,08:28,12,138,"THOMAS, WILL",P005856   ,Out,OUT,,,Valencia Basket,0
PAM       ,,14,08:28,12,139,"DUBLJEVIC, BOJAN",P002742   ,In,IN,,,Valencia Basket,0
PAM       ,,21,08:28,12,140,"PLEISS, TIBOR",PLHK      ,Out,OUT,,,Valencia Basket,0
PAM       ,,42,08:28,12,141,"DOORNEKAMP, AARON",P002763   ,In,IN,,,Valencia Basket,0
MAL       ,,6,08:28,12,142,"SOLUADE, MO",P004479   ,Out,OUT,,,Unicaja Malaga,0
MAL       ,,11,08:28,12,143,"DIEZ, DANIEL",P003198   ,In,IN,,,Unicaja Malaga,0
MAL       ,,17,08:28,12,144,"SHERMADINI, GIORGI",P001386   ,Missed Free Throw (0/1 -  0 pt),FTA,,,Unicaja Malaga,0
MAL       ,,17,08:28,12,145,"SHERMADINI, GIORGI",P001386   ,Missed Free Throw (0/2 -  0 pt),FTA,,,Unicaja Malaga,0
PAM       ,,6,08:28,12,146,"ABALDE, ALBERTO",P003733   ,Def Rebound (1),D,,,Valencia Basket,0
MAL       ,,9,08:08,12,147,"DIAZ, ALBERTO",P004213   ,Foul (2),CM,,,Unicaja Malaga,0
PAM       ,,14,08:08,12,148,"DUBLJEVIC, BOJAN",P002742   ,Foul Drawn (1),RV,,,Valencia Basket,0
MAL       ,,3,08:08,12,149,"MCCALLUM, RAY",P008002   ,In,IN,,,Unicaja Malaga,0
MAL       ,,9,08:08,12,150,"DIAZ, ALBERTO",P004213   ,Out,OUT,,,Unicaja Malaga,0
MAL       ,,12,08:04,12,151,"MILOSAVLJEVIC, DRAGAN",P002822   ,Foul (1),CM,,,Unicaja Malaga,0
PAM       ,,14,08:04,12,152,"DUBLJEVIC, BOJAN",P002742   ,Foul Drawn (2),RV,,,Valencia Basket,0
PAM       ,,14,07:56,13,154,"DUBLJEVIC, BOJAN",P002742   ,Missed Three Pointer (2/3 -  6 pt),3FGA,,,Valencia Basket,0
MAL       ,,,07:56,13,155,,          ,Def Rebound (1),D,,,Unicaja Malaga,0
PAM       ,,42,07:56,13,156,"DOORNEKAMP, AARON",P002763   ,Foul (1),CM,,,Valencia Basket,0
MAL       ,,43,07:56,13,157,"SUAREZ, CARLOS",PJJS      ,Foul Drawn (1),RV,,,Unicaja Malaga,0
MAL       ,,17,07:41,13,158,"SHERMADINI, GIORGI",P001386   ,Two Pointer (1/1 -  2 pt),2FGM,36.0,13.0,Unicaja Malaga,0
MAL       ,,43,07:38,13,159,"SUAREZ, CARLOS",PJJS      ,Assist (1),AS,,,Unicaja Malaga,0
PAM       ,,14,07:23,13,160,"DUBLJEVIC, BOJAN",P002742   ,Missed Two Pointer (0/2 -  6 pt),2FGA,,,Valencia Basket,0
MAL       ,,43,07:21,13,161,"SUAREZ, CARLOS",PJJS      ,Def Rebound (2),D,,,Unicaja Malaga,0
MAL       ,,12,07:19,13,162,"MILOSAVLJEVIC, DRAGAN",P002822   ,Turnover (2),TO,,,Unicaja Malaga,0
PAM       ,,32,06:54,14,164,"GREEN, ERICK",P005159   ,Two Pointer (6/7 -  12 pt),2FGM,38.0,13.0,Valencia Basket,0
MAL       ,,3,06:51,14,165,"MCCALLUM, RAY",P008002   ,Turnover (2),TO,,,Unicaja Malaga,0
PAM       ,,6,06:38,14,166,"ABALDE, ALBERTO",P003733   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Valencia Basket,0
MAL       ,,17,06:36,14,167,"SHERMADINI, GIORGI",P001386   ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,17,06:25,14,168,"SHERMADINI, GIORGI",P001386   ,Offensive Foul (2),OF,,,Unicaja Malaga,0
MAL       ,,17,06:25,14,169,"SHERMADINI, GIORGI",P001386   ,Turnover (1),TO,,,Unicaja Malaga,0
PAM       ,,14,06:25,14,170,"DUBLJEVIC, BOJAN",P002742   ,Foul Drawn (3),RV,,,Valencia Basket,0
PAM       ,,32,06:10,14,171,"GREEN, ERICK",P005159   ,Turnover (1),TO,,,Valencia Basket,0
MAL       ,,12,05:37,15,173,"MILOSAVLJEVIC, DRAGAN",P002822   ,Two Pointer (1/3 -  2 pt),2FGM,38.0,15.0,Unicaja Malaga,0
PAM       ,,6,05:17,15,174,"ABALDE, ALBERTO",P003733   ,Two Pointer (1/2 -  2 pt),2FGM,40.0,15.0,Valencia Basket,0
PAM       ,,14,05:14,15,175,"DUBLJEVIC, BOJAN",P002742   ,Assist (1),AS,,,Valencia Basket,0
PAM       ,,14,05:06,15,176,"DUBLJEVIC, BOJAN",P002742   ,Foul (2),CM,,,Valencia Basket,0
MAL       ,,17,05:06,15,177,"SHERMADINI, GIORGI",P001386   ,Foul Drawn (2),RV,,,Unicaja Malaga,0
PAM       ,,9,05:06,15,178,"VAN ROSSOM, SAM",PLRQ      ,In,IN,,,Valencia Basket,0
PAM       ,,14,05:06,15,179,"DUBLJEVIC, BOJAN",P002742   ,Out,OUT,,,Valencia Basket,0
PAM       ,,16,05:06,15,180,"VIVES, GUILLEM",P002361   ,Out,OUT,,,Valencia Basket,0
PAM       ,,21,05:06,15,181,"PLEISS, TIBOR",PLHK      ,In,IN,,,Valencia Basket,0
MAL       ,,12,04:57,16,183,"MILOSAVLJEVIC, DRAGAN",P002822   ,Missed Two Pointer (1/4 -  2 pt),2FGA,,,Unicaja Malaga,0
MAL       ,,12,04:57,16,184,"MILOSAVLJEVIC, DRAGAN",P002822   ,Shot Rejected (2),AG,,,Unicaja Malaga,0
PAM       ,,21,04:53,16,185,"PLEISS, TIBOR",PLHK      ,Block (2),FV,,,Valencia Basket,0
PAM       ,,42,04:49,16,186,"DOORNEKAMP, AARON",P002763   ,Def Rebound (2),D,,,Valencia Basket,0
PAM       ,,6,04:46,16,187,"ABALDE, ALBERTO",P003733   ,Three Pointer (1/1 -  5 pt),3FGM,43.0,15.0,Valencia Basket,0
PAM       ,,9,04:44,16,188,"VAN ROSSOM, SAM",PLRQ      ,Assist (2),AS,,,Valencia Basket,0
MAL       ,,3,04:23,16,189,"MCCALLUM, RAY",P008002   ,Missed Three Pointer (0/1 -  4 pt),3FGA,,,Unicaja Malaga,0
MAL       ,,17,04:21,16,190,"SHERMADINI, GIORGI",P001386   ,Off Rebound (1),O,,,Unicaja Malaga,0
MAL       ,,11,04:06,16,191,"DIEZ, DANIEL",P003198   ,Two Pointer (1/1 -  2 pt),2FGM,43.0,17.0,Unicaja Malaga,0
MAL       ,,43,04:05,16,192,"SUAREZ, CARLOS",PJJS      ,Assist (2),AS,,,Unicaja Malaga,0
PAM       ,,32,03:51,17,194,"GREEN, ERICK",P005159   ,Three Pointer (1/1 -  15 pt),3FGM,46.0,17.0,Valencia Basket,0
PAM       ,,9,03:48,17,195,"VAN ROSSOM, SAM",PLRQ      ,Assist (3),AS,,,Valencia Basket,0
MAL       ,,12,03:48,17,196,"MILOSAVLJEVIC, DRAGAN",P002822   ,Missed Two Pointer (1/5 -  2 pt),2FGA,,,Unicaja Malaga,0
MAL       ,,,03:34,17,197,,          ,Off Rebound (1),O,,,Unicaja Malaga,0
MAL       ,,,03:34,17,198,,          ,Time Out (1),TOUT,,,Unicaja Malaga,0
PAM       ,,0,03:34,17,199,"THOMAS, WILL",P005856   ,In,IN,,,Valencia Basket,0
PAM       ,,42,03:34,17,200,"DOORNEKAMP, AARON",P002763   ,Out,OUT,,,Valencia Basket,0
MAL       ,,10,03:34,17,201,"SALIN, SASU",P002820   ,In,IN,,,Unicaja Malaga,0
MAL       ,,12,03:34,17,202,"MILOSAVLJEVIC, DRAGAN",P002822   ,Out,OUT,,,Unicaja Malaga,0
MAL       ,,17,03:34,17,203,"SHERMADINI, GIORGI",P001386   ,Out,OUT,,,Unicaja Malaga,0
MAL       ,,23,03:34,17,204,"BROOKS, JEFF",P004117   ,In,IN,,,Unicaja Malaga,0
MAL       ,,3,03:21,17,205,"MCCALLUM, RAY",P008002   ,Two Pointer (3/4 -  6 pt),2FGM,46.0,19.0,Unicaja Malaga,0
PAM       ,,6,02:56,18,207,"ABALDE, ALBERTO",P003733   ,Two Pointer (2/3 -  7 pt),2FGM,48.0,19.0,Valencia Basket,0
MAL       ,,3,02:42,18,208,"MCCALLUM, RAY",P008002   ,Missed Two Pointer (3/5 -  6 pt),2FGA,,,Unicaja Malaga,0
PAM       ,,9,02:40,18,209,"VAN ROSSOM, SAM",PLRQ      ,Def Rebound (2),D,,,Valencia Basket,0
MAL       ,,10,02:37,18,210,"SALIN, SASU",P002820   ,Foul (1),CM,,,Unicaja Malaga,0
PAM       ,,32,02:37,18,211,"GREEN, ERICK",P005159   ,Foul Drawn (1),RV,,,Valencia Basket,0
PAM       ,,32,02:37,18,212,"GREEN, ERICK",P005159   ,Free Throw In (1/1 -  16 pt),FTM,49.0,19.0,Valencia Basket,0
PAM       ,,32,02:37,18,213,"GREEN, ERICK",P005159   ,Free Throw In (2/2 -  17 pt),FTM,50.0,19.0,Valencia Basket,0
MAL       ,,11,02:19,18,214,"DIEZ, DANIEL",P003198   ,Two Pointer (2/2 -  4 pt),2FGM,50.0,21.0,Unicaja Malaga,0
PAM       ,,32,02:02,18,215,"GREEN, ERICK",P005159   ,Two Pointer (7/8 -  19 pt),2FGM,52.0,21.0,Valencia Basket,0
MAL       ,,43,01:42,19,217,"SUAREZ, CARLOS",PJJS      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Unicaja Malaga,0
PAM       ,,21,01:38,19,218,"PLEISS, TIBOR",PLHK      ,Def Rebound (3),D,,,Valencia Basket,0
PAM       ,,6,01:35,19,219,"ABALDE, ALBERTO",P003733   ,Three Pointer (2/2 -  10 pt),3FGM,55.0,21.0,Valencia Basket,0
PAM       ,,32,01:33,19,220,"GREEN, ERICK",P005159   ,Assist (4),AS,,,Valencia Basket,0
