CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,12,,          ,Begin Period,BP,,,,0
PAN       ,,3,09:42,1,13,"RIVERS, KC",P002429   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
ULK       ,,11,09:40,1,14,"WANAMAKER, BRAD",P005838   ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
PAN       ,,0,09:20,1,15,"SINGLETON, CHRIS",P006614   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0
ULK       ,,11,09:20,1,16,"WANAMAKER, BRAD",P005838   ,Foul Drawn (1),RV,,,Fenerbahce Dogus Istanbul,0
ULK       ,,11,09:20,1,17,"WANAMAKER, BRAD",P005838   ,Free Throw In (1/1 -  1 pt),FTM,,1.0,Fenerbahce Dogus Istanbul,0
ULK       ,,11,09:20,1,18,"WANAMAKER, BRAD",P005838   ,Free Throw In (2/2 -  2 pt),FTM,,2.0,Fenerbahce Dogus Istanbul,0
PAN       ,,33,09:11,1,19,"CALATHES, NICK",P001932   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
ULK       ,,4,09:09,1,20,"MELLI, NICOLO",P002849   ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,11,08:59,2,22,"WANAMAKER, BRAD",P005838   ,Three Pointer (1/1 -  5 pt),3FGM,,5.0,Fenerbahce Dogus Istanbul,0
PAN       ,,33,08:40,2,23,"CALATHES, NICK",P001932   ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0
ULK       ,,11,08:38,2,24,"WANAMAKER, BRAD",P005838   ,Steal (1),ST,,,Fenerbahce Dogus Istanbul,0
ULK       ,,11,08:29,2,25,"WANAMAKER, BRAD",P005838   ,Turnover (1),TO,,,Fenerbahce Dogus Istanbul,0
PAN       ,,33,08:18,2,26,"CALATHES, NICK",P001932   ,Two Pointer (1/2 -  2 pt),2FGM,2.0,5.0,Panathinaikos Superfoods Athens,0
ULK       ,,4,07:53,3,28,"MELLI, NICOLO",P002849   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,8.0,Fenerbahce Dogus Istanbul,0
ULK       ,,23,07:51,3,29,"GUDURIC, MARKO",P004004   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
PAN       ,,33,07:44,3,30,"CALATHES, NICK",P001932   ,Two Pointer (2/3 -  4 pt),2FGM,4.0,8.0,Panathinaikos Superfoods Athens,0
ULK       ,,11,07:44,3,31,"WANAMAKER, BRAD",P005838   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0
PAN       ,,33,07:44,3,32,"CALATHES, NICK",P001932   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,07:44,3,33,"CALATHES, NICK",P001932   ,Free Throw In (1/1 -  5 pt),FTM,5.0,8.0,Panathinaikos Superfoods Athens,0
ULK       ,,24,07:33,3,34,"VESELY, JAN",P000925   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,10.0,Fenerbahce Dogus Istanbul,0
ULK       ,,4,07:31,3,35,"MELLI, NICOLO",P002849   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
PAN       ,,33,07:08,3,36,"CALATHES, NICK",P001932   ,Missed Three Pointer (0/1 -  5 pt),3FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,,07:08,3,131,,          ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0
ULK       ,,10,07:08,3,37,"MAHMUTOGLU, MELIH",P002969   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0
PAN       ,,0,07:08,3,38,"SINGLETON, CHRIS",P006614   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
ULK       ,,4,07:08,3,39,"MELLI, NICOLO",P002849   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0
PAN       ,,0,07:08,3,40,"SINGLETON, CHRIS",P006614   ,Foul Drawn (2),RV,,,Panathinaikos Superfoods Athens,0
PAN       ,,12,06:59,4,42,"DENMON, MARCUS",P004195   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
ULK       ,,4,06:57,4,43,"MELLI, NICOLO",P002849   ,Def Rebound (2),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,24,06:43,4,44,"VESELY, JAN",P000925   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
PAN       ,,33,06:42,4,45,"CALATHES, NICK",P001932   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,14,06:24,4,46,"GIST, JAMES",P002980   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,14,06:22,4,47,"GIST, JAMES",P002980   ,Off Rebound (2),O,,,Panathinaikos Superfoods Athens,0
PAN       ,,14,06:59,4,65,"GIST, JAMES",P002980   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,14,06:22,4,64,"GIST, JAMES",P002980   ,Off Rebound (2),O,,,Panathinaikos Superfoods Athens,0
PAN       ,,14,06:18,4,48,"GIST, JAMES",P002980   ,Two Pointer (1/3 -  2 pt),2FGM,7.0,10.0,Panathinaikos Superfoods Athens,0
ULK       ,,24,06:02,4,49,"VESELY, JAN",P000925   ,Turnover (1),TO,,,Fenerbahce Dogus Istanbul,0
PAN       ,,33,06:01,4,50,"CALATHES, NICK",P001932   ,Steal (1),ST,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,05:59,5,52,"CALATHES, NICK",P001932   ,Two Pointer (3/4 -  7 pt),2FGM,9.0,10.0,Panathinaikos Superfoods Athens,0
ULK       ,,11,05:38,5,53,"WANAMAKER, BRAD",P005838   ,Three Pointer (2/2 -  8 pt),3FGM,9.0,13.0,Fenerbahce Dogus Istanbul,0
PAN       ,,14,05:15,5,54,"GIST, JAMES",P002980   ,Two Pointer (2/4 -  4 pt),2FGM,11.0,13.0,Panathinaikos Superfoods Athens,0
PAN       ,,3,05:11,5,55,"RIVERS, KC",P002429   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0
ULK       ,,23,04:57,6,57,"GUDURIC, MARKO",P004004   ,Two Pointer (1/1 -  2 pt),2FGM,11.0,15.0,Fenerbahce Dogus Istanbul,0
PAN       ,,3,04:35,6,58,"RIVERS, KC",P002429   ,Offensive Foul (1),OF,,,Panathinaikos Superfoods Athens,0
PAN       ,,3,04:35,6,59,"RIVERS, KC",P002429   ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0
ULK       ,,23,04:35,6,60,"GUDURIC, MARKO",P004004   ,Foul Drawn (1),RV,,,Fenerbahce Dogus Istanbul,0
