CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,22,,          ,Begin Period,BP,,,,0
PAN       ,,14,09:44,1,23,"GIST, JAMES",P002980   ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0
BAS       ,,17,09:43,1,24,"POIRIER, VINCENT",P004887   ,Steal (1),ST,,,Baskonia Vitoria Gasteiz,0
BAS       ,,6,09:35,1,25,"TIMMA, JANIS",P005718   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Baskonia Vitoria Gasteiz,0
PAN       ,,14,09:33,1,26,"GIST, JAMES",P002980   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,09:28,1,27,"CALATHES, NICK",P001932   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Panathinaikos Superfoods Athens,0
BAS       ,,10,09:23,1,28,"BEAUBOIS, RODRIGUE",P006590   ,Turnover (1),TO,,,Baskonia Vitoria Gasteiz,0
PAN       ,,12,09:23,1,29,"DENMON, MARCUS",P004195   ,Two Pointer (1/1 -  2 pt),2FGM,,4.0,Panathinaikos Superfoods Athens,0
PAN       ,,33,09:23,1,30,"CALATHES, NICK",P001932   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0
BAS       ,,17,09:03,1,31,"POIRIER, VINCENT",P004887   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,4.0,Baskonia Vitoria Gasteiz,0
BAS       ,,10,09:01,1,32,"BEAUBOIS, RODRIGUE",P006590   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
PAN       ,,14,08:40,2,34,"GIST, JAMES",P002980   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,6.0,Panathinaikos Superfoods Athens,0
PAN       ,,24,08:37,2,35,"LOJESKI, MATT",P003608   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0
BAS       ,,17,08:24,2,36,"POIRIER, VINCENT",P004887   ,Two Pointer (2/2 -  4 pt),2FGM,4.0,6.0,Baskonia Vitoria Gasteiz,0
BAS       ,,15,08:22,2,37,"GRANGER, JAYSON",P003024   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
PAN       ,,33,08:14,2,38,"CALATHES, NICK",P001932   ,Two Pointer (2/2 -  4 pt),2FGM,4.0,8.0,Panathinaikos Superfoods Athens,0
PAN       ,,33,08:14,2,39,"CALATHES, NICK",P001932   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
BAS       ,,15,08:14,2,40,"GRANGER, JAYSON",P003024   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0
PAN       ,,33,08:14,2,41,"CALATHES, NICK",P001932   ,Free Throw In (1/1 -  5 pt),FTM,4.0,9.0,Panathinaikos Superfoods Athens,0
BAS       ,,15,08:01,2,42,"GRANGER, JAYSON",P003024   ,Three Pointer (1/1 -  3 pt),3FGM,7.0,9.0,Baskonia Vitoria Gasteiz,0
BAS       ,,17,07:59,3,44,"POIRIER, VINCENT",P004887   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
PAN       ,,24,07:47,3,45,"LOJESKI, MATT",P003608   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,14,07:44,3,46,"GIST, JAMES",P002980   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0
PAN       ,,14,07:42,3,47,"GIST, JAMES",P002980   ,Two Pointer (2/2 -  4 pt),2FGM,7.0,11.0,Panathinaikos Superfoods Athens,0
BAS       ,,8,07:39,3,48,"MALMANIS, RINALDS",P004185   ,Turnover (1),TO,,,Baskonia Vitoria Gasteiz,0
BAS       ,,9,07:39,3,49,"HUERTAS, MARCELINHO",PJUJ      ,In,IN,,,Baskonia Vitoria Gasteiz,0
BAS       ,,15,07:39,3,50,"GRANGER, JAYSON",P003024   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0
PAN       ,,0,07:39,3,51,"SINGLETON, CHRIS",P006614   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
BAS       ,,8,07:39,3,52,"MALMANIS, RINALDS",P004185   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0
PAN       ,,0,07:27,3,53,"SINGLETON, CHRIS",P006614   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,12,07:24,3,54,"DENMON, MARCUS",P004195   ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,07:10,3,55,"SINGLETON, CHRIS",P006614   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
BAS       ,,17,07:08,3,56,"POIRIER, VINCENT",P004887   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,10,07:06,3,57,"BEAUBOIS, RODRIGUE",P006590   ,Two Pointer (1/1 -  2 pt),2FGM,9.0,11.0,Baskonia Vitoria Gasteiz,0
BAS       ,,9,06:52,4,59,"HUERTAS, MARCELINHO",PJUJ      ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0
PAN       ,,33,06:52,4,60,"CALATHES, NICK",P001932   ,Offensive Foul (1),OF,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,06:52,4,61,"CALATHES, NICK",P001932   ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0
BAS       ,,9,06:48,4,62,"HUERTAS, MARCELINHO",PJUJ      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
PAN       ,,14,06:46,4,63,"GIST, JAMES",P002980   ,Def Rebound (2),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,12,06:35,4,64,"DENMON, MARCUS",P004195   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,Panathinaikos Superfoods Athens,0
BAS       ,,8,06:32,4,65,"MALMANIS, RINALDS",P004185   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,8,06:23,4,66,"MALMANIS, RINALDS",P004185   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0
PAN       ,,0,06:23,4,67,"SINGLETON, CHRIS",P006614   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0
BAS       ,,8,06:23,4,68,"MALMANIS, RINALDS",P004185   ,Free Throw In (1/1 -  1 pt),FTM,10.0,11.0,Baskonia Vitoria Gasteiz,0
BAS       ,,8,06:23,4,69,"MALMANIS, RINALDS",P004185   ,Free Throw In (2/2 -  2 pt),FTM,11.0,11.0,Baskonia Vitoria Gasteiz,0
PAN       ,,0,06:23,4,70,"SINGLETON, CHRIS",P006614   ,Out,OUT,,,Panathinaikos Superfoods Athens,0
PAN       ,,22,06:23,4,71,"GABRIEL, KENNY",P005881   ,In,IN,,,Panathinaikos Superfoods Athens,0
PAN       ,,24,06:07,4,72,"LOJESKI, MATT",P003608   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Panathinaikos Superfoods Athens,0
BAS       ,,10,06:05,4,73,"BEAUBOIS, RODRIGUE",P006590   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,10,05:57,5,75,"BEAUBOIS, RODRIGUE",P006590   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0
PAN       ,,14,05:57,5,76,"GIST, JAMES",P002980   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0
PAN       ,,11,05:57,5,77,"PAPPAS, NIKOS",P000464   ,In,IN,,,Panathinaikos Superfoods Athens,0
PAN       ,,12,05:57,5,78,"DENMON, MARCUS",P004195   ,Out,OUT,,,Panathinaikos Superfoods Athens,0
BAS       ,,10,05:57,5,79,"BEAUBOIS, RODRIGUE",P006590   ,Free Throw In (1/1 -  3 pt),FTM,12.0,11.0,Baskonia Vitoria Gasteiz,0
BAS       ,,10,05:57,5,80,"BEAUBOIS, RODRIGUE",P006590   ,Free Throw In (2/2 -  4 pt),FTM,13.0,11.0,Baskonia Vitoria Gasteiz,0
BAS       ,,10,05:57,5,81,"BEAUBOIS, RODRIGUE",P006590   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0
BAS       ,,11,05:57,5,82,"JANNING, MATT",P004165   ,In,IN,,,Baskonia Vitoria Gasteiz,0
PAN       ,,14,05:44,5,83,"GIST, JAMES",P002980   ,Missed Three Pointer (0/1 -  4 pt),3FGA,,,Panathinaikos Superfoods Athens,0
PAN       ,,22,05:35,5,84,"GABRIEL, KENNY",P005881   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
BAS       ,,6,05:35,5,85,"TIMMA, JANIS",P005718   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0
PAN       ,,,05:35,5,86,,          ,Off Rebound (1),O,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,05:22,5,87,"CALATHES, NICK",P001932   ,Turnover (2),TO,,,Panathinaikos Superfoods Athens,0
BAS       ,,6,05:20,5,88,"TIMMA, JANIS",P005718   ,Steal (1),ST,,,Baskonia Vitoria Gasteiz,0
BAS       ,,6,05:13,5,89,"TIMMA, JANIS",P005718   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0
PAN       ,,22,05:13,5,90,"GABRIEL, KENNY",P005881   ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0
BAS       ,,12,05:13,5,91,"DIOP, ILIMANE",P003540   ,In,IN,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,05:13,5,92,"POIRIER, VINCENT",P004887   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0
PAN       ,,3,05:13,5,93,"RIVERS, KC",P002429   ,In,IN,,,Panathinaikos Superfoods Athens,0
PAN       ,,14,05:13,5,94,"GIST, JAMES",P002980   ,Out,OUT,,,Panathinaikos Superfoods Athens,0
PAN       ,,15,05:13,5,95,"VOUGIOUKAS, IAN",PTFX      ,In,IN,,,Panathinaikos Superfoods Athens,0
PAN       ,,24,05:13,5,96,"LOJESKI, MATT",P003608   ,Out,OUT,,,Panathinaikos Superfoods Athens,0
BAS       ,,6,05:13,5,97,"TIMMA, JANIS",P005718   ,Missed Free Throw (0/1 -  0 pt),FTA,,,Baskonia Vitoria Gasteiz,0
BAS       ,,6,05:13,5,98,"TIMMA, JANIS",P005718   ,Missed Free Throw (0/2 -  0 pt),FTA,,,Baskonia Vitoria Gasteiz,0
BAS       ,,6,05:13,5,99,"TIMMA, JANIS",P005718   ,Off Rebound (1),O,,,Baskonia Vitoria Gasteiz,0
BAS       ,,6,04:59,6,101,"TIMMA, JANIS",P005718   ,Three Pointer (1/2 -  3 pt),3FGM,16.0,11.0,Baskonia Vitoria Gasteiz,0
BAS       ,,12,04:57,6,102,"DIOP, ILIMANE",P003540   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
BAS       ,,9,04:47,6,103,"HUERTAS, MARCELINHO",PJUJ      ,Foul Drawn (2),RV,,,Baskonia Vitoria Gasteiz,0
PAN       ,,22,04:47,6,104,"GABRIEL, KENNY",P005881   ,Offensive Foul (2),OF,,,Panathinaikos Superfoods Athens,0
PAN       ,,22,04:47,6,105,"GABRIEL, KENNY",P005881   ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0
          ,,,04:47,6,106,,          ,TV Time Out (1),TOUT_TV,,,,0
BAS       ,,8,04:47,6,107,"MALMANIS, RINALDS",P004185   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0
BAS       ,,23,04:47,6,108,"SHENGELIA, TORNIKE",P001133   ,In,IN,,,Baskonia Vitoria Gasteiz,0
PAN       ,,0,04:47,6,109,"SINGLETON, CHRIS",P006614   ,In,IN,,,Panathinaikos Superfoods Athens,0
PAN       ,,22,04:47,6,110,"GABRIEL, KENNY",P005881   ,Out,OUT,,,Panathinaikos Superfoods Athens,0
BAS       ,,6,04:34,6,111,"TIMMA, JANIS",P005718   ,Three Pointer (2/3 -  6 pt),3FGM,19.0,11.0,Baskonia Vitoria Gasteiz,0
BAS       ,,11,04:32,6,112,"JANNING, MATT",P004165   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
PAN       ,,15,04:15,6,113,"VOUGIOUKAS, IAN",PTFX      ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
BAS       ,,12,04:15,6,114,"DIOP, ILIMANE",P003540   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0
PAN       ,,11,04:12,6,115,"PAPPAS, NIKOS",P000464   ,Turnover (1),TO,,,Panathinaikos Superfoods Athens,0
BAS       ,,12,04:10,6,116,"DIOP, ILIMANE",P003540   ,Steal (1),ST,,,Baskonia Vitoria Gasteiz,0
BAS       ,,11,04:05,6,117,"JANNING, MATT",P004165   ,Three Pointer (1/1 -  3 pt),3FGM,22.0,11.0,Baskonia Vitoria Gasteiz,0
BAS       ,,9,04:03,6,118,"HUERTAS, MARCELINHO",PJUJ      ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
PAN       ,,33,03:42,7,120,"CALATHES, NICK",P001932   ,Two Pointer (3/3 -  7 pt),2FGM,22.0,13.0,Panathinaikos Superfoods Athens,0
BAS       ,,11,03:31,7,121,"JANNING, MATT",P004165   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
PAN       ,,15,03:29,7,122,"VOUGIOUKAS, IAN",PTFX      ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,03:26,7,123,"CALATHES, NICK",P001932   ,Missed Two Pointer (3/4 -  7 pt),2FGA,,,Panathinaikos Superfoods Athens,0
BAS       ,,12,03:26,7,124,"DIOP, ILIMANE",P003540   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,9,03:09,7,125,"HUERTAS, MARCELINHO",PJUJ      ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
PAN       ,,15,03:09,7,126,"VOUGIOUKAS, IAN",PTFX      ,Def Rebound (2),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,02:55,8,128,"SINGLETON, CHRIS",P006614   ,Two Pointer (1/3 -  2 pt),2FGM,22.0,15.0,Panathinaikos Superfoods Athens,0
PAN       ,,3,02:55,8,129,"RIVERS, KC",P002429   ,Assist (1),AS,,,Panathinaikos Superfoods Athens,0
BAS       ,,6,02:23,8,130,"TIMMA, JANIS",P005718   ,Missed Three Pointer (2/4 -  6 pt),3FGA,,,Baskonia Vitoria Gasteiz,0
PAN       ,,3,02:21,8,131,"RIVERS, KC",P002429   ,Def Rebound (1),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,02:06,8,132,"CALATHES, NICK",P001932   ,Two Pointer (4/5 -  9 pt),2FGM,22.0,17.0,Panathinaikos Superfoods Athens,0
BAS       ,,11,01:54,9,134,"JANNING, MATT",P004165   ,Two Pointer (1/2 -  5 pt),2FGM,24.0,17.0,Baskonia Vitoria Gasteiz,0
PAN       ,,11,01:39,9,135,"PAPPAS, NIKOS",P000464   ,Two Pointer (1/1 -  2 pt),2FGM,24.0,19.0,Panathinaikos Superfoods Athens,0
BAS       ,,6,01:22,9,136,"TIMMA, JANIS",P005718   ,Missed Two Pointer (0/1 -  6 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
BAS       ,,6,01:22,9,137,"TIMMA, JANIS",P005718   ,Shot Rejected (1),AG,,,Baskonia Vitoria Gasteiz,0
PAN       ,,15,01:22,9,138,"VOUGIOUKAS, IAN",PTFX      ,Block (1),FV,,,Panathinaikos Superfoods Athens,0
BAS       ,,,01:22,9,139,,          ,Off Rebound (2),O,,,Baskonia Vitoria Gasteiz,0
BAS       ,,6,01:22,9,140,"TIMMA, JANIS",P005718   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0
BAS       ,,9,01:22,9,141,"HUERTAS, MARCELINHO",PJUJ      ,Out,OUT,,,Baskonia Vitoria Gasteiz,0
BAS       ,,15,01:22,9,142,"GRANGER, JAYSON",P003024   ,In,IN,,,Baskonia Vitoria Gasteiz,0
BAS       ,,29,01:22,9,143,"GARINO, PATRICIO",P007994   ,In,IN,,,Baskonia Vitoria Gasteiz,0
PAN       ,,19,01:22,9,144,"LEKAVICIUS, LUKAS",P003210   ,In,IN,,,Panathinaikos Superfoods Athens,0
PAN       ,,33,01:22,9,145,"CALATHES, NICK",P001932   ,Out,OUT,,,Panathinaikos Superfoods Athens,0
BAS       ,,,01:22,9,146,,          ,Time Out (1),TOUT,,,Baskonia Vitoria Gasteiz,0
BAS       ,,15,01:12,9,147,"GRANGER, JAYSON",P003024   ,Three Pointer (2/2 -  6 pt),3FGM,27.0,19.0,Baskonia Vitoria Gasteiz,0
BAS       ,,23,01:09,9,148,"SHENGELIA, TORNIKE",P001133   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0
PAN       ,,11,00:49,10,150,"PAPPAS, NIKOS",P000464   ,Three Pointer (1/1 -  5 pt),3FGM,27.0,22.0,Panathinaikos Superfoods Athens,0
BAS       ,,15,00:23,10,151,"GRANGER, JAYSON",P003024   ,Missed Two Pointer (0/1 -  6 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
BAS       ,,15,00:22,10,152,"GRANGER, JAYSON",P003024   ,Off Rebound (1),O,,,Baskonia Vitoria Gasteiz,0
BAS       ,,15,00:10,10,153,"GRANGER, JAYSON",P003024   ,Missed Two Pointer (0/2 -  6 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
PAN       ,,3,00:07,10,154,"RIVERS, KC",P002429   ,Def Rebound (2),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,11,00:00,10,155,"PAPPAS, NIKOS",P000464   ,Two Pointer (2/2 -  7 pt),2FGM,27.0,24.0,Panathinaikos Superfoods Athens,0
          ,,,,11,157,,          ,End Period,EP,,,,0
          ,,,,11,160,,          ,Begin Period,BP,,,,0
BAS       ,,12,10:00,11,158,"DIOP, ILIMANE",P003540   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,10:00,11,159,"POIRIER, VINCENT",P004887   ,In,IN,,,Baskonia Vitoria Gasteiz,0
BAS       ,,17,09:44,11,161,"POIRIER, VINCENT",P004887   ,Turnover (1),TO,,,Baskonia Vitoria Gasteiz,0
PAN       ,,11,09:42,11,162,"PAPPAS, NIKOS",P000464   ,Steal (1),ST,,,Panathinaikos Superfoods Athens,0
PAN       ,,0,09:19,11,163,"SINGLETON, CHRIS",P006614   ,Three Pointer (1/1 -  5 pt),3FGM,27.0,27.0,Panathinaikos Superfoods Athens,0
BAS       ,,15,09:04,11,165,"GRANGER, JAYSON",P003024   ,Foul Drawn (1),RV,,,Baskonia Vitoria Gasteiz,0
PAN       ,,15,09:04,11,166,"VOUGIOUKAS, IAN",PTFX      ,Foul (1),CM,,,Panathinaikos Superfoods Athens,0
BAS       ,,10,09:04,11,167,"BEAUBOIS, RODRIGUE",P006590   ,In,IN,,,Baskonia Vitoria Gasteiz,0
BAS       ,,11,09:04,11,168,"JANNING, MATT",P004165   ,Out,OUT,,,Baskonia Vitoria Gasteiz,0
BAS       ,,23,08:49,12,170,"SHENGELIA, TORNIKE",P001133   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Baskonia Vitoria Gasteiz,0
PAN       ,,15,08:47,12,171,"VOUGIOUKAS, IAN",PTFX      ,Def Rebound (3),D,,,Panathinaikos Superfoods Athens,0
PAN       ,,19,08:31,12,172,"LEKAVICIUS, LUKAS",P003210   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Panathinaikos Superfoods Athens,0
BAS       ,,10,08:29,12,173,"BEAUBOIS, RODRIGUE",P006590   ,Def Rebound (2),D,,,Baskonia Vitoria Gasteiz,0
BAS       ,,15,08:11,12,174,"GRANGER, JAYSON",P003024   ,Three Pointer (3/3 -  9 pt),3FGM,30.0,27.0,Baskonia Vitoria Gasteiz,0
PAN       ,,3,07:52,13,176,"RIVERS, KC",P002429   ,Foul Drawn (1),RV,,,Panathinaikos Superfoods Athens,0
BAS       ,,29,07:52,13,177,"GARINO, PATRICIO",P007994   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0
