CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,0,09:30,1,3,"GOUDELOCK, ANDREW",P004903   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,25,09:30,1,4,"THEODORE, JORDAN",P007946   ,Off Rebound (1),O,,,AX Armani Exchange Olimpia Milan,0,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,25,09:30,1,5,"THEODORE, JORDAN",P007946   ,Turnover (1),TO,,,AX Armani Exchange Olimpia Milan,0,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL
TEL       ,,45,09:10,1,6,"PARAKHOUSKI, ARTSIOM",P003034   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,0,08:52,2,8,"GOUDELOCK, ANDREW",P004903   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,15,08:52,2,9,"TARCZEWSKI, KALEB",P008004   ,Off Rebound (1),O,,,AX Armani Exchange Olimpia Milan,0,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,15,08:52,2,10,"TARCZEWSKI, KALEB",P008004   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL
TEL       ,,45,08:52,2,11,"PARAKHOUSKI, ARTSIOM",P003034   ,Foul (1),CM,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,15,08:52,2,12,"TARCZEWSKI, KALEB",P008004   ,Free Throw In (1/1 -  1 pt),FTM,2.0,1.0,AX Armani Exchange Olimpia Milan,0,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,15,08:52,2,13,"TARCZEWSKI, KALEB",P008004   ,Free Throw In (2/2 -  2 pt),FTM,2.0,2.0,AX Armani Exchange Olimpia Milan,0,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL
TEL       ,,12,08:27,2,14,"DIBARTOLOMEO, JOHN",P007990   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL
TEL       ,,45,08:24,2,15,"PARAKHOUSKI, ARTSIOM",P003034   ,Off Rebound (1),O,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL
TEL       ,,45,08:22,2,16,"PARAKHOUSKI, ARTSIOM",P003034   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Maccabi FOX Tel Aviv,0,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL
MIL       ,,5,08:18,2,17,"MICOV, VLADIMIR",P000529   ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0,Maccabi FOX Tel Aviv,TEL,AX Armani Exchange Olimpia Milan,MIL
