CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
ULK       ,,24,09:59,1,3,"VESELY, JAN",P000925   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Fenerbahce Dogus Istanbul,0
ULK       ,,23,09:59,1,4,"GUDURIC, MARKO",P004004   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
BAM       ,,44,09:59,1,5,"TAYLOR, BRYCE",P001988   ,Three Pointer (1/1 -  3 pt),3FGM,3.0,2.0,Brose Bamberg,0
BAM       ,,3,09:59,1,6,"WRIGHT, DORELL",P008049   ,Assist (1),AS,,,Brose Bamberg,0
ULK       ,,23,09:11,1,7,"GUDURIC, MARKO",P004004   ,Turnover (1),TO,,,Fenerbahce Dogus Istanbul,0
BAM       ,,3,09:09,1,8,"WRIGHT, DORELL",P008049   ,Steal (1),ST,,,Brose Bamberg,0
ULK       ,,23,08:56,2,10,"GUDURIC, MARKO",P004004   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0
BAM       ,,2,08:56,2,11,"HICKMAN, RICKY",P004159   ,Foul Drawn (1),RV,,,Brose Bamberg,0
BAM       ,,44,08:49,2,12,"TAYLOR, BRYCE",P001988   ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Brose Bamberg,0
ULK       ,,24,08:46,2,13,"VESELY, JAN",P000925   ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,11,08:41,2,14,"WANAMAKER, BRAD",P005838   ,Turnover (1),TO,,,Fenerbahce Dogus Istanbul,0
BAM       ,,44,08:39,2,15,"TAYLOR, BRYCE",P001988   ,Steal (1),ST,,,Brose Bamberg,0
BAM       ,,44,08:36,2,16,"TAYLOR, BRYCE",P001988   ,Two Pointer (1/1 -  5 pt),2FGM,5.0,2.0,Brose Bamberg,0
BAM       ,,2,08:23,2,17,"HICKMAN, RICKY",P004159   ,Foul (1),CM,,,Brose Bamberg,0
ULK       ,,24,08:23,2,18,"VESELY, JAN",P000925   ,Foul Drawn (1),RV,,,Fenerbahce Dogus Istanbul,0
ULK       ,,70,08:13,2,19,"DATOME, LUIGI",PCCD      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Fenerbahce Dogus Istanbul,0
BAM       ,,3,08:10,2,20,"WRIGHT, DORELL",P008049   ,Def Rebound (1),D,,,Brose Bamberg,0
BAM       ,,3,08:00,2,21,"WRIGHT, DORELL",P008049   ,Turnover (1),TO,,,Brose Bamberg,0
ULK       ,,23,07:58,3,23,"GUDURIC, MARKO",P004004   ,Steal (1),ST,,,Fenerbahce Dogus Istanbul,0
ULK       ,,24,07:55,3,24,"VESELY, JAN",P000925   ,Two Pointer (2/2 -  4 pt),2FGM,5.0,4.0,Fenerbahce Dogus Istanbul,0
ULK       ,,11,07:53,3,25,"WANAMAKER, BRAD",P005838   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
BAM       ,,2,07:43,3,26,"HICKMAN, RICKY",P004159   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,4.0,Brose Bamberg,0
ULK       ,,24,07:21,3,27,"VESELY, JAN",P000925   ,Missed Two Pointer (2/3 -  4 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
BAM       ,,,07:21,3,28,,          ,Def Rebound (1),D,,,Brose Bamberg,0
BAM       ,,3,07:05,3,29,"WRIGHT, DORELL",P008049   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Brose Bamberg,0
ULK       ,,,07:05,3,30,,          ,Def Rebound (2),D,,,Fenerbahce Dogus Istanbul,0
BAM       ,,43,07:05,3,31,"RADOSEVIC, LEON",PLEM      ,Foul (1),CM,,,Brose Bamberg,0
ULK       ,,4,07:05,3,32,"MELLI, NICOLO",P002849   ,Foul Drawn (1),RV,,,Fenerbahce Dogus Istanbul,0
ULK       ,,23,06:49,4,34,"GUDURIC, MARKO",P004004   ,Three Pointer (1/1 -  3 pt),3FGM,7.0,7.0,Fenerbahce Dogus Istanbul,0
ULK       ,,24,06:46,4,35,"VESELY, JAN",P000925   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
BAM       ,,3,06:25,4,36,"WRIGHT, DORELL",P008049   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Brose Bamberg,0
ULK       ,,11,06:23,4,37,"WANAMAKER, BRAD",P005838   ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,11,06:18,4,38,"WANAMAKER, BRAD",P005838   ,Three Pointer (1/1 -  3 pt),3FGM,7.0,10.0,Fenerbahce Dogus Istanbul,0
BAM       ,,3,06:00,5,40,"WRIGHT, DORELL",P008049   ,Missed Two Pointer (0/3 -  0 pt),2FGA,,,Brose Bamberg,0
ULK       ,,23,05:56,5,41,"GUDURIC, MARKO",P004004   ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,23,05:44,5,42,"GUDURIC, MARKO",P004004   ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
BAM       ,,3,05:42,5,43,"WRIGHT, DORELL",P008049   ,Def Rebound (2),D,,,Brose Bamberg,0
BAM       ,,3,05:33,5,44,"WRIGHT, DORELL",P008049   ,Turnover (2),TO,,,Brose Bamberg,0
ULK       ,,23,05:32,5,45,"GUDURIC, MARKO",P004004   ,Steal (2),ST,,,Fenerbahce Dogus Istanbul,0
ULK       ,,23,05:26,5,46,"GUDURIC, MARKO",P004004   ,Two Pointer (1/2 -  5 pt),2FGM,7.0,12.0,Fenerbahce Dogus Istanbul,0
ULK       ,,4,05:26,5,64,"MELLI, NICOLO",P002849   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
BAM       ,,43,05:09,5,47,"RADOSEVIC, LEON",PLEM      ,Turnover (1),TO,,,Brose Bamberg,0
ULK       ,,16,05:09,5,48,"SLOUKAS, KOSTAS",P001926   ,In,IN,,,Fenerbahce Dogus Istanbul,0
ULK       ,,23,05:09,5,49,"GUDURIC, MARKO",P004004   ,Out,OUT,,,Fenerbahce Dogus Istanbul,0
BAM       ,,21,05:09,5,50,"RUBIT, AUGUSTINE",P006477   ,In,IN,,,Brose Bamberg,0
BAM       ,,43,05:09,5,51,"RADOSEVIC, LEON",PLEM      ,Out,OUT,,,Brose Bamberg,0
ULK       ,,24,04:49,6,53,"VESELY, JAN",P000925   ,Two Pointer (3/4 -  6 pt),2FGM,7.0,14.0,Fenerbahce Dogus Istanbul,0
ULK       ,,16,04:47,6,54,"SLOUKAS, KOSTAS",P001926   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
BAM       ,,2,04:31,6,55,"HICKMAN, RICKY",P004159   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,Brose Bamberg,0
