CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
CSK       ,,13,09:47,1,3,"RODRIGUEZ, SERGIO",PCVM      ,Turnover (1),TO,,,CSKA Moscow,0
PAM       ,,21,09:28,1,4,"PLEISS, TIBOR",PLHK      ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Valencia Basket,0
PAM       ,,32,09:25,1,5,"GREEN, ERICK",P005159   ,Assist (1),AS,,,Valencia Basket,0
CSK       ,,13,09:14,1,6,"RODRIGUEZ, SERGIO",PCVM      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0
PAM       ,,10,09:11,1,7,"RUDEZ, DAMJAN",PJZH      ,Def Rebound (1),D,,,Valencia Basket,0
PAM       ,,10,08:57,2,9,"RUDEZ, DAMJAN",PJZH      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Valencia Basket,0
PAM       ,,42,08:55,2,10,"DOORNEKAMP, AARON",P002763   ,Off Rebound (1),O,,,Valencia Basket,0
PAM       ,,42,08:49,2,11,"DOORNEKAMP, AARON",P002763   ,Two Pointer (1/1 -  2 pt),2FGM,,4.0,Valencia Basket,0
PAM       ,,10,08:46,2,12,"RUDEZ, DAMJAN",PJZH      ,Assist (1),AS,,,Valencia Basket,0
CSK       ,,22,08:35,2,13,"HIGGINS, CORY",P006450   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,CSKA Moscow,0
PAM       ,,21,08:33,2,14,"PLEISS, TIBOR",PLHK      ,Def Rebound (1),D,,,Valencia Basket,0
PAM       ,,21,08:20,2,15,"PLEISS, TIBOR",PLHK      ,Two Pointer (2/2 -  4 pt),2FGM,,6.0,Valencia Basket,0
PAM       ,,42,08:18,2,16,"DOORNEKAMP, AARON",P002763   ,Assist (1),AS,,,Valencia Basket,0
CSK       ,,44,07:58,3,18,"HUNTER, OTHELLO",P005160   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0
PAM       ,,42,07:56,3,19,"DOORNEKAMP, AARON",P002763   ,Def Rebound (1),D,,,Valencia Basket,0
PAM       ,,21,07:39,3,20,"PLEISS, TIBOR",PLHK      ,Missed Two Pointer (2/3 -  4 pt),2FGA,,,Valencia Basket,0
PAM       ,,21,07:39,3,21,"PLEISS, TIBOR",PLHK      ,Shot Rejected (1),AG,,,Valencia Basket,0
CSK       ,,31,07:36,3,22,"KHRYAPA, VICTOR",PBCQ      ,Block (1),FV,,,CSKA Moscow,0
CSK       ,,41,07:32,3,23,"KURBANOV, NIKITA",PJLX      ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,22,07:27,3,24,"HIGGINS, CORY",P006450   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,6.0,CSKA Moscow,0
PAM       ,,42,07:20,3,25,"DOORNEKAMP, AARON",P002763   ,Foul Drawn (1),RV,,,Valencia Basket,0
CSK       ,,41,07:20,3,26,"KURBANOV, NIKITA",PJLX      ,Foul (1),CM,,,CSKA Moscow,0
PAM       ,,32,07:16,3,27,"GREEN, ERICK",P005159   ,Foul Drawn (1),RV,,,Valencia Basket,0
CSK       ,,44,07:16,3,28,"HUNTER, OTHELLO",P005160   ,Foul (1),CM,,,CSKA Moscow,0
PAM       ,,32,07:10,3,29,"GREEN, ERICK",P005159   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Valencia Basket,0
PAM       ,,21,07:07,3,30,"PLEISS, TIBOR",PLHK      ,Off Rebound (1),O,,,Valencia Basket,0
PAM       ,,42,07:04,3,31,"DOORNEKAMP, AARON",P002763   ,Two Pointer (2/2 -  4 pt),2FGM,2.0,8.0,Valencia Basket,0
PAM       ,,21,07:02,3,32,"PLEISS, TIBOR",PLHK      ,Assist (1),AS,,,Valencia Basket,0
CSK       ,,13,06:49,4,34,"RODRIGUEZ, SERGIO",PCVM      ,Turnover (2),TO,,,CSKA Moscow,0
PAM       ,,21,06:46,4,35,"PLEISS, TIBOR",PLHK      ,Steal (1),ST,,,Valencia Basket,0
PAM       ,,32,06:41,4,36,"GREEN, ERICK",P005159   ,Two Pointer (1/2 -  2 pt),2FGM,2.0,10.0,Valencia Basket,0
PAM       ,,42,06:39,4,37,"DOORNEKAMP, AARON",P002763   ,Assist (2),AS,,,Valencia Basket,0
CSK       ,,22,06:28,4,38,"HIGGINS, CORY",P006450   ,Two Pointer (2/2 -  4 pt),2FGM,4.0,10.0,CSKA Moscow,0
PAM       ,,10,06:06,4,39,"RUDEZ, DAMJAN",PJZH      ,Two Pointer (1/1 -  2 pt),2FGM,4.0,12.0,Valencia Basket,0
CSK       ,,41,05:46,5,41,"KURBANOV, NIKITA",PJLX      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0
PAM       ,,10,05:43,5,42,"RUDEZ, DAMJAN",PJZH      ,Def Rebound (2),D,,,Valencia Basket,0
PAM       ,,32,05:43,5,43,"GREEN, ERICK",P005159   ,Foul Drawn (2),RV,,,Valencia Basket,0
CSK       ,,13,05:43,5,44,"RODRIGUEZ, SERGIO",PCVM      ,Unsportsmanlike Foul  (1),CMU,,,CSKA Moscow,0
PAM       ,,32,05:43,5,45,"GREEN, ERICK",P005159   ,Free Throw In (1/1 -  3 pt),FTM,4.0,13.0,Valencia Basket,0
PAM       ,,32,05:43,5,46,"GREEN, ERICK",P005159   ,Free Throw In (2/2 -  4 pt),FTM,4.0,14.0,Valencia Basket,0
PAM       ,,32,05:21,5,47,"GREEN, ERICK",P005159   ,Turnover (1),TO,,,Valencia Basket,0
CSK       ,,22,05:19,5,48,"HIGGINS, CORY",P006450   ,Steal (1),ST,,,CSKA Moscow,0
CSK       ,,1,05:18,5,49,"DE COLO, NANDO",P002100   ,In,IN,,,CSKA Moscow,0
CSK       ,,13,05:18,5,50,"RODRIGUEZ, SERGIO",PCVM      ,Out,OUT,,,CSKA Moscow,0
CSK       ,,21,05:18,5,51,"CLYBURN, WILL",P004888   ,In,IN,,,CSKA Moscow,0
CSK       ,,41,05:18,5,52,"KURBANOV, NIKITA",PJLX      ,Out,OUT,,,CSKA Moscow,0
PAM       ,,0,05:18,5,53,"THOMAS, WILL",P005856   ,In,IN,,,Valencia Basket,0
PAM       ,,10,05:18,5,54,"RUDEZ, DAMJAN",PJZH      ,Out,OUT,,,Valencia Basket,0
PAM       ,,30,05:18,5,55,"SASTRE, JOAN",P002936   ,In,IN,,,Valencia Basket,0
PAM       ,,32,05:18,5,56,"GREEN, ERICK",P005159   ,Out,OUT,,,Valencia Basket,0
CSK       ,,22,05:07,5,57,"HIGGINS, CORY",P006450   ,Missed Two Pointer (2/3 -  4 pt),2FGA,,,CSKA Moscow,0
CSK       ,,44,05:07,5,58,"HUNTER, OTHELLO",P005160   ,Off Rebound (1),O,,,CSKA Moscow,0
CSK       ,,44,05:07,5,59,"HUNTER, OTHELLO",P005160   ,Two Pointer (1/2 -  2 pt),2FGM,6.0,14.0,CSKA Moscow,0
CSK       ,,44,05:07,5,60,"HUNTER, OTHELLO",P005160   ,Foul Drawn (1),RV,,,CSKA Moscow,0
PAM       ,,21,05:07,5,61,"PLEISS, TIBOR",PLHK      ,Foul (1),CM,,,Valencia Basket,0
CSK       ,,44,05:07,5,62,"HUNTER, OTHELLO",P005160   ,Missed Free Throw (0/1 -  2 pt),FTA,,,CSKA Moscow,0
PAM       ,,42,05:07,5,63,"DOORNEKAMP, AARON",P002763   ,Def Rebound (2),D,,,Valencia Basket,0
PAM       ,,9,04:51,6,65,"VAN ROSSOM, SAM",PLRQ      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Valencia Basket,0
PAM       ,,0,04:48,6,66,"THOMAS, WILL",P005856   ,Off Rebound (1),O,,,Valencia Basket,0
PAM       ,,42,04:37,6,67,"DOORNEKAMP, AARON",P002763   ,Three Pointer (1/1 -  7 pt),3FGM,6.0,17.0,Valencia Basket,0
PAM       ,,0,04:37,6,68,"THOMAS, WILL",P005856   ,Assist (1),AS,,,Valencia Basket,0
CSK       ,,,04:37,6,69,,          ,Time Out (1),TOUT,,,CSKA Moscow,0
PAM       ,,14,04:37,6,70,"DUBLJEVIC, BOJAN",P002742   ,In,IN,,,Valencia Basket,0
PAM       ,,21,04:37,6,71,"PLEISS, TIBOR",PLHK      ,Out,OUT,,,Valencia Basket,0
CSK       ,,1,04:23,6,72,"DE COLO, NANDO",P002100   ,Two Pointer (1/1 -  2 pt),2FGM,8.0,17.0,CSKA Moscow,0
PAM       ,,14,04:00,7,74,"DUBLJEVIC, BOJAN",P002742   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Valencia Basket,0
CSK       ,,31,03:57,7,75,"KHRYAPA, VICTOR",PBCQ      ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,1,03:47,7,76,"DE COLO, NANDO",P002100   ,Foul Drawn (1),RV,,,CSKA Moscow,0
PAM       ,,30,03:47,7,77,"SASTRE, JOAN",P002936   ,Foul (1),CM,,,Valencia Basket,0
CSK       ,,42,03:47,7,78,"HINES, KYLE",P002812   ,In,IN,,,CSKA Moscow,0
CSK       ,,44,03:47,7,79,"HUNTER, OTHELLO",P005160   ,Out,OUT,,,CSKA Moscow,0
PAM       ,,9,03:47,7,80,"VAN ROSSOM, SAM",PLRQ      ,Out,OUT,,,Valencia Basket,0
PAM       ,,16,03:47,7,81,"VIVES, GUILLEM",P002361   ,In,IN,,,Valencia Basket,0
CSK       ,,22,03:43,7,82,"HIGGINS, CORY",P006450   ,Foul Drawn (1),RV,,,CSKA Moscow,0
PAM       ,,14,03:43,7,83,"DUBLJEVIC, BOJAN",P002742   ,Foul (1),CM,,,Valencia Basket,0
CSK       ,,22,03:43,7,84,"HIGGINS, CORY",P006450   ,Missed Free Throw (0/1 -  4 pt),FTA,,,CSKA Moscow,0
CSK       ,,22,03:43,7,85,"HIGGINS, CORY",P006450   ,Free Throw In (1/2 -  5 pt),FTM,9.0,17.0,CSKA Moscow,0
PAM       ,,16,03:19,7,86,"VIVES, GUILLEM",P002361   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Valencia Basket,0
PAM       ,,14,03:14,7,87,"DUBLJEVIC, BOJAN",P002742   ,Off Rebound (1),O,,,Valencia Basket,0
PAM       ,,14,03:14,7,88,"DUBLJEVIC, BOJAN",P002742   ,Two Pointer (1/2 -  2 pt),2FGM,9.0,19.0,Valencia Basket,0
CSK       ,,21,03:07,7,89,"CLYBURN, WILL",P004888   ,Two Pointer (1/1 -  2 pt),2FGM,11.0,19.0,CSKA Moscow,0
CSK       ,,21,03:07,7,90,"CLYBURN, WILL",P004888   ,Foul Drawn (1),RV,,,CSKA Moscow,0
PAM       ,,14,03:07,7,91,"DUBLJEVIC, BOJAN",P002742   ,Foul (2),CM,,,Valencia Basket,0
CSK       ,,20,03:07,7,92,"VORONTSEVICH, ANDREY",PLHI      ,In,IN,,,CSKA Moscow,0
CSK       ,,31,03:07,7,93,"KHRYAPA, VICTOR",PBCQ      ,Out,OUT,,,CSKA Moscow,0
PAM       ,,19,03:07,7,94,"SAN EMETERIO, FERNANDO",P000518   ,In,IN,,,Valencia Basket,0
PAM       ,,42,03:07,7,95,"DOORNEKAMP, AARON",P002763   ,Out,OUT,,,Valencia Basket,0
CSK       ,,21,03:07,7,96,"CLYBURN, WILL",P004888   ,Free Throw In (1/1 -  3 pt),FTM,12.0,19.0,CSKA Moscow,0
PAM       ,,0,02:43,8,98,"THOMAS, WILL",P005856   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Valencia Basket,0
CSK       ,,1,02:41,8,99,"DE COLO, NANDO",P002100   ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,1,02:40,8,100,"DE COLO, NANDO",P002100   ,Foul Drawn (2),RV,,,CSKA Moscow,0
PAM       ,,16,02:40,8,101,"VIVES, GUILLEM",P002361   ,Foul (1),CM,,,Valencia Basket,0
CSK       ,,1,02:40,8,102,"DE COLO, NANDO",P002100   ,Free Throw In (1/1 -  3 pt),FTM,13.0,19.0,CSKA Moscow,0
CSK       ,,1,02:40,8,103,"DE COLO, NANDO",P002100   ,Free Throw In (2/2 -  4 pt),FTM,14.0,19.0,CSKA Moscow,0
PAM       ,,16,02:22,8,104,"VIVES, GUILLEM",P002361   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Valencia Basket,0
PAM       ,,19,02:18,8,105,"SAN EMETERIO, FERNANDO",P000518   ,Off Rebound (1),O,,,Valencia Basket,0
PAM       ,,19,02:09,8,106,"SAN EMETERIO, FERNANDO",P000518   ,Turnover (1),TO,,,Valencia Basket,0
CSK       ,,1,02:07,8,107,"DE COLO, NANDO",P002100   ,Steal (1),ST,,,CSKA Moscow,0
CSK       ,,22,02:01,8,108,"HIGGINS, CORY",P006450   ,Two Pointer (3/4 -  7 pt),2FGM,16.0,19.0,CSKA Moscow,0
CSK       ,,21,01:59,9,110,"CLYBURN, WILL",P004888   ,Assist (1),AS,,,CSKA Moscow,0
PAM       ,,14,01:38,9,111,"DUBLJEVIC, BOJAN",P002742   ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,Valencia Basket,0
CSK       ,,42,01:36,9,112,"HINES, KYLE",P002812   ,Def Rebound (1),D,,,CSKA Moscow,0
CSK       ,,21,01:26,9,113,"CLYBURN, WILL",P004888   ,Turnover (1),TO,,,CSKA Moscow,0
PAM       ,,10,01:26,9,114,"RUDEZ, DAMJAN",PJZH      ,In,IN,,,Valencia Basket,0
PAM       ,,14,01:26,9,115,"DUBLJEVIC, BOJAN",P002742   ,Out,OUT,,,Valencia Basket,0
CSK       ,,1,01:17,9,116,"DE COLO, NANDO",P002100   ,Foul Drawn (3),RV,,,CSKA Moscow,0
PAM       ,,16,01:17,9,117,"VIVES, GUILLEM",P002361   ,Offensive Foul (2),OF,,,Valencia Basket,0
PAM       ,,16,01:17,9,118,"VIVES, GUILLEM",P002361   ,Turnover (1),TO,,,Valencia Basket,0
CSK       ,,13,01:17,9,119,"RODRIGUEZ, SERGIO",PCVM      ,In,IN,,,CSKA Moscow,0
CSK       ,,22,01:17,9,120,"HIGGINS, CORY",P006450   ,Out,OUT,,,CSKA Moscow,0
