CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,10,,          ,Begin Period,BP,,,,0
RED       ,,26,09:52,1,11,"LESSORT, MATHIAS",P003842   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0
MAL       ,,21,09:52,1,12,"WACZYNSKI, ADAM",PLDX      ,Def Rebound (1),D,,,Unicaja Malaga,0
MAL       ,,23,09:28,1,13,"BROOKS, JEFF",P004117   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,Unicaja Malaga,0
MAL       ,,3,09:25,1,14,"MCCALLUM, RAY",P008002   ,Assist (1),AS,,,Unicaja Malaga,0
RED       ,,6,09:03,1,15,"DANGUBIC, NEMANJA",P005942   ,Turnover (1),TO,,,Crvena Zvezda mts Belgrade,0
MAL       ,,17,09:00,1,16,"SHERMADINI, GIORGI",P001386   ,Steal (1),ST,,,Unicaja Malaga,0
MAL       ,,21,08:43,2,18,"WACZYNSKI, ADAM",PLDX      ,Two Pointer (1/1 -  2 pt),2FGM,4.0,,Unicaja Malaga,0
RED       ,,22,08:17,2,19,"ROCHESTIE, TAYLOR",P002972   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0
MAL       ,,3,08:15,2,20,"MCCALLUM, RAY",P008002   ,Def Rebound (1),D,,,Unicaja Malaga,0
RED       ,,26,07:58,3,22,"LESSORT, MATHIAS",P003842   ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0
MAL       ,,17,07:58,3,23,"SHERMADINI, GIORGI",P001386   ,Foul Drawn (1),RV,,,Unicaja Malaga,0
MAL       ,,10,07:41,3,24,"SALIN, SASU",P002820   ,Three Pointer (1/1 -  3 pt),3FGM,7.0,,Unicaja Malaga,0
MAL       ,,3,07:39,3,25,"MCCALLUM, RAY",P008002   ,Assist (2),AS,,,Unicaja Malaga,0
