CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,41,09:48,1,3,"KURBANOV, NIKITA",PJLX      ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,14,09:26,1,4,"FELDEINE, JAMES",P005918   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,22,09:24,1,5,"ROCHESTIE, TAYLOR",P002972   ,Off Rebound (1),O,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,22,09:21,1,6,"ROCHESTIE, TAYLOR",P002972   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,2.0,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,1,09:04,1,7,"DE COLO, NANDO",P002100   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,51,09:03,1,8,"BJELICA, MILKO",PCHX      ,Def Rebound (1),D,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,12,08:55,2,10,"ANTIC, PERO",PBAE      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,41,08:54,2,11,"KURBANOV, NIKITA",PJLX      ,Def Rebound (1),D,,,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,41,08:42,2,12,"KURBANOV, NIKITA",PJLX      ,Missed Three Pointer (0/1 -  2 pt),3FGA,,,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,22,08:41,2,13,"ROCHESTIE, TAYLOR",P002972   ,Def Rebound (1),D,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,1,08:21,2,14,"DE COLO, NANDO",P002100   ,Foul (1),CM,,,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,12,08:21,2,15,"ANTIC, PERO",PBAE      ,Foul Drawn (1),RV,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,12,08:10,2,16,"ANTIC, PERO",PBAE      ,Turnover (1),TO,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,1,08:10,2,17,"DE COLO, NANDO",P002100   ,Steal (1),ST,,,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,1,08:05,2,18,"DE COLO, NANDO",P002100   ,Two Pointer (1/2 -  2 pt),2FGM,2.0,4.0,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,,07:40,3,20,,          ,Turnover (1),TO,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,12,07:29,3,21,"ANTIC, PERO",PBAE      ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,1,07:29,3,22,"DE COLO, NANDO",P002100   ,Foul Drawn (1),RV,,,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,10,07:26,3,23,"LAZIC, BRANKO",PLUO      ,Foul (1),CM,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,1,07:26,3,24,"DE COLO, NANDO",P002100   ,Foul Drawn (2),RV,,,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,21,07:17,3,25,"CLYBURN, WILL",P004888   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,6.0,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,22,07:03,3,26,"ROCHESTIE, TAYLOR",P002972   ,Two Pointer (2/2 -  4 pt),2FGM,4.0,6.0,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,1,06:51,4,28,"DE COLO, NANDO",P002100   ,Two Pointer (2/3 -  4 pt),2FGM,4.0,8.0,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,22,06:34,4,29,"ROCHESTIE, TAYLOR",P002972   ,Three Pointer (1/1 -  7 pt),3FGM,7.0,8.0,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,42,06:16,4,30,"HINES, KYLE",P002812   ,Two Pointer (1/1 -  2 pt),2FGM,7.0,10.0,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,31,06:16,4,31,"KHRYAPA, VICTOR",PBCQ      ,Assist (1),AS,,,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,12,05:50,5,33,"ANTIC, PERO",PBAE      ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,42,05:49,5,34,"HINES, KYLE",P002812   ,Def Rebound (1),D,,,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,42,05:40,5,35,"HINES, KYLE",P002812   ,Two Pointer (2/2 -  4 pt),2FGM,7.0,12.0,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,14,05:26,5,36,"FELDEINE, JAMES",P005918   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,51,05:24,5,37,"BJELICA, MILKO",PCHX      ,Off Rebound (1),O,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
CSK       ,,42,05:18,5,38,"HINES, KYLE",P002812   ,Block (1),FV,,,CSKA Moscow,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,10,05:18,5,39,"LAZIC, BRANKO",PLUO      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,10,05:18,5,40,"LAZIC, BRANKO",PLUO      ,Shot Rejected (1),AG,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
RED       ,,,05:18,5,41,,          ,Off Rebound (1),O,,,Crvena Zvezda mts Belgrade,0,Crvena Zvezda mts Belgrade,RED,CSKA Moscow,CSK
