CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,1,09:43,1,3,"DE COLO, NANDO",P002100   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,11,09:33,1,4,"WANAMAKER, BRAD",P005838   ,Turnover (1),TO,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,,09:07,1,5,,          ,Turnover (1),TO,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,21,08:46,2,7,"NUNNALLY, JAMES",P007400   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,3.0,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,11,08:44,2,8,"WANAMAKER, BRAD",P005838   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,22,08:31,2,9,"HIGGINS, CORY",P006450   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,3.0,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,1,08:28,2,10,"DE COLO, NANDO",P002100   ,Assist (1),AS,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,23,08:04,2,11,"GUDURIC, MARKO",P004004   ,Turnover (1),TO,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,1,07:54,3,13,"DE COLO, NANDO",P002100   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,,07:54,3,14,,          ,Off Rebound (1),O,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,21,07:40,3,15,"CLYBURN, WILL",P004888   ,Turnover (1),TO,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,24,07:39,3,16,"VESELY, JAN",P000925   ,Steal (1),ST,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,23,07:39,3,17,"GUDURIC, MARKO",P004004   ,Turnover (2),TO,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,21,07:24,3,18,"CLYBURN, WILL",P004888   ,Offensive Foul (1),OF,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,21,07:24,3,19,"CLYBURN, WILL",P004888   ,Turnover (2),TO,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,23,07:24,3,20,"GUDURIC, MARKO",P004004   ,Foul Drawn (1),RV,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,24,07:16,3,21,"VESELY, JAN",P000925   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,5.0,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,11,07:16,3,22,"WANAMAKER, BRAD",P005838   ,Assist (2),AS,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,22,07:16,3,23,"HIGGINS, CORY",P006450   ,Three Pointer (2/2 -  6 pt),3FGM,8.0,5.0,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,42,07:16,3,24,"HINES, KYLE",P002812   ,Assist (1),AS,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,11,06:37,4,26,"WANAMAKER, BRAD",P005838   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,1,06:34,4,27,"DE COLO, NANDO",P002100   ,Def Rebound (1),D,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,1,06:32,4,28,"DE COLO, NANDO",P002100   ,Foul Drawn (1),RV,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,21,06:32,4,29,"NUNNALLY, JAMES",P007400   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,1,06:22,4,30,"DE COLO, NANDO",P002100   ,Turnover (1),TO,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,23,06:20,4,31,"GUDURIC, MARKO",P004004   ,Steal (1),ST,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,23,06:17,4,32,"GUDURIC, MARKO",P004004   ,Two Pointer (1/1 -  2 pt),2FGM,8.0,7.0,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,22,06:00,4,33,"HIGGINS, CORY",P006450   ,Missed Two Pointer (0/1 -  6 pt),2FGA,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,23,05:58,5,35,"GUDURIC, MARKO",P004004   ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,11,05:50,5,36,"WANAMAKER, BRAD",P005838   ,Missed Three Pointer (0/2 -  0 pt),3FGA,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,1,05:47,5,37,"THOMPSON, JASON",P007998   ,Off Rebound (1),O,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,1,05:46,5,38,"THOMPSON, JASON",P007998   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,1,05:44,5,39,"THOMPSON, JASON",P007998   ,Off Rebound (2),O,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,24,05:40,5,40,"VESELY, JAN",P000925   ,Two Pointer (2/2 -  4 pt),2FGM,8.0,9.0,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,1,05:38,5,41,"THOMPSON, JASON",P007998   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,21,05:33,5,42,"CLYBURN, WILL",P004888   ,Turnover (3),TO,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,1,05:15,5,43,"THOMPSON, JASON",P007998   ,Two Pointer (1/2 -  2 pt),2FGM,8.0,11.0,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,11,05:12,5,44,"WANAMAKER, BRAD",P005838   ,Assist (3),AS,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,42,05:02,5,45,"HINES, KYLE",P002812   ,Foul Drawn (1),RV,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,1,05:02,5,46,"THOMPSON, JASON",P007998   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,42,05:02,5,47,"HINES, KYLE",P002812   ,Free Throw In (1/1 -  1 pt),FTM,9.0,11.0,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,1,05:02,5,48,"DE COLO, NANDO",P002100   ,Assist (2),AS,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,42,05:02,5,49,"HINES, KYLE",P002812   ,Free Throw In (2/2 -  2 pt),FTM,10.0,11.0,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,24,04:54,6,51,"VESELY, JAN",P000925   ,Missed Two Pointer (2/3 -  4 pt),2FGA,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,1,04:54,6,52,"THOMPSON, JASON",P007998   ,Off Rebound (3),O,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,24,04:54,6,53,"VESELY, JAN",P000925   ,Two Pointer (3/4 -  6 pt),2FGM,10.0,13.0,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,23,04:54,6,54,"GUDURIC, MARKO",P004004   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
          ,,,04:39,6,55,,          ,TV Time Out (1),TOUT_TV,,,,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,1,04:39,6,56,"DE COLO, NANDO",P002100   ,Turnover (2),TO,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,24,04:39,6,57,"VESELY, JAN",P000925   ,Steal (2),ST,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,1,04:16,6,58,"THOMPSON, JASON",P007998   ,Two Pointer (2/3 -  4 pt),2FGM,10.0,15.0,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,23,04:14,6,59,"GUDURIC, MARKO",P004004   ,Assist (2),AS,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,31,03:55,7,61,"KHRYAPA, VICTOR",PBCQ      ,Two Pointer (1/1 -  2 pt),2FGM,12.0,15.0,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,22,03:52,7,62,"HIGGINS, CORY",P006450   ,Assist (1),AS,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,24,03:35,7,63,"VESELY, JAN",P000925   ,Two Pointer (4/5 -  8 pt),2FGM,12.0,17.0,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,1,03:33,7,64,"THOMPSON, JASON",P007998   ,Assist (2),AS,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,31,03:25,7,65,"KHRYAPA, VICTOR",PBCQ      ,Turnover (1),TO,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,23,03:24,7,66,"GUDURIC, MARKO",P004004   ,Steal (2),ST,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,24,03:11,7,67,"VESELY, JAN",P000925   ,Missed Two Pointer (4/6 -  8 pt),2FGA,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,24,03:11,7,68,"VESELY, JAN",P000925   ,Shot Rejected (1),AG,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,42,03:11,7,69,"HINES, KYLE",P002812   ,Block (1),FV,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,42,03:11,7,70,"HINES, KYLE",P002812   ,Def Rebound (1),D,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
CSK       ,,1,03:11,7,71,"DE COLO, NANDO",P002100   ,Foul Drawn (2),RV,,,CSKA Moscow,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
ULK       ,,23,03:11,7,72,"GUDURIC, MARKO",P004004   ,Foul (1),CM,,,Fenerbahce Dogus Istanbul,0,CSKA Moscow,CSK,Fenerbahce Dogus Istanbul,ULK
