CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE,home_team,home_team_code,away_team,away_team_code
          ,,,,1,2,,          ,Begin Period,BP,,,,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,8,09:51,1,3,"MALMANIS, RINALDS",P004185   ,Foul (1),CM,,,Baskonia Vitoria Gasteiz,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
ZAL       ,,13,09:51,1,4,"JANKUNAS, PAULIUS",PBWI      ,Foul Drawn (1),RV,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,8,09:45,1,5,"MALMANIS, RINALDS",P004185   ,Foul (2),CM,,,Baskonia Vitoria Gasteiz,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
ZAL       ,,13,09:45,1,6,"JANKUNAS, PAULIUS",PBWI      ,Foul Drawn (2),RV,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
ZAL       ,,13,09:43,1,7,"JANKUNAS, PAULIUS",PBWI      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,09:43,1,8,"VOIGTMANN, JOHANNES",P007201   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,7,09:28,1,9,"VOIGTMANN, JOHANNES",P007201   ,Two Pointer (1/1 -  2 pt),2FGM,,2.0,Baskonia Vitoria Gasteiz,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
ZAL       ,,3,09:16,1,10,"PANGOS, KEVIN",P006433   ,Turnover (1),TO,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,15,09:03,1,11,"GRANGER, JAYSON",P003024   ,Turnover (1),TO,,,Baskonia Vitoria Gasteiz,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
ZAL       ,,21,09:01,1,12,"MILAKNIS, ARTURAS",PKPD      ,Steal (1),ST,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
ZAL       ,,13,08:51,2,14,"JANKUNAS, PAULIUS",PBWI      ,Two Pointer (1/2 -  2 pt),2FGM,2.0,2.0,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,15,08:34,2,15,"GRANGER, JAYSON",P003024   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,4.0,Baskonia Vitoria Gasteiz,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
ZAL       ,,21,08:22,2,16,"MILAKNIS, ARTURAS",PKPD      ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,6,08:18,2,17,"TIMMA, JANIS",P005718   ,Def Rebound (1),D,,,Baskonia Vitoria Gasteiz,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,15,08:12,2,18,"GRANGER, JAYSON",P003024   ,Three Pointer (1/1 -  5 pt),3FGM,2.0,7.0,Baskonia Vitoria Gasteiz,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
BAS       ,,6,08:10,2,19,"TIMMA, JANIS",P005718   ,Assist (1),AS,,,Baskonia Vitoria Gasteiz,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
ZAL       ,,13,07:58,3,21,"JANKUNAS, PAULIUS",PBWI      ,Missed Two Pointer (1/3 -  2 pt),2FGA,,,Zalgiris Kaunas,0,Zalgiris Kaunas,ZAL,Baskonia Vitoria Gasteiz,BAS
