CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
MIL       ,,5,09:47,1,3,"MICOV, VLADIMIR",P000529   ,Two Pointer (1/1 -  2 pt),2FGM,2.0,,AX Armani Exchange Olimpia Milan,0
OLY       ,,22,09:26,1,4,"ROBERTS, BRIAN",P002091   ,Three Pointer (1/1 -  3 pt),3FGM,2.0,3.0,Olympiacos Piraeus,0
OLY       ,,13,09:24,1,5,"STRELNIEKS, JANIS",P000046   ,Assist (1),AS,,,Olympiacos Piraeus,0
MIL       ,,5,09:03,1,6,"MICOV, VLADIMIR",P000529   ,Missed Two Pointer (1/2 -  2 pt),2FGA,,,AX Armani Exchange Olimpia Milan,0
OLY       ,,22,09:00,2,8,"ROBERTS, BRIAN",P002091   ,Def Rebound (1),D,,,Olympiacos Piraeus,0
OLY       ,,15,08:46,2,9,"PRINTEZIS, GEORGIOS",PAMM      ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Olympiacos Piraeus,0
MIL       ,,,08:46,2,10,,          ,Def Rebound (1),D,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,34,08:26,2,11,"JEFFERSON, CORY",P007992   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,15,08:26,2,12,"TARCZEWSKI, KALEB",P008004   ,Off Rebound (1),O,,,AX Armani Exchange Olimpia Milan,0
MIL       ,,15,08:26,2,13,"TARCZEWSKI, KALEB",P008004   ,Foul Drawn (1),RV,,,AX Armani Exchange Olimpia Milan,0
OLY       ,,11,08:26,2,14,"MILUTINOV, NIKOLA",P003941   ,Foul (1),CM,,,Olympiacos Piraeus,0
MIL       ,,25,08:25,2,15,"THEODORE, JORDAN",P007946   ,Three Pointer (1/1 -  3 pt),3FGM,5.0,3.0,AX Armani Exchange Olimpia Milan,0
MIL       ,,5,08:25,2,16,"MICOV, VLADIMIR",P000529   ,Assist (1),AS,,,AX Armani Exchange Olimpia Milan,0
OLY       ,,22,07:56,3,18,"ROBERTS, BRIAN",P002091   ,Foul Drawn (1),RV,,,Olympiacos Piraeus,0
MIL       ,,25,07:56,3,19,"THEODORE, JORDAN",P007946   ,Foul (1),CM,,,AX Armani Exchange Olimpia Milan,0
OLY       ,,22,07:56,3,20,"ROBERTS, BRIAN",P002091   ,Free Throw In (1/1 -  4 pt),FTM,5.0,4.0,Olympiacos Piraeus,0
OLY       ,,22,07:56,3,21,"ROBERTS, BRIAN",P002091   ,Free Throw In (2/2 -  5 pt),FTM,5.0,5.0,Olympiacos Piraeus,0
MIL       ,,45,07:41,3,22,"BERTANS, DAIRIS",P000436   ,Missed Three Pointer (0/1 -  0 pt),3FGA,,,AX Armani Exchange Olimpia Milan,0
