CODETEAM,COMMENT,DORSAL,MARKERTIME,MINUTE,NUMBEROFPLAY,PLAYER,PLAYER_ID,PLAYINFO,PLAYTYPE,POINTS_A,POINTS_B,TEAM,TYPE
          ,,,,1,2,,          ,Begin Period,BP,,,,0
KHI       ,,1,09:46,1,3,"SHVED, ALEXEY",PKVZ      ,Turnover (1),TO,,,Khimki Moscow Region,0
ULK       ,,21,09:45,1,4,"NUNNALLY, JAMES",P007400   ,Steal (1),ST,,,Fenerbahce Dogus Istanbul,0
KHI       ,,22,09:43,1,5,"JENKINS, CHARLES",P005014   ,Foul (1),CM,,,Khimki Moscow Region,0
ULK       ,,11,09:43,1,6,"WANAMAKER, BRAD",P005838   ,Foul Drawn (1),RV,,,Fenerbahce Dogus Istanbul,0
ULK       ,,1,09:27,1,7,"THOMPSON, JASON",P007998   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
ULK       ,,21,09:24,1,8,"NUNNALLY, JAMES",P007400   ,Off Rebound (1),O,,,Fenerbahce Dogus Istanbul,0
ULK       ,,70,09:21,1,9,"DATOME, LUIGI",PCCD      ,Three Pointer (1/1 -  3 pt),3FGM,3.0,,Fenerbahce Dogus Istanbul,0
ULK       ,,21,09:19,1,10,"NUNNALLY, JAMES",P007400   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
KHI       ,,1,09:05,1,11,"SHVED, ALEXEY",PKVZ      ,Three Pointer (1/1 -  3 pt),3FGM,3.0,3.0,Khimki Moscow Region,0
KHI       ,,12,09:04,1,12,"MONIA, SERGEY",PBFX      ,Assist (1),AS,,,Khimki Moscow Region,0
ULK       ,,70,08:44,2,14,"DATOME, LUIGI",PCCD      ,Turnover (1),TO,,,Fenerbahce Dogus Istanbul,0
KHI       ,,0,08:43,2,15,"ROBINSON, THOMAS",P008003   ,Steal (1),ST,,,Khimki Moscow Region,0
KHI       ,,0,08:32,2,16,"ROBINSON, THOMAS",P008003   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Khimki Moscow Region,0
ULK       ,,70,08:30,2,17,"DATOME, LUIGI",PCCD      ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,24,08:20,2,18,"VESELY, JAN",P000925   ,Two Pointer (1/1 -  2 pt),2FGM,5.0,3.0,Fenerbahce Dogus Istanbul,0
ULK       ,,1,08:18,2,19,"THOMPSON, JASON",P007998   ,Assist (1),AS,,,Fenerbahce Dogus Istanbul,0
KHI       ,,21,07:54,3,21,"ANDERSON, JAMES",P005938   ,Missed Two Pointer (0/1 -  0 pt),2FGA,,,Khimki Moscow Region,0
ULK       ,,1,07:52,3,22,"THOMPSON, JASON",P007998   ,Def Rebound (1),D,,,Fenerbahce Dogus Istanbul,0
ULK       ,,70,07:46,3,23,"DATOME, LUIGI",PCCD      ,Missed Three Pointer (1/2 -  3 pt),3FGA,,,Fenerbahce Dogus Istanbul,0
ULK       ,,11,07:44,3,24,"WANAMAKER, BRAD",P005838   ,Off Rebound (1),O,,,Fenerbahce Dogus Istanbul,0
ULK       ,,1,07:37,3,25,"THOMPSON, JASON",P007998   ,Missed Two Pointer (0/2 -  0 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
KHI       ,,0,07:35,3,26,"ROBINSON, THOMAS",P008003   ,Def Rebound (1),D,,,Khimki Moscow Region,0
KHI       ,,1,07:22,3,27,"SHVED, ALEXEY",PKVZ      ,Turnover (2),TO,,,Khimki Moscow Region,0
ULK       ,,21,07:20,3,28,"NUNNALLY, JAMES",P007400   ,Steal (2),ST,,,Fenerbahce Dogus Istanbul,0
KHI       ,,12,07:16,3,29,"MONIA, SERGEY",PBFX      ,Block (1),FV,,,Khimki Moscow Region,0
ULK       ,,70,07:13,3,30,"DATOME, LUIGI",PCCD      ,Missed Two Pointer (0/1 -  3 pt),2FGA,,,Fenerbahce Dogus Istanbul,0
ULK       ,,70,07:13,3,31,"DATOME, LUIGI",PCCD      ,Shot Rejected (1),AG,,,Fenerbahce Dogus Istanbul,0
